module,attributes,classifier,technique,metric,score
bbb,asmt,rf,base,accuracy,0.8853485838779956
bbb,asmt,rf,base,fscore,0.0
bbb,asmt,rf,base,precision,0.0
bbb,asmt,rf,base,recall,0.0
bbb,stdnt,rf,base,accuracy,0.8853485838779956
bbb,stdnt,rf,base,fscore,0.0
bbb,stdnt,rf,base,precision,0.0
bbb,stdnt,rf,base,recall,0.0
bbb,abd,rf,base,accuracy,0.8849400871459695
bbb,abd,rf,base,fscore,0.0002722940776038121
bbb,abd,rf,base,precision,0.2
bbb,abd,rf,base,recall,0.0011876484560570072
bbb,abi,rf,base,accuracy,0.8852124183006536
bbb,abi,rf,base,fscore,0.0
bbb,abi,rf,base,precision,0.0
bbb,abi,rf,base,recall,0.0
bbb,asmt_stdnt,rf,base,accuracy,0.8813997821350763
bbb,asmt_stdnt,rf,base,fscore,0.00163265306122449
bbb,asmt_stdnt,rf,base,precision,0.14634146341463414
bbb,asmt_stdnt,rf,base,recall,0.007125890736342044
bbb,asmt_abd,rf,base,accuracy,0.8846677559912854
bbb,asmt_abd,rf,base,fscore,0.0
bbb,asmt_abd,rf,base,precision,0.0
bbb,asmt_abd,rf,base,recall,0.0
bbb,asmt_abi,rf,base,accuracy,0.8850762527233116
bbb,asmt_abi,rf,base,fscore,0.0
bbb,asmt_abi,rf,base,precision,0.0
bbb,asmt_abi,rf,base,recall,0.0
bbb,stdnt_abd,rf,base,accuracy,0.8853485838779956
bbb,stdnt_abd,rf,base,fscore,0.0
bbb,stdnt_abd,rf,base,precision,0.0
bbb,stdnt_abd,rf,base,recall,0.0
bbb,stdnt_abi,rf,base,accuracy,0.8853485838779956
bbb,stdnt_abi,rf,base,fscore,0.0
bbb,stdnt_abi,rf,base,precision,0.0
bbb,stdnt_abi,rf,base,recall,0.0
bbb,asmt_stdnt_abd,rf,base,accuracy,0.8852124183006536
bbb,asmt_stdnt_abd,rf,base,fscore,0.0
bbb,asmt_stdnt_abd,rf,base,precision,0.0
bbb,asmt_stdnt_abd,rf,base,recall,0.0
bbb,asmt_stdnt_abi,rf,base,accuracy,0.8853485838779956
bbb,asmt_stdnt_abi,rf,base,fscore,0.0
bbb,asmt_stdnt_abi,rf,base,precision,0.0
bbb,asmt_stdnt_abi,rf,base,recall,0.0
