module,attributes,classifier,technique,metric,score
ccc,asmt,rf,base,accuracy,0.9169045353631462
ccc,asmt,rf,base,fscore,0.0
ccc,asmt,rf,base,precision,0.0
ccc,asmt,rf,base,recall,0.0
ccc,stdnt,rf,base,accuracy,0.8812770906015435
ccc,stdnt,rf,base,fscore,0.01051635292880429
ccc,stdnt,rf,base,precision,0.11441647597254005
ccc,stdnt,rf,base,recall,0.06361323155216285
ccc,abd,rf,base,accuracy,0.912992916798816
ccc,abd,rf,base,fscore,0.0016900813351642546
ccc,abd,rf,base,precision,0.1509433962264151
ccc,abd,rf,base,recall,0.010178117048346057
ccc,abi,rf,base,accuracy,0.9137329527434188
ccc,abi,rf,base,fscore,0.003377308707124011
ccc,abi,rf,base,precision,0.25806451612903225
ccc,abi,rf,base,recall,0.020356234096692117
ccc,asmt_stdnt,rf,base,accuracy,0.89058039961941
ccc,asmt_stdnt,rf,base,fscore,0.0075829383886255935
ccc,asmt_stdnt,rf,base,precision,0.11214953271028036
ccc,asmt_stdnt,rf,base,recall,0.04580152671755725
ccc,asmt_abd,rf,base,accuracy,0.9090812982344856
ccc,asmt_abd,rf,base,fscore,0.003377308707124011
ccc,asmt_abd,rf,base,precision,0.1509433962264151
ccc,asmt_abd,rf,base,recall,0.020356234096692117
ccc,asmt_abi,rf,base,accuracy,0.9092927370758008
ccc,asmt_abi,rf,base,fscore,0.004640860668705833
ccc,asmt_abi,rf,base,precision,0.1896551724137931
ccc,asmt_abi,rf,base,recall,0.027989821882951654
ccc,stdnt_abd,rf,base,accuracy,0.916481657680516
ccc,stdnt_abd,rf,base,fscore,0.0006341154090044388
ccc,stdnt_abd,rf,base,precision,0.3
ccc,stdnt_abd,rf,base,recall,0.0038167938931297713
ccc,stdnt_abi,rf,base,accuracy,0.91542446347394
ccc,stdnt_abi,rf,base,fscore,0.00021141649048625792
ccc,stdnt_abi,rf,base,precision,0.0625
ccc,stdnt_abi,rf,base,recall,0.001272264631043257
ccc,asmt_stdnt_abd,rf,base,accuracy,0.9155301828945978
ccc,asmt_stdnt_abd,rf,base,fscore,0.0008453978653703898
ccc,asmt_stdnt_abd,rf,base,precision,0.19047619047619047
ccc,asmt_stdnt_abd,rf,base,recall,0.005089058524173028
ccc,asmt_stdnt_abi,rf,base,accuracy,0.9135215139021038
ccc,asmt_stdnt_abi,rf,base,fscore,0.0016900813351642546
ccc,asmt_stdnt_abi,rf,base,precision,0.16666666666666666
ccc,asmt_stdnt_abi,rf,base,recall,0.010178117048346057
