module,attributes,classifier,technique,metric,score
eee,asmt,rf,base,accuracy,0.9853990914990266
eee,asmt,rf,base,fscore,0.0
eee,asmt,rf,base,precision,0.0
eee,asmt,rf,base,recall,0.0
eee,stdnt,rf,base,accuracy,0.9850746268656716
eee,stdnt,rf,base,fscore,0.0
eee,stdnt,rf,base,precision,0.0
eee,stdnt,rf,base,recall,0.0
eee,abd,rf,base,accuracy,0.9850746268656716
eee,abd,rf,base,fscore,0.0
eee,abd,rf,base,precision,0.0
eee,abd,rf,base,recall,0.0
eee,abi,rf,base,accuracy,0.9853990914990266
eee,abi,rf,base,fscore,0.0
eee,abi,rf,base,precision,0.0
eee,abi,rf,base,recall,0.0
eee,asmt_stdnt,rf,base,accuracy,0.9815055158987671
eee,asmt_stdnt,rf,base,fscore,0.0
eee,asmt_stdnt,rf,base,precision,0.0
eee,asmt_stdnt,rf,base,recall,0.0
eee,asmt_abd,rf,base,accuracy,0.9853990914990266
eee,asmt_abd,rf,base,fscore,0.0
eee,asmt_abd,rf,base,precision,0.0
eee,asmt_abd,rf,base,recall,0.0
eee,asmt_abi,rf,base,accuracy,0.9853990914990266
eee,asmt_abi,rf,base,fscore,0.0
eee,asmt_abi,rf,base,precision,0.0
eee,asmt_abi,rf,base,recall,0.0
eee,stdnt_abd,rf,base,accuracy,0.9853990914990266
eee,stdnt_abd,rf,base,fscore,0.0
eee,stdnt_abd,rf,base,precision,0.0
eee,stdnt_abd,rf,base,recall,0.0
eee,stdnt_abi,rf,base,accuracy,0.9853990914990266
eee,stdnt_abi,rf,base,fscore,0.0
eee,stdnt_abi,rf,base,precision,0.0
eee,stdnt_abi,rf,base,recall,0.0
eee,asmt_stdnt_abd,rf,base,accuracy,0.9853990914990266
eee,asmt_stdnt_abd,rf,base,fscore,0.0
eee,asmt_stdnt_abd,rf,base,precision,0.0
eee,asmt_stdnt_abd,rf,base,recall,0.0
eee,asmt_stdnt_abi,rf,base,accuracy,0.9853990914990266
eee,asmt_stdnt_abi,rf,base,fscore,0.0
eee,asmt_stdnt_abi,rf,base,precision,0.0
eee,asmt_stdnt_abi,rf,base,recall,0.0
