module,attributes,classifier,technique,metric,score
ddd,asmt,rf,ae,accuracy,0.9348480288895576
ddd,asmt,rf,ae,fscore,0.0
ddd,asmt,rf,ae,precision,0.0
ddd,asmt,rf,ae,recall,0.0
ddd,stdnt,rf,ae,accuracy,0.913481793560036
ddd,stdnt,rf,ae,fscore,0.00270473328324568
ddd,stdnt,rf,ae,precision,0.05625
ddd,stdnt,rf,ae,recall,0.020785219399538105
ddd,abd,rf,ae,accuracy,0.9097201324104724
ddd,abd,rf,ae,fscore,0.003604686091919495
ddd,abd,rf,ae,precision,0.06282722513089005
ddd,abd,rf,ae,recall,0.02771362586605081
ddd,abi,rf,ae,accuracy,0.8859464339452302
ddd,abi,rf,ae,fscore,0.0077937649880095924
ddd,abi,rf,ae,precision,0.06896551724137931
ddd,abi,rf,ae,recall,0.060046189376443425
ddd,asmt_stdnt,rf,ae,accuracy,0.9286789046042732
ddd,asmt_stdnt,rf,ae,fscore,0.0015035333032626672
ddd,asmt_stdnt,rf,ae,precision,0.09803921568627452
ddd,asmt_stdnt,rf,ae,recall,0.011547344110854505
ddd,asmt_abd,rf,ae,accuracy,0.9027986758952754
ddd,asmt_abd,rf,ae,fscore,0.01523070031357324
ddd,asmt_abd,rf,ae,precision,0.1619047619047619
ddd,asmt_abd,rf,ae,recall,0.11778290993071595
ddd,asmt_abi,rf,ae,accuracy,0.9228107132109541
ddd,asmt_abi,rf,ae,fscore,0.009285607308671558
ddd,asmt_abi,rf,ae,precision,0.2183098591549296
ddd,asmt_abi,rf,ae,recall,0.07159353348729793
ddd,stdnt_abd,rf,ae,accuracy,0.9148359915738792
ddd,stdnt_abd,rf,ae,fscore,0.003604686091919495
ddd,stdnt_abd,rf,ae,precision,0.07643312101910828
ddd,stdnt_abd,rf,ae,recall,0.02771362586605081
ddd,stdnt_abi,rf,ae,accuracy,0.9133313271140536
ddd,stdnt_abi,rf,ae,fscore,0.005701425356339085
ddd,stdnt_abi,rf,ae,precision,0.10497237569060773
ddd,stdnt_abi,rf,ae,recall,0.04387990762124711
ddd,asmt_stdnt_abd,rf,ae,accuracy,0.90189587721938
ddd,asmt_stdnt_abd,rf,ae,fscore,0.0077937649880095924
ddd,asmt_stdnt_abd,rf,ae,precision,0.0959409594095941
ddd,asmt_stdnt_abd,rf,ae,recall,0.060046189376443425
ddd,asmt_stdnt_abi,rf,ae,accuracy,0.9298826361721336
ddd,asmt_stdnt_abi,rf,ae,fscore,0.003604686091919495
ddd,asmt_stdnt_abi,rf,ae,precision,0.21052631578947367
ddd,asmt_stdnt_abi,rf,ae,recall,0.02771362586605081
