module,attributes,classifier,technique,metric,score
eee,asmt,rf,ae,accuracy,0.9853990914990266
eee,asmt,rf,ae,fscore,0.0
eee,asmt,rf,ae,precision,0.0
eee,asmt,rf,ae,recall,0.0
eee,stdnt,rf,ae,accuracy,0.9850746268656716
eee,stdnt,rf,ae,fscore,0.0
eee,stdnt,rf,ae,precision,0.0
eee,stdnt,rf,ae,recall,0.0
eee,abd,rf,ae,accuracy,0.9844256975989616
eee,abd,rf,ae,fscore,0.0
eee,abd,rf,ae,precision,0.0
eee,abd,rf,ae,recall,0.0
eee,abi,rf,ae,accuracy,0.9841012329656068
eee,abi,rf,ae,fscore,0.0
eee,abi,rf,ae,precision,0.0
eee,abi,rf,ae,recall,0.0
eee,asmt_stdnt,rf,ae,accuracy,0.9727449707981829
eee,asmt_stdnt,rf,ae,fscore,0.0006487187804086928
eee,asmt_stdnt,rf,ae,precision,0.024390243902439025
eee,asmt_stdnt,rf,ae,recall,0.022222222222222227
eee,asmt_abd,rf,ae,accuracy,0.9815055158987671
eee,asmt_abd,rf,ae,fscore,0.0006487187804086928
eee,asmt_abd,rf,ae,precision,0.07142857142857142
eee,asmt_abd,rf,ae,recall,0.022222222222222227
eee,asmt_abi,rf,ae,accuracy,0.9772874756651524
eee,asmt_abi,rf,ae,fscore,0.0012970168612191958
eee,asmt_abi,rf,ae,precision,0.06896551724137931
eee,asmt_abi,rf,ae,recall,0.04444444444444445
eee,stdnt_abd,rf,ae,accuracy,0.9853990914990266
eee,stdnt_abd,rf,ae,fscore,0.0
eee,stdnt_abd,rf,ae,precision,0.0
eee,stdnt_abd,rf,ae,recall,0.0
eee,stdnt_abi,rf,ae,accuracy,0.9850746268656716
eee,stdnt_abi,rf,ae,fscore,0.0
eee,stdnt_abi,rf,ae,precision,0.0
eee,stdnt_abi,rf,ae,recall,0.0
eee,asmt_stdnt_abd,rf,ae,accuracy,0.9818299805321221
eee,asmt_stdnt_abd,rf,ae,fscore,0.0006487187804086928
eee,asmt_stdnt_abd,rf,ae,precision,0.07692307692307693
eee,asmt_stdnt_abd,rf,ae,recall,0.022222222222222227
eee,asmt_stdnt_abi,rf,ae,accuracy,0.9853990914990266
eee,asmt_stdnt_abi,rf,ae,fscore,0.0
eee,asmt_stdnt_abi,rf,ae,precision,0.0
eee,asmt_stdnt_abi,rf,ae,recall,0.0
