module,attributes,classifier,technique,metric,score
aaa,asmt,rf,kmeans,accuracy,0.9661016949152542
aaa,asmt,rf,kmeans,fscore,0.0
aaa,asmt,rf,kmeans,precision,0.0
aaa,asmt,rf,kmeans,recall,0.0
aaa,stdnt,rf,kmeans,accuracy,0.9627118644067796
aaa,stdnt,rf,kmeans,fscore,0.0
aaa,stdnt,rf,kmeans,precision,0.0
aaa,stdnt,rf,kmeans,recall,0.0
aaa,abd,rf,kmeans,accuracy,0.96135593220339
aaa,abd,rf,kmeans,fscore,0.0027081922816519968
aaa,abd,rf,kmeans,precision,0.18181818181818185
aaa,abd,rf,kmeans,recall,0.04
aaa,abi,rf,kmeans,accuracy,0.9647457627118644
aaa,abi,rf,kmeans,fscore,0.0
aaa,abi,rf,kmeans,precision,0.0
aaa,abi,rf,kmeans,recall,0.0
aaa,asmt_stdnt,rf,kmeans,accuracy,0.9633898305084746
aaa,asmt_stdnt,rf,kmeans,fscore,0.0
aaa,asmt_stdnt,rf,kmeans,precision,0.0
aaa,asmt_stdnt,rf,kmeans,recall,0.0
aaa,asmt_abd,rf,kmeans,accuracy,0.9661016949152542
aaa,asmt_abd,rf,kmeans,fscore,0.0013550135501355016
aaa,asmt_abd,rf,kmeans,precision,0.5
aaa,asmt_abd,rf,kmeans,recall,0.02
aaa,asmt_abi,rf,kmeans,accuracy,0.9640677966101696
aaa,asmt_abi,rf,kmeans,fscore,0.0013550135501355016
aaa,asmt_abi,rf,kmeans,precision,0.2
aaa,asmt_abi,rf,kmeans,recall,0.02
aaa,stdnt_abd,rf,kmeans,accuracy,0.9661016949152542
aaa,stdnt_abd,rf,kmeans,fscore,0.0
aaa,stdnt_abd,rf,kmeans,precision,0.0
aaa,stdnt_abd,rf,kmeans,recall,0.0
aaa,stdnt_abi,rf,kmeans,accuracy,0.9661016949152542
aaa,stdnt_abi,rf,kmeans,fscore,0.0
aaa,stdnt_abi,rf,kmeans,precision,0.0
aaa,stdnt_abi,rf,kmeans,recall,0.0
aaa,asmt_stdnt_abd,rf,kmeans,accuracy,0.9661016949152542
aaa,asmt_stdnt_abd,rf,kmeans,fscore,0.0
aaa,asmt_stdnt_abd,rf,kmeans,precision,0.0
aaa,asmt_stdnt_abd,rf,kmeans,recall,0.0
aaa,asmt_stdnt_abi,rf,kmeans,accuracy,0.9661016949152542
aaa,asmt_stdnt_abi,rf,kmeans,fscore,0.0
aaa,asmt_stdnt_abi,rf,kmeans,precision,0.0
aaa,asmt_stdnt_abi,rf,kmeans,recall,0.0
