module,attributes,classifier,technique,metric,score
bbb,asmt,rf,kmeans,accuracy,0.8853485838779956
bbb,asmt,rf,kmeans,fscore,0.0
bbb,asmt,rf,kmeans,precision,0.0
bbb,asmt,rf,kmeans,recall,0.0
bbb,stdnt,rf,kmeans,accuracy,0.8852124183006536
bbb,stdnt,rf,kmeans,fscore,0.0
bbb,stdnt,rf,kmeans,precision,0.0
bbb,stdnt,rf,kmeans,recall,0.0
bbb,abd,rf,kmeans,accuracy,0.8845315904139434
bbb,abd,rf,kmeans,fscore,0.0
bbb,abd,rf,kmeans,precision,0.0
bbb,abd,rf,kmeans,recall,0.0
bbb,abi,rf,kmeans,accuracy,0.8850762527233116
bbb,abi,rf,kmeans,fscore,0.0
bbb,abi,rf,kmeans,precision,0.0
bbb,abi,rf,kmeans,recall,0.0
bbb,asmt_stdnt,rf,kmeans,accuracy,0.8745915032679739
bbb,asmt_stdnt,rf,kmeans,fscore,0.00163265306122449
bbb,asmt_stdnt,rf,kmeans,precision,0.06593406593406594
bbb,asmt_stdnt,rf,kmeans,recall,0.007125890736342044
bbb,asmt_abd,rf,kmeans,accuracy,0.8843954248366013
bbb,asmt_abd,rf,kmeans,fscore,0.0
bbb,asmt_abd,rf,kmeans,precision,0.0
bbb,asmt_abd,rf,kmeans,recall,0.0
bbb,asmt_abi,rf,kmeans,accuracy,0.8831699346405228
bbb,asmt_abi,rf,kmeans,fscore,0.0002722940776038121
bbb,asmt_abi,rf,kmeans,precision,0.05555555555555555
bbb,asmt_abi,rf,kmeans,recall,0.0011876484560570072
bbb,stdnt_abd,rf,kmeans,accuracy,0.8852124183006536
bbb,stdnt_abd,rf,kmeans,fscore,0.0
bbb,stdnt_abd,rf,kmeans,precision,0.0
bbb,stdnt_abd,rf,kmeans,recall,0.0
bbb,stdnt_abi,rf,kmeans,accuracy,0.8853485838779956
bbb,stdnt_abi,rf,kmeans,fscore,0.0
bbb,stdnt_abi,rf,kmeans,precision,0.0
bbb,stdnt_abi,rf,kmeans,recall,0.0
bbb,asmt_stdnt_abd,rf,kmeans,accuracy,0.8853485838779956
bbb,asmt_stdnt_abd,rf,kmeans,fscore,0.0
bbb,asmt_stdnt_abd,rf,kmeans,precision,0.0
bbb,asmt_stdnt_abd,rf,kmeans,recall,0.0
bbb,asmt_stdnt_abi,rf,kmeans,accuracy,0.8850762527233116
bbb,asmt_stdnt_abi,rf,kmeans,fscore,0.0
bbb,asmt_stdnt_abi,rf,kmeans,precision,0.0
bbb,asmt_stdnt_abi,rf,kmeans,recall,0.0
