module,attributes,classifier,technique,metric,score
ccc,asmt,rf,kmeans,accuracy,0.9169045353631462
ccc,asmt,rf,kmeans,fscore,0.0
ccc,asmt,rf,kmeans,precision,0.0
ccc,asmt,rf,kmeans,recall,0.0
ccc,stdnt,rf,kmeans,accuracy,0.868485040701977
ccc,stdnt,rf,kmeans,fscore,0.019679681775358525
ccc,stdnt,rf,kmeans,precision,0.14551083591331268
ccc,stdnt,rf,kmeans,recall,0.11959287531806614
ccc,abd,rf,kmeans,accuracy,0.9113014060682948
ccc,abd,rf,kmeans,fscore,0.0016900813351642546
ccc,abd,rf,kmeans,precision,0.11594202898550725
ccc,abd,rf,kmeans,recall,0.010178117048346057
ccc,abi,rf,kmeans,accuracy,0.91151284490961
ccc,abi,rf,kmeans,fscore,0.0021121554546414613
ccc,abi,rf,kmeans,precision,0.14084507042253522
ccc,abi,rf,kmeans,recall,0.012722646310432571
ccc,asmt_stdnt,rf,kmeans,accuracy,0.8805370546569404
ccc,asmt_stdnt,rf,kmeans,fscore,0.010934707181158658
ccc,asmt_stdnt,rf,kmeans,precision,0.11607142857142858
ccc,asmt_stdnt,rf,kmeans,recall,0.06615776081424936
ccc,asmt_abd,rf,kmeans,accuracy,0.8998837086372766
ccc,asmt_abd,rf,kmeans,fscore,0.00884117461319861
ccc,asmt_abd,rf,kmeans,precision,0.17142857142857146
ccc,asmt_abd,rf,kmeans,recall,0.053435114503816786
ccc,asmt_abi,rf,kmeans,accuracy,0.9013637805264828
ccc,asmt_abi,rf,kmeans,fscore,0.010934707181158658
ccc,asmt_abi,rf,kmeans,precision,0.20717131474103587
ccc,asmt_abi,rf,kmeans,recall,0.06615776081424936
ccc,stdnt_abd,rf,kmeans,accuracy,0.9156359023152552
ccc,stdnt_abd,rf,kmeans,fscore,0.0010566356720202877
ccc,stdnt_abd,rf,kmeans,precision,0.2272727272727273
ccc,stdnt_abd,rf,kmeans,recall,0.0063613231552162855
ccc,stdnt_abi,rf,kmeans,accuracy,0.91542446347394
ccc,stdnt_abi,rf,kmeans,fscore,0.0008453978653703898
ccc,stdnt_abi,rf,kmeans,precision,0.18181818181818185
ccc,stdnt_abi,rf,kmeans,recall,0.005089058524173028
ccc,asmt_stdnt_abd,rf,kmeans,accuracy,0.9111956866476372
ccc,asmt_stdnt_abd,rf,kmeans,fscore,0.005482340537691091
ccc,asmt_stdnt_abd,rf,kmeans,precision,0.2452830188679245
ccc,asmt_stdnt_abd,rf,kmeans,recall,0.03307888040712468
ccc,asmt_stdnt_abi,rf,kmeans,accuracy,0.9119357225922402
ccc,asmt_stdnt_abi,rf,kmeans,fscore,0.0031665611146295125
ccc,asmt_stdnt_abi,rf,kmeans,precision,0.1948051948051948
ccc,asmt_stdnt_abi,rf,kmeans,recall,0.019083969465648856
