module,attributes,classifier,technique,metric,score
ddd,asmt,rf,kmeans,accuracy,0.9348480288895576
ddd,asmt,rf,kmeans,fscore,0.0
ddd,asmt,rf,kmeans,precision,0.0
ddd,asmt,rf,kmeans,recall,0.0
ddd,stdnt,rf,kmeans,accuracy,0.9119771291002108
ddd,stdnt,rf,kmeans,fscore,0.003604686091919495
ddd,stdnt,rf,kmeans,precision,0.06818181818181818
ddd,stdnt,rf,kmeans,recall,0.02771362586605081
ddd,abd,rf,kmeans,accuracy,0.930033102618116
ddd,abd,rf,kmeans,fscore,0.004503828254015914
ddd,abd,rf,kmeans,precision,0.2419354838709677
ddd,abd,rf,kmeans,recall,0.034642032332563515
ddd,abi,rf,kmeans,accuracy,0.9315377670779416
ddd,abi,rf,kmeans,fscore,0.00270473328324568
ddd,abi,rf,kmeans,precision,0.225
ddd,abi,rf,kmeans,recall,0.020785219399538105
ddd,asmt_stdnt,rf,kmeans,accuracy,0.9061089377068914
ddd,asmt_stdnt,rf,kmeans,fscore,0.008390770152831885
ddd,asmt_stdnt,rf,kmeans,precision,0.11336032388663968
ddd,asmt_stdnt,rf,kmeans,recall,0.06466512702078522
ddd,asmt_abd,rf,kmeans,accuracy,0.9292807703882034
ddd,asmt_abd,rf,kmeans,fscore,0.009881718820182664
ddd,asmt_abd,rf,kmeans,precision,0.32038834951456313
ddd,asmt_abd,rf,kmeans,recall,0.07621247113163973
ddd,asmt_abi,rf,kmeans,accuracy,0.9321396328618718
ddd,asmt_abi,rf,kmeans,fscore,0.009583707696915245
ddd,asmt_abi,rf,kmeans,precision,0.3902439024390244
ddd,asmt_abi,rf,kmeans,recall,0.07390300230946882
ddd,stdnt_abd,rf,kmeans,accuracy,0.9339452302136624
ddd,stdnt_abd,rf,kmeans,fscore,0.00270473328324568
ddd,stdnt_abd,rf,kmeans,precision,0.375
ddd,stdnt_abd,rf,kmeans,recall,0.020785219399538105
ddd,stdnt_abi,rf,kmeans,accuracy,0.9345470959975926
ddd,stdnt_abi,rf,kmeans,fscore,0.0006016847172081829
ddd,stdnt_abi,rf,kmeans,precision,0.3333333333333333
ddd,stdnt_abi,rf,kmeans,recall,0.0046189376443418004
ddd,asmt_stdnt_abd,rf,kmeans,accuracy,0.9319891664158892
ddd,asmt_stdnt_abd,rf,kmeans,fscore,0.0042042042042042035
ddd,asmt_stdnt_abd,rf,kmeans,precision,0.2978723404255319
ddd,asmt_stdnt_abd,rf,kmeans,recall,0.03233256351039261
ddd,asmt_stdnt_abi,rf,kmeans,accuracy,0.9340956966596448
ddd,asmt_stdnt_abi,rf,kmeans,fscore,0.004503828254015914
ddd,asmt_stdnt_abi,rf,kmeans,precision,0.42857142857142855
ddd,asmt_stdnt_abi,rf,kmeans,recall,0.034642032332563515
