module,attributes,classifier,technique,metric,score
aaa,asmt,rf,pca,accuracy,0.9661016949152542
aaa,asmt,rf,pca,fscore,0.0
aaa,asmt,rf,pca,precision,0.0
aaa,asmt,rf,pca,recall,0.0
aaa,stdnt,rf,pca,accuracy,0.9661016949152542
aaa,stdnt,rf,pca,fscore,0.0
aaa,stdnt,rf,pca,precision,0.0
aaa,stdnt,rf,pca,recall,0.0
aaa,abd,rf,pca,accuracy,0.9661016949152542
aaa,abd,rf,pca,fscore,0.0027081922816519968
aaa,abd,rf,pca,precision,0.5
aaa,abd,rf,pca,recall,0.04
aaa,abi,rf,pca,accuracy,0.9661016949152542
aaa,abi,rf,pca,fscore,0.0
aaa,abi,rf,pca,precision,0.0
aaa,abi,rf,pca,recall,0.0
aaa,asmt_stdnt,rf,pca,accuracy,0.9647457627118644
aaa,asmt_stdnt,rf,pca,fscore,0.0
aaa,asmt_stdnt,rf,pca,precision,0.0
aaa,asmt_stdnt,rf,pca,recall,0.0
aaa,asmt_abd,rf,pca,accuracy,0.9674576271186439
aaa,asmt_abd,rf,pca,fscore,0.0027081922816519968
aaa,asmt_abd,rf,pca,precision,1.0
aaa,asmt_abd,rf,pca,recall,0.04
aaa,asmt_abi,rf,pca,accuracy,0.9667796610169492
aaa,asmt_abi,rf,pca,fscore,0.0013550135501355016
aaa,asmt_abi,rf,pca,precision,1.0
aaa,asmt_abi,rf,pca,recall,0.02
aaa,stdnt_abd,rf,pca,accuracy,0.9667796610169492
aaa,stdnt_abd,rf,pca,fscore,0.0013550135501355016
aaa,stdnt_abd,rf,pca,precision,1.0
aaa,stdnt_abd,rf,pca,recall,0.02
aaa,stdnt_abi,rf,pca,accuracy,0.9667796610169492
aaa,stdnt_abi,rf,pca,fscore,0.0013550135501355016
aaa,stdnt_abi,rf,pca,precision,1.0
aaa,stdnt_abi,rf,pca,recall,0.02
aaa,asmt_stdnt_abd,rf,pca,accuracy,0.9667796610169492
aaa,asmt_stdnt_abd,rf,pca,fscore,0.0013550135501355016
aaa,asmt_stdnt_abd,rf,pca,precision,1.0
aaa,asmt_stdnt_abd,rf,pca,recall,0.02
aaa,asmt_stdnt_abi,rf,pca,accuracy,0.9667796610169492
aaa,asmt_stdnt_abi,rf,pca,fscore,0.0013550135501355016
aaa,asmt_stdnt_abi,rf,pca,precision,1.0
aaa,asmt_stdnt_abi,rf,pca,recall,0.02
