module,attributes,classifier,technique,metric,score
eee,asmt,rf,pca,accuracy,0.9853990914990266
eee,asmt,rf,pca,fscore,0.0
eee,asmt,rf,pca,precision,0.0
eee,asmt,rf,pca,recall,0.0
eee,stdnt,rf,pca,accuracy,0.9850746268656716
eee,stdnt,rf,pca,fscore,0.0
eee,stdnt,rf,pca,precision,0.0
eee,stdnt,rf,pca,recall,0.0
eee,abd,rf,pca,accuracy,0.9850746268656716
eee,abd,rf,pca,fscore,0.0
eee,abd,rf,pca,precision,0.0
eee,abd,rf,pca,recall,0.0
eee,abi,rf,pca,accuracy,0.9853990914990266
eee,abi,rf,pca,fscore,0.0
eee,abi,rf,pca,precision,0.0
eee,abi,rf,pca,recall,0.0
eee,asmt_stdnt,rf,pca,accuracy,0.982478909798832
eee,asmt_stdnt,rf,pca,fscore,0.0
eee,asmt_stdnt,rf,pca,precision,0.0
eee,asmt_stdnt,rf,pca,recall,0.0
eee,asmt_abd,rf,pca,accuracy,0.9853990914990266
eee,asmt_abd,rf,pca,fscore,0.0006487187804086928
eee,asmt_abd,rf,pca,precision,0.5
eee,asmt_abd,rf,pca,recall,0.022222222222222227
eee,asmt_abi,rf,pca,accuracy,0.9847501622323168
eee,asmt_abi,rf,pca,fscore,0.0
eee,asmt_abi,rf,pca,precision,0.0
eee,asmt_abi,rf,pca,recall,0.0
eee,stdnt_abd,rf,pca,accuracy,0.9853990914990266
eee,stdnt_abd,rf,pca,fscore,0.0
eee,stdnt_abd,rf,pca,precision,0.0
eee,stdnt_abd,rf,pca,recall,0.0
eee,stdnt_abi,rf,pca,accuracy,0.9853990914990266
eee,stdnt_abi,rf,pca,fscore,0.0
eee,stdnt_abi,rf,pca,precision,0.0
eee,stdnt_abi,rf,pca,recall,0.0
eee,asmt_stdnt_abd,rf,pca,accuracy,0.9853990914990266
eee,asmt_stdnt_abd,rf,pca,fscore,0.0
eee,asmt_stdnt_abd,rf,pca,precision,0.0
eee,asmt_stdnt_abd,rf,pca,recall,0.0
eee,asmt_stdnt_abi,rf,pca,accuracy,0.9853990914990266
eee,asmt_stdnt_abi,rf,pca,fscore,0.0
eee,asmt_stdnt_abi,rf,pca,precision,0.0
eee,asmt_stdnt_abi,rf,pca,recall,0.0
