module,attributes,classifier,technique,metric,score
fff,asmt,rf,pca,accuracy,0.9832764952780692
fff,asmt,rf,pca,fscore,0.0
fff,asmt,rf,pca,precision,0.0
fff,asmt,rf,pca,recall,0.0
fff,stdnt,rf,pca,accuracy,0.9784233997901364
fff,stdnt,rf,pca,fscore,0.0
fff,stdnt,rf,pca,precision,0.0
fff,stdnt,rf,pca,recall,0.0
fff,abd,rf,pca,accuracy,0.983014165792235
fff,abd,rf,pca,fscore,0.0
fff,abd,rf,pca,precision,0.0
fff,abd,rf,pca,recall,0.0
fff,abi,rf,pca,accuracy,0.9830797481636936
fff,abi,rf,pca,fscore,0.0
fff,abi,rf,pca,precision,0.0
fff,abi,rf,pca,recall,0.0
fff,asmt_stdnt,rf,pca,accuracy,0.9787513116474292
fff,asmt_stdnt,rf,pca,fscore,0.0
fff,asmt_stdnt,rf,pca,precision,0.0
fff,asmt_stdnt,rf,pca,recall,0.0
fff,asmt_abd,rf,pca,accuracy,0.9830797481636936
fff,asmt_abd,rf,pca,fscore,0.0001311561413863204
fff,asmt_abd,rf,pca,precision,0.2
fff,asmt_abd,rf,pca,recall,0.0039215686274509795
fff,asmt_abi,rf,pca,accuracy,0.9832109129066108
fff,asmt_abi,rf,pca,fscore,0.0002622950819672132
fff,asmt_abi,rf,pca,precision,0.4
fff,asmt_abi,rf,pca,recall,0.007843137254901959
fff,stdnt_abd,rf,pca,accuracy,0.9832764952780692
fff,stdnt_abd,rf,pca,fscore,0.0
fff,stdnt_abd,rf,pca,precision,0.0
fff,stdnt_abd,rf,pca,recall,0.0
fff,stdnt_abi,rf,pca,accuracy,0.9832764952780692
fff,stdnt_abi,rf,pca,fscore,0.0
fff,stdnt_abi,rf,pca,precision,0.0
fff,stdnt_abi,rf,pca,recall,0.0
fff,asmt_stdnt_abd,rf,pca,accuracy,0.9832109129066108
fff,asmt_stdnt_abd,rf,pca,fscore,0.0
fff,asmt_stdnt_abd,rf,pca,precision,0.0
fff,asmt_stdnt_abd,rf,pca,recall,0.0
fff,asmt_stdnt_abi,rf,pca,accuracy,0.9832109129066108
fff,asmt_stdnt_abi,rf,pca,fscore,0.0
fff,asmt_stdnt_abi,rf,pca,precision,0.0
fff,asmt_stdnt_abi,rf,pca,recall,0.0
