module,attributes,classifier,technique,metric,score
ggg,asmt,rf,pca,accuracy,0.977762494268684
ggg,asmt,rf,pca,fscore,0.0
ggg,asmt,rf,pca,precision,0.0
ggg,asmt,rf,pca,recall,0.0
ggg,stdnt,rf,pca,accuracy,0.977762494268684
ggg,stdnt,rf,pca,fscore,0.0
ggg,stdnt,rf,pca,precision,0.0
ggg,stdnt,rf,pca,recall,0.0
ggg,abd,rf,pca,accuracy,0.9773039889958736
ggg,abd,rf,pca,fscore,0.0
ggg,abd,rf,pca,precision,0.0
ggg,abd,rf,pca,recall,0.0
ggg,abi,rf,pca,accuracy,0.977762494268684
ggg,abi,rf,pca,fscore,0.00045840018336007336
ggg,abi,rf,pca,precision,0.5
ggg,abi,rf,pca,recall,0.010309278350515464
ggg,asmt_stdnt,rf,pca,accuracy,0.9756992205410362
ggg,asmt_stdnt,rf,pca,fscore,0.0
ggg,asmt_stdnt,rf,pca,precision,0.0
ggg,asmt_stdnt,rf,pca,recall,0.0
ggg,asmt_abd,rf,pca,accuracy,0.9775332416322788
ggg,asmt_abd,rf,pca,fscore,0.0009165902841429881
ggg,asmt_abd,rf,pca,precision,0.4
ggg,asmt_abd,rf,pca,recall,0.020618556701030927
ggg,asmt_abi,rf,pca,accuracy,0.9779917469050894
ggg,asmt_abi,rf,pca,fscore,0.0009165902841429881
ggg,asmt_abi,rf,pca,precision,0.6666666666666666
ggg,asmt_abi,rf,pca,recall,0.020618556701030927
ggg,stdnt_abd,rf,pca,accuracy,0.977762494268684
ggg,stdnt_abd,rf,pca,fscore,0.0
ggg,stdnt_abd,rf,pca,precision,0.0
ggg,stdnt_abd,rf,pca,recall,0.0
ggg,stdnt_abi,rf,pca,accuracy,0.9761577258138469
ggg,stdnt_abi,rf,pca,fscore,0.0
ggg,stdnt_abi,rf,pca,precision,0.0
ggg,stdnt_abi,rf,pca,recall,0.0
ggg,asmt_stdnt_abd,rf,pca,accuracy,0.977762494268684
ggg,asmt_stdnt_abd,rf,pca,fscore,0.0
ggg,asmt_stdnt_abd,rf,pca,precision,0.0
ggg,asmt_stdnt_abd,rf,pca,recall,0.0
ggg,asmt_stdnt_abi,rf,pca,accuracy,0.9768454837230628
ggg,asmt_stdnt_abi,rf,pca,fscore,0.0
ggg,asmt_stdnt_abi,rf,pca,precision,0.0
ggg,asmt_stdnt_abi,rf,pca,recall,0.0
