module,attributes,classifier,technique,metric,score
eee,asmt,rf,smote+ae,accuracy,0.5502920181700195
eee,asmt,rf,smote+ae,fscore,0.02118780096308186
eee,asmt,rf,smote+ae,precision,0.023454157782515996
eee,asmt,rf,smote+ae,recall,0.7333333333333333
eee,stdnt,rf,smote+ae,accuracy,0.7890979883192732
eee,stdnt,rf,smote+ae,fscore,0.005823358136525397
eee,stdnt,rf,smote+ae,precision,0.014446227929373997
eee,stdnt,rf,smote+ae,recall,0.2
eee,abd,rf,smote+ae,accuracy,0.7375081116158339
eee,abd,rf,smote+ae,fscore,0.014814814814814815
eee,abd,rf,smote+ae,precision,0.028395061728395062
eee,abd,rf,smote+ae,recall,0.5111111111111111
eee,abi,rf,smote+ae,accuracy,0.8150551589876703
eee,abi,rf,smote+ae,fscore,0.014175257731958763
eee,abi,rf,smote+ae,precision,0.03866432337434095
eee,abi,rf,smote+ae,recall,0.4888888888888889
eee,asmt_stdnt,rf,smote+ae,accuracy,0.8124594419208306
eee,asmt_stdnt,rf,smote+ae,fscore,0.00646830530401035
eee,asmt_stdnt,rf,smote+ae,precision,0.018083182640144663
eee,asmt_stdnt,rf,smote+ae,recall,0.2222222222222222
eee,asmt_abd,rf,smote+ae,accuracy,0.8069435431537962
eee,asmt_abd,rf,smote+ae,fscore,0.014814814814814815
eee,asmt_abd,rf,smote+ae,precision,0.03859060402684564
eee,asmt_abd,rf,smote+ae,recall,0.5111111111111111
eee,asmt_abi,rf,smote+ae,accuracy,0.781635301752109
eee,asmt_abi,rf,smote+ae,fscore,0.01673101673101673
eee,asmt_abi,rf,smote+ae,precision,0.03823529411764706
eee,asmt_abi,rf,smote+ae,recall,0.5777777777777777
eee,stdnt_abd,rf,smote+ae,accuracy,0.7858533419857235
eee,stdnt_abd,rf,smote+ae,fscore,0.010971281058405936
eee,stdnt_abd,rf,smote+ae,precision,0.026194144838212637
eee,stdnt_abd,rf,smote+ae,recall,0.37777777777777777
eee,stdnt_abi,rf,smote+ae,accuracy,0.8442569759896171
eee,stdnt_abi,rf,smote+ae,fscore,0.012894906511927788
eee,stdnt_abi,rf,smote+ae,precision,0.042105263157894736
eee,stdnt_abi,rf,smote+ae,recall,0.4444444444444444
eee,asmt_stdnt_abd,rf,smote+ae,accuracy,0.8604802076573653
eee,asmt_stdnt_abd,rf,smote+ae,fscore,0.01161290322580645
eee,asmt_stdnt_abd,rf,smote+ae,precision,0.04275534441805225
eee,asmt_stdnt_abd,rf,smote+ae,recall,0.4
eee,asmt_stdnt_abi,rf,smote+ae,accuracy,0.7410772225827384
eee,asmt_stdnt_abi,rf,smote+ae,fscore,0.017368928916050175
eee,asmt_stdnt_abi,rf,smote+ae,precision,0.03345724907063197
eee,asmt_stdnt_abi,rf,smote+ae,recall,0.6
