module,attributes,classifier,technique,metric,score
aaa,asmt,rf,smote+kmeans,accuracy,0.4379661016949152
aaa,asmt,rf,smote+kmeans,fscore,0.04765056254136334
aaa,asmt,rf,smote+kmeans,precision,0.04230317273795535
aaa,asmt,rf,smote+kmeans,recall,0.72
aaa,stdnt,rf,smote+kmeans,accuracy,0.9247457627118644
aaa,stdnt,rf,smote+kmeans,fscore,0.0040595399188092015
aaa,stdnt,rf,smote+kmeans,precision,0.04477611940298507
aaa,stdnt,rf,smote+kmeans,recall,0.06
aaa,abd,rf,smote+kmeans,accuracy,0.91864406779661
aaa,abd,rf,smote+kmeans,fscore,0.012129380053908356
aaa,abd,rf,smote+kmeans,precision,0.10227272727272728
aaa,abd,rf,smote+kmeans,recall,0.18
aaa,abi,rf,smote+kmeans,accuracy,0.9206779661016951
aaa,abi,rf,smote+kmeans,fscore,0.008102633355840648
aaa,abi,rf,smote+kmeans,precision,0.0759493670886076
aaa,abi,rf,smote+kmeans,recall,0.12
aaa,asmt_stdnt,rf,smote+kmeans,accuracy,0.952542372881356
aaa,asmt_stdnt,rf,smote+kmeans,fscore,0.0027081922816519968
aaa,asmt_stdnt,rf,smote+kmeans,precision,0.08333333333333333
aaa,asmt_stdnt,rf,smote+kmeans,recall,0.04
aaa,asmt_abd,rf,smote+kmeans,accuracy,0.9457627118644067
aaa,asmt_abd,rf,smote+kmeans,fscore,0.009446693657219974
aaa,asmt_abd,rf,smote+kmeans,precision,0.1590909090909091
aaa,asmt_abd,rf,smote+kmeans,recall,0.14
aaa,asmt_abi,rf,smote+kmeans,accuracy,0.9335593220338984
aaa,asmt_abi,rf,smote+kmeans,fscore,0.006756756756756757
aaa,asmt_abi,rf,smote+kmeans,precision,0.08620689655172414
aaa,asmt_abi,rf,smote+kmeans,recall,0.1
aaa,stdnt_abd,rf,smote+kmeans,accuracy,0.9586440677966102
aaa,stdnt_abd,rf,smote+kmeans,fscore,0.0027081922816519968
aaa,stdnt_abd,rf,smote+kmeans,precision,0.13333333333333333
aaa,stdnt_abd,rf,smote+kmeans,recall,0.04
aaa,stdnt_abi,rf,smote+kmeans,accuracy,0.9627118644067796
aaa,stdnt_abi,rf,smote+kmeans,fscore,0.0054090601757944565
aaa,stdnt_abi,rf,smote+kmeans,precision,0.3076923076923077
aaa,stdnt_abi,rf,smote+kmeans,recall,0.08
aaa,asmt_stdnt_abd,rf,smote+kmeans,accuracy,0.9593220338983052
aaa,asmt_stdnt_abd,rf,smote+kmeans,fscore,0.0027081922816519968
aaa,asmt_stdnt_abd,rf,smote+kmeans,precision,0.14285714285714285
aaa,asmt_stdnt_abd,rf,smote+kmeans,recall,0.04
aaa,asmt_stdnt_abi,rf,smote+kmeans,accuracy,0.9579661016949153
aaa,asmt_stdnt_abi,rf,smote+kmeans,fscore,0.0054090601757944565
aaa,asmt_stdnt_abi,rf,smote+kmeans,precision,0.2
aaa,asmt_stdnt_abi,rf,smote+kmeans,recall,0.08
