module,attributes,classifier,technique,metric,score
ccc,asmt,rf,smote+kmeans,accuracy,0.7621313035204567
ccc,asmt,rf,smote+kmeans,fscore,0.03367633302151544
ccc,asmt,rf,smote+kmeans,precision,0.09060402684563758
ccc,asmt,rf,smote+kmeans,recall,0.20610687022900764
ccc,stdnt,rf,smote+kmeans,accuracy,0.7224865207738662
ccc,stdnt,rf,smote+kmeans,fscore,0.04868488911810211
ccc,stdnt,rf,smote+kmeans,precision,0.10212029424491563
ccc,stdnt,rf,smote+kmeans,recall,0.3002544529262087
ccc,abd,rf,smote+kmeans,accuracy,0.8653134580822497
ccc,abd,rf,smote+kmeans,fscore,0.02112970711297071
ccc,abd,rf,smote+kmeans,precision,0.1463768115942029
ccc,abd,rf,smote+kmeans,recall,0.12849872773536894
ccc,abi,rf,smote+kmeans,accuracy,0.844592451633365
ccc,abi,rf,smote+kmeans,fscore,0.028142589118198873
ccc,abi,rf,smote+kmeans,precision,0.14150943396226415
ccc,abi,rf,smote+kmeans,recall,0.1717557251908397
ccc,asmt_stdnt,rf,smote+kmeans,accuracy,0.8238714451844804
ccc,asmt_stdnt,rf,smote+kmeans,fscore,0.024848611401127586
ccc,asmt_stdnt,rf,smote+kmeans,precision,0.10644007155635064
ccc,asmt_stdnt,rf,smote+kmeans,recall,0.15139949109414758
ccc,asmt_abd,rf,smote+kmeans,accuracy,0.8130880642774078
ccc,asmt_abd,rf,smote+kmeans,fscore,0.04181761722388986
ccc,asmt_abd,rf,smote+kmeans,precision,0.14574314574314573
ccc,asmt_abd,rf,smote+kmeans,recall,0.25699745547073793
ccc,asmt_abi,rf,smote+kmeans,accuracy,0.8147795750079291
ccc,asmt_abi,rf,smote+kmeans,fscore,0.03978862294062791
ccc,asmt_abi,rf,smote+kmeans,precision,0.14222222222222222
ccc,asmt_abi,rf,smote+kmeans,recall,0.2442748091603053
ccc,stdnt_abd,rf,smote+kmeans,accuracy,0.8715509039010466
ccc,stdnt_abd,rf,smote+kmeans,fscore,0.024023396699394198
ccc,stdnt_abd,rf,smote+kmeans,precision,0.17450682852807284
ccc,stdnt_abd,rf,smote+kmeans,recall,0.14631043256997456
ccc,stdnt_abi,rf,smote+kmeans,accuracy,0.8675335659160588
ccc,stdnt_abi,rf,smote+kmeans,fscore,0.027731442869057547
ccc,stdnt_abi,rf,smote+kmeans,precision,0.18144611186903134
ccc,stdnt_abi,rf,smote+kmeans,recall,0.1692111959287532
ccc,asmt_stdnt_abd,rf,smote+kmeans,accuracy,0.8725023786869648
ccc,asmt_stdnt_abd,rf,smote+kmeans,fscore,0.022784280936454848
ccc,asmt_stdnt_abd,rf,smote+kmeans,precision,0.17084639498432602
ccc,asmt_stdnt_abd,rf,smote+kmeans,recall,0.138676844783715
ccc,asmt_stdnt_abi,rf,smote+kmeans,accuracy,0.868485040701977
ccc,asmt_stdnt_abi,rf,smote+kmeans,fscore,0.023816985271074897
ccc,asmt_stdnt_abi,rf,smote+kmeans,precision,0.1661807580174927
ccc,asmt_stdnt_abi,rf,smote+kmeans,recall,0.1450381679389313
