module,attributes,classifier,technique,metric,score
ddd,asmt,rf,smote+kmeans,accuracy,0.5994583207944628
ddd,asmt,rf,smote+kmeans,fscore,0.09652012029213804
ddd,asmt,rf,smote+kmeans,precision,0.11608680675163625
ddd,asmt,rf,smote+kmeans,recall,0.7782909930715936
ddd,stdnt,rf,smote+kmeans,accuracy,0.7845320493529943
ddd,stdnt,rf,smote+kmeans,fscore,0.02172942402143176
ddd,stdnt,rf,smote+kmeans,precision,0.06375545851528384
ddd,stdnt,rf,smote+kmeans,recall,0.16859122401847576
ddd,abd,rf,smote+kmeans,accuracy,0.9047547396930484
ddd,abd,rf,smote+kmeans,fscore,0.020256181114089958
ddd,abd,rf,smote+kmeans,precision,0.2023809523809524
ddd,abd,rf,smote+kmeans,recall,0.15704387990762125
ddd,abi,rf,smote+kmeans,accuracy,0.904604273247066
ddd,abi,rf,smote+kmeans,fscore,0.02084574151280524
ddd,abi,rf,smote+kmeans,precision,0.20527859237536655
ddd,abi,rf,smote+kmeans,recall,0.16166281755196305
ddd,asmt_stdnt,rf,smote+kmeans,accuracy,0.8135720734276256
ddd,asmt_stdnt,rf,smote+kmeans,fscore,0.03256364712847839
ddd,asmt_stdnt,rf,smote+kmeans,precision,0.10721247563352826
ddd,asmt_stdnt,rf,smote+kmeans,recall,0.2540415704387991
ddd,asmt_abd,rf,smote+kmeans,accuracy,0.8832380379175444
ddd,asmt_abd,rf,smote+kmeans,fscore,0.04183853859752505
ddd,asmt_abd,rf,smote+kmeans,precision,0.22647527910685805
ddd,asmt_abd,rf,smote+kmeans,recall,0.3279445727482679
ddd,asmt_abi,rf,smote+kmeans,accuracy,0.8912127595546193
ddd,asmt_abi,rf,smote+kmeans,fscore,0.04241531664212077
ddd,asmt_abi,rf,smote+kmeans,precision,0.2491349480968858
ddd,asmt_abi,rf,smote+kmeans,recall,0.3325635103926097
ddd,stdnt_abd,rf,smote+kmeans,accuracy,0.9127294613301232
ddd,stdnt_abd,rf,smote+kmeans,fscore,0.017598806860551826
ddd,stdnt_abd,rf,smote+kmeans,precision,0.22264150943396227
ddd,stdnt_abd,rf,smote+kmeans,recall,0.13625866050808313
ddd,stdnt_abi,rf,smote+kmeans,accuracy,0.9071622028287692
ddd,stdnt_abi,rf,smote+kmeans,fscore,0.014637789395070946
ddd,stdnt_abi,rf,smote+kmeans,precision,0.17375886524822695
ddd,stdnt_abi,rf,smote+kmeans,recall,0.11316397228637412
ddd,asmt_stdnt_abd,rf,smote+kmeans,accuracy,0.8930183569064098
ddd,asmt_stdnt_abd,rf,smote+kmeans,fscore,0.04097273397199705
ddd,asmt_stdnt_abd,rf,smote+kmeans,precision,0.25
ddd,asmt_stdnt_abd,rf,smote+kmeans,recall,0.3210161662817552
ddd,asmt_stdnt_abi,rf,smote+kmeans,accuracy,0.8773698465242251
ddd,asmt_stdnt_abi,rf,smote+kmeans,fscore,0.047877808782493765
ddd,asmt_stdnt_abi,rf,smote+kmeans,precision,0.23022598870056496
ddd,asmt_stdnt_abi,rf,smote+kmeans,recall,0.3764434180138568
