module,attributes,classifier,technique,metric,score
eee,asmt,rf,smote+kmeans,accuracy,0.5502920181700195
eee,asmt,rf,smote+kmeans,fscore,0.02118780096308186
eee,asmt,rf,smote+kmeans,precision,0.023454157782515996
eee,asmt,rf,smote+kmeans,recall,0.7333333333333333
eee,stdnt,rf,smote+kmeans,accuracy,0.954574951330305
eee,stdnt,rf,smote+kmeans,fscore,0.0006487187804086928
eee,stdnt,rf,smote+kmeans,precision,0.010309278350515464
eee,stdnt,rf,smote+kmeans,recall,0.022222222222222227
eee,abd,rf,smote+kmeans,accuracy,0.9733939000648928
eee,abd,rf,smote+kmeans,fscore,0.0012970168612191958
eee,abd,rf,smote+kmeans,precision,0.04878048780487805
eee,abd,rf,smote+kmeans,recall,0.04444444444444445
eee,abi,rf,smote+kmeans,accuracy,0.9759896171317326
eee,abi,rf,smote+kmeans,fscore,0.002592352559948153
eee,abi,rf,smote+kmeans,precision,0.10810810810810813
eee,abi,rf,smote+kmeans,recall,0.08888888888888889
eee,asmt_stdnt,rf,smote+kmeans,accuracy,0.9571706683971448
eee,asmt_stdnt,rf,smote+kmeans,fscore,0.0
eee,asmt_stdnt,rf,smote+kmeans,precision,0.0
eee,asmt_stdnt,rf,smote+kmeans,recall,0.0
eee,asmt_abd,rf,smote+kmeans,accuracy,0.9649578195976638
eee,asmt_abd,rf,smote+kmeans,fscore,0.004532211071544189
eee,asmt_abd,rf,smote+kmeans,precision,0.09090909090909093
eee,asmt_abd,rf,smote+kmeans,recall,0.15555555555555556
eee,asmt_abi,rf,smote+kmeans,accuracy,0.9695003244646332
eee,asmt_abi,rf,smote+kmeans,fscore,0.0019448946515397078
eee,asmt_abi,rf,smote+kmeans,precision,0.054545454545454536
eee,asmt_abi,rf,smote+kmeans,recall,0.06666666666666668
eee,stdnt_abd,rf,smote+kmeans,accuracy,0.9785853341985724
eee,stdnt_abd,rf,smote+kmeans,fscore,0.0012970168612191958
eee,stdnt_abd,rf,smote+kmeans,precision,0.08
eee,stdnt_abd,rf,smote+kmeans,recall,0.04444444444444445
eee,stdnt_abi,rf,smote+kmeans,accuracy,0.9815055158987671
eee,stdnt_abi,rf,smote+kmeans,fscore,0.0006487187804086928
eee,stdnt_abi,rf,smote+kmeans,precision,0.07142857142857142
eee,stdnt_abi,rf,smote+kmeans,recall,0.022222222222222227
eee,asmt_stdnt_abd,rf,smote+kmeans,accuracy,0.9782608695652174
eee,asmt_stdnt_abd,rf,smote+kmeans,fscore,0.0012970168612191958
eee,asmt_stdnt_abd,rf,smote+kmeans,precision,0.07692307692307693
eee,asmt_stdnt_abd,rf,smote+kmeans,recall,0.04444444444444445
eee,asmt_stdnt_abi,rf,smote+kmeans,accuracy,0.9759896171317326
eee,asmt_stdnt_abi,rf,smote+kmeans,fscore,0.0006487187804086928
eee,asmt_stdnt_abi,rf,smote+kmeans,precision,0.03225806451612903
eee,asmt_stdnt_abi,rf,smote+kmeans,recall,0.022222222222222227
