module,attributes,classifier,technique,metric,score
fff,asmt,rf,smote+kmeans,accuracy,0.676088667366212
fff,asmt,rf,smote+kmeans,fscore,0.028700711053652232
fff,asmt,rf,smote+kmeans,precision,0.04329173166926677
fff,asmt,rf,smote+kmeans,recall,0.8705882352941177
fff,stdnt,rf,smote+kmeans,accuracy,0.9196615949632738
fff,stdnt,rf,smote+kmeans,fscore,0.0022273173927284643
fff,stdnt,rf,smote+kmeans,precision,0.01693227091633466
fff,stdnt,rf,smote+kmeans,recall,0.06666666666666668
fff,abd,rf,smote+kmeans,accuracy,0.9677990556138509
fff,abd,rf,smote+kmeans,fscore,0.005885045445628719
fff,abd,rf,smote+kmeans,precision,0.13803680981595093
fff,abd,rf,smote+kmeans,recall,0.17647058823529413
fff,abi,rf,smote+kmeans,accuracy,0.957240293809024
fff,abi,rf,smote+kmeans,fscore,0.0066671024249950975
fff,abi,rf,smote+kmeans,precision,0.10220440881763528
fff,abi,rf,smote+kmeans,recall,0.2
fff,asmt_stdnt,rf,smote+kmeans,accuracy,0.9660939139559288
fff,asmt_stdnt,rf,smote+kmeans,fscore,0.0020964360587002093
fff,asmt_stdnt,rf,smote+kmeans,precision,0.054421768707482984
fff,asmt_stdnt,rf,smote+kmeans,recall,0.06274509803921569
fff,asmt_abd,rf,smote+kmeans,accuracy,0.9670120671563484
fff,asmt_abd,rf,smote+kmeans,fscore,0.006145799280810722
fff,asmt_abd,rf,smote+kmeans,precision,0.13742690058479531
fff,asmt_abd,rf,smote+kmeans,recall,0.1843137254901961
fff,asmt_abi,rf,smote+kmeans,accuracy,0.9062172088142708
fff,asmt_abi,rf,smote+kmeans,fscore,0.007318348144276007
fff,asmt_abi,rf,smote+kmeans,precision,0.04351204351204351
fff,asmt_abi,rf,smote+kmeans,recall,0.2196078431372549
fff,stdnt_abd,rf,smote+kmeans,accuracy,0.9769805876180484
fff,stdnt_abd,rf,smote+kmeans,fscore,0.0043190890648517775
fff,stdnt_abd,rf,smote+kmeans,precision,0.2037037037037037
fff,stdnt_abd,rf,smote+kmeans,recall,0.12941176470588234
fff,stdnt_abi,rf,smote+kmeans,accuracy,0.9719963273871984
fff,stdnt_abi,rf,smote+kmeans,fscore,0.005102374566625237
fff,stdnt_abi,rf,smote+kmeans,precision,0.156
fff,stdnt_abi,rf,smote+kmeans,recall,0.15294117647058825
fff,asmt_stdnt_abd,rf,smote+kmeans,accuracy,0.9754066107030429
fff,asmt_stdnt_abd,rf,smote+kmeans,fscore,0.0035351882160392797
fff,asmt_stdnt_abd,rf,smote+kmeans,precision,0.15517241379310345
fff,asmt_stdnt_abd,rf,smote+kmeans,recall,0.10588235294117647
fff,asmt_stdnt_abi,rf,smote+kmeans,accuracy,0.9727177334732424
fff,asmt_stdnt_abi,rf,smote+kmeans,fscore,0.003796556915624796
fff,asmt_stdnt_abi,rf,smote+kmeans,precision,0.1324200913242009
fff,asmt_stdnt_abi,rf,smote+kmeans,recall,0.11372549019607844
