module,attributes,classifier,technique,metric,score
ggg,asmt,rf,smote+kmeans,accuracy,0.7581384685923888
ggg,asmt,rf,smote+kmeans,fscore,0.018173557473875508
ggg,asmt,rf,smote+kmeans,precision,0.03853564547206165
ggg,asmt,rf,smote+kmeans,recall,0.4123711340206185
ggg,stdnt,rf,smote+kmeans,accuracy,0.9197615772581385
ggg,stdnt,rf,smote+kmeans,fscore,0.00045840018336007336
ggg,stdnt,rf,smote+kmeans,precision,0.0039215686274509795
ggg,stdnt,rf,smote+kmeans,recall,0.010309278350515464
ggg,abd,rf,smote+kmeans,accuracy,0.958963778083448
ggg,abd,rf,smote+kmeans,fscore,0.0027472527472527475
ggg,abd,rf,smote+kmeans,precision,0.06382978723404255
ggg,abd,rf,smote+kmeans,recall,0.061855670103092786
ggg,abi,rf,smote+kmeans,accuracy,0.8670334708849152
ggg,abi,rf,smote+kmeans,fscore,0.009128251939753538
ggg,abi,rf,smote+kmeans,precision,0.03824091778202677
ggg,abi,rf,smote+kmeans,recall,0.20618556701030927
ggg,asmt_stdnt,rf,smote+kmeans,accuracy,0.9598807886290692
ggg,asmt_stdnt,rf,smote+kmeans,fscore,0.00045840018336007336
ggg,asmt_stdnt,rf,smote+kmeans,precision,0.0125
ggg,asmt_stdnt,rf,smote+kmeans,recall,0.010309278350515464
ggg,asmt_abd,rf,smote+kmeans,accuracy,0.966299862448418
ggg,asmt_abd,rf,smote+kmeans,fscore,0.004118050789293068
ggg,asmt_abd,rf,smote+kmeans,precision,0.1323529411764706
ggg,asmt_abd,rf,smote+kmeans,recall,0.09278350515463918
ggg,asmt_abi,rf,smote+kmeans,accuracy,0.8904172397982577
ggg,asmt_abi,rf,smote+kmeans,fscore,0.009582477754962355
ggg,asmt_abi,rf,smote+kmeans,precision,0.04964539007092199
ggg,asmt_abi,rf,smote+kmeans,recall,0.21649484536082475
ggg,stdnt_abd,rf,smote+kmeans,accuracy,0.9740944520861988
ggg,stdnt_abd,rf,smote+kmeans,fscore,0.0
ggg,stdnt_abd,rf,smote+kmeans,precision,0.0
ggg,stdnt_abd,rf,smote+kmeans,recall,0.0
ggg,stdnt_abi,rf,smote+kmeans,accuracy,0.9635488308115544
ggg,stdnt_abi,rf,smote+kmeans,fscore,0.00045840018336007336
ggg,stdnt_abi,rf,smote+kmeans,precision,0.015625
ggg,stdnt_abi,rf,smote+kmeans,recall,0.010309278350515464
ggg,asmt_stdnt_abd,rf,smote+kmeans,accuracy,0.971801925722146
ggg,asmt_stdnt_abd,rf,smote+kmeans,fscore,0.0
ggg,asmt_stdnt_abd,rf,smote+kmeans,precision,0.0
ggg,asmt_stdnt_abd,rf,smote+kmeans,recall,0.0
ggg,asmt_stdnt_abi,rf,smote+kmeans,accuracy,0.9713434204493352
ggg,asmt_stdnt_abi,rf,smote+kmeans,fscore,0.00045840018336007336
ggg,asmt_stdnt_abi,rf,smote+kmeans,precision,0.03333333333333333
ggg,asmt_stdnt_abi,rf,smote+kmeans,recall,0.010309278350515464
