module,attributes,classifier,technique,metric,score
aaa,asmt,rf,smote+pca,accuracy,0.4379661016949152
aaa,asmt,rf,smote+pca,fscore,0.04765056254136334
aaa,asmt,rf,smote+pca,precision,0.04230317273795535
aaa,asmt,rf,smote+pca,recall,0.72
aaa,stdnt,rf,smote+pca,accuracy,0.8928813559322034
aaa,stdnt,rf,smote+pca,fscore,0.012129380053908356
aaa,stdnt,rf,smote+pca,precision,0.07142857142857142
aaa,stdnt,rf,smote+pca,recall,0.18
aaa,abd,rf,smote+pca,accuracy,0.9057627118644068
aaa,abd,rf,smote+pca,fscore,0.01346801346801347
aaa,abd,rf,smote+pca,precision,0.09174311926605504
aaa,abd,rf,smote+pca,recall,0.2
aaa,abi,rf,smote+pca,accuracy,0.9091525423728812
aaa,abi,rf,smote+pca,fscore,0.01613987895090787
aaa,abi,rf,smote+pca,precision,0.1111111111111111
aaa,abi,rf,smote+pca,recall,0.24
aaa,asmt_stdnt,rf,smote+pca,accuracy,0.9505084745762712
aaa,asmt_stdnt,rf,smote+pca,fscore,0.0040595399188092015
aaa,asmt_stdnt,rf,smote+pca,precision,0.10344827586206896
aaa,asmt_stdnt,rf,smote+pca,recall,0.06
aaa,asmt_abd,rf,smote+pca,accuracy,0.9138983050847458
aaa,asmt_abd,rf,smote+pca,fscore,0.01613987895090787
aaa,asmt_abd,rf,smote+pca,precision,0.1188118811881188
aaa,asmt_abd,rf,smote+pca,recall,0.24
aaa,asmt_abi,rf,smote+pca,accuracy,0.9166101694915254
aaa,asmt_abi,rf,smote+pca,fscore,0.01078894133513149
aaa,asmt_abi,rf,smote+pca,precision,0.0898876404494382
aaa,asmt_abi,rf,smote+pca,recall,0.16
aaa,stdnt_abd,rf,smote+pca,accuracy,0.9281355932203391
aaa,stdnt_abd,rf,smote+pca,fscore,0.008102633355840648
aaa,stdnt_abd,rf,smote+pca,precision,0.08823529411764706
aaa,stdnt_abd,rf,smote+pca,recall,0.12
aaa,stdnt_abi,rf,smote+pca,accuracy,0.9328813559322032
aaa,stdnt_abi,rf,smote+pca,fscore,0.0027081922816519968
aaa,stdnt_abi,rf,smote+pca,precision,0.03773584905660377
aaa,stdnt_abi,rf,smote+pca,recall,0.04
aaa,asmt_stdnt_abd,rf,smote+pca,accuracy,0.9444067796610168
aaa,asmt_stdnt_abd,rf,smote+pca,fscore,0.009446693657219974
aaa,asmt_stdnt_abd,rf,smote+pca,precision,0.15217391304347827
aaa,asmt_stdnt_abd,rf,smote+pca,recall,0.14
aaa,asmt_stdnt_abi,rf,smote+pca,accuracy,0.9383050847457628
aaa,asmt_stdnt_abi,rf,smote+pca,fscore,0.0054090601757944565
aaa,asmt_stdnt_abi,rf,smote+pca,precision,0.08163265306122447
aaa,asmt_stdnt_abi,rf,smote+pca,recall,0.08
