module,attributes,classifier,technique,metric,score
bbb,asmt,rf,smote+pca,accuracy,0.3661492374727669
bbb,asmt,rf,smote+pca,fscore,0.026602176541717048
bbb,asmt,rf,smote+pca,precision,0.02468212415856395
bbb,asmt,rf,smote+pca,recall,0.11757719714964372
bbb,stdnt,rf,smote+pca,accuracy,0.8088235294117647
bbb,stdnt,rf,smote+pca,fscore,0.024213075060532687
bbb,stdnt,rf,smote+pca,precision,0.12129380053908355
bbb,stdnt,rf,smote+pca,recall,0.10688836104513064
bbb,abd,rf,smote+pca,accuracy,0.8488562091503268
bbb,abd,rf,smote+pca,fscore,0.007596310363537711
bbb,abd,rf,smote+pca,precision,0.08641975308641975
bbb,abd,rf,smote+pca,recall,0.0332541567695962
bbb,abi,rf,smote+pca,accuracy,0.8442265795206971
bbb,abi,rf,smote+pca,fscore,0.008676789587852495
bbb,abi,rf,smote+pca,precision,0.08743169398907104
bbb,abi,rf,smote+pca,recall,0.03800475059382423
bbb,asmt_stdnt,rf,smote+pca,accuracy,0.8402777777777778
bbb,asmt_stdnt,rf,smote+pca,fscore,0.0027196083763937995
bbb,asmt_stdnt,rf,smote+pca,precision,0.028490028490028487
bbb,asmt_stdnt,rf,smote+pca,recall,0.011876484560570073
bbb,asmt_abd,rf,smote+pca,accuracy,0.875
bbb,asmt_abd,rf,smote+pca,fscore,0.0008166598611678236
bbb,asmt_abd,rf,smote+pca,precision,0.03658536585365853
bbb,asmt_abd,rf,smote+pca,recall,0.003562945368171021
bbb,asmt_abi,rf,smote+pca,accuracy,0.8700980392156863
bbb,asmt_abi,rf,smote+pca,fscore,0.0008166598611678236
bbb,asmt_abi,rf,smote+pca,precision,0.025423728813559324
bbb,asmt_abi,rf,smote+pca,recall,0.003562945368171021
bbb,stdnt_abd,rf,smote+pca,accuracy,0.8777233115468409
bbb,stdnt_abd,rf,smote+pca,fscore,0.0032626427406199023
bbb,stdnt_abd,rf,smote+pca,precision,0.15
bbb,stdnt_abd,rf,smote+pca,recall,0.014251781472684088
bbb,stdnt_abi,rf,smote+pca,accuracy,0.8695533769063181
bbb,stdnt_abi,rf,smote+pca,fscore,0.0019045027887362265
bbb,stdnt_abi,rf,smote+pca,precision,0.05384615384615385
bbb,stdnt_abi,rf,smote+pca,recall,0.00831353919239905
bbb,asmt_stdnt_abd,rf,smote+pca,accuracy,0.8771786492374728
bbb,asmt_stdnt_abd,rf,smote+pca,fscore,0.0005445140212360467
bbb,asmt_stdnt_abd,rf,smote+pca,precision,0.03125
bbb,asmt_stdnt_abd,rf,smote+pca,recall,0.0023752969121140144
bbb,asmt_stdnt_abi,rf,smote+pca,accuracy,0.8748638344226579
bbb,asmt_stdnt_abi,rf,smote+pca,fscore,0.0
bbb,asmt_stdnt_abi,rf,smote+pca,precision,0.0
bbb,asmt_stdnt_abi,rf,smote+pca,recall,0.0
