module,attributes,classifier,technique,metric,score
ccc,asmt,rf,smote+pca,accuracy,0.7621313035204567
ccc,asmt,rf,smote+pca,fscore,0.03367633302151544
ccc,asmt,rf,smote+pca,precision,0.09060402684563758
ccc,asmt,rf,smote+pca,recall,0.20610687022900764
ccc,stdnt,rf,smote+pca,accuracy,0.6870705148535786
ccc,stdnt,rf,smote+pca,fscore,0.06386245010746085
ccc,stdnt,rf,smote+pca,precision,0.1115082201572552
ccc,stdnt,rf,smote+pca,recall,0.3969465648854962
ccc,abd,rf,smote+pca,accuracy,0.8092821651337351
ccc,abd,rf,smote+pca,fscore,0.04606486263168767
ccc,abd,rf,smote+pca,precision,0.1523224043715847
ccc,abd,rf,smote+pca,recall,0.2837150127226463
ccc,abi,rf,smote+pca,accuracy,0.8010360503224442
ccc,abi,rf,smote+pca,fscore,0.0474765197646816
ccc,abi,rf,smote+pca,precision,0.14781491002570693
ccc,abi,rf,smote+pca,recall,0.2926208651399491
ccc,asmt_stdnt,rf,smote+pca,accuracy,0.8346548260915531
ccc,asmt_stdnt,rf,smote+pca,fscore,0.026496974754850824
ccc,asmt_stdnt,rf,smote+pca,precision,0.12306201550387595
ccc,asmt_stdnt,rf,smote+pca,recall,0.16157760814249364
ccc,asmt_abd,rf,smote+pca,accuracy,0.804841949466117
ccc,asmt_abd,rf,smote+pca,fscore,0.04141215446733616
ccc,asmt_abd,rf,smote+pca,precision,0.136986301369863
ccc,asmt_abd,rf,smote+pca,recall,0.2544529262086514
ccc,asmt_abi,rf,smote+pca,accuracy,0.8052648271487473
ccc,asmt_abi,rf,smote+pca,fscore,0.0442468727385506
ccc,asmt_abi,rf,smote+pca,precision,0.14420485175202155
ccc,asmt_abi,rf,smote+pca,recall,0.272264631043257
ccc,stdnt_abd,rf,smote+pca,accuracy,0.8234485675018501
ccc,stdnt_abd,rf,smote+pca,fscore,0.0408036454018227
ccc,stdnt_abd,rf,smote+pca,precision,0.1541471048513302
ccc,stdnt_abd,rf,smote+pca,recall,0.2506361323155216
ccc,stdnt_abi,rf,smote+pca,accuracy,0.8289459773760441
ccc,stdnt_abi,rf,smote+pca,fscore,0.04060072501294666
ccc,stdnt_abi,rf,smote+pca,precision,0.16013071895424835
ccc,stdnt_abi,rf,smote+pca,recall,0.2493638676844784
ccc,asmt_stdnt_abd,rf,smote+pca,accuracy,0.8485040701976954
ccc,asmt_stdnt_abd,rf,smote+pca,fscore,0.0346976937461043
ccc,asmt_stdnt_abd,rf,smote+pca,precision,0.17023445463812434
ccc,asmt_stdnt_abd,rf,smote+pca,recall,0.21246819338422396
ccc,asmt_stdnt_abi,rf,smote+pca,accuracy,0.8416323078549529
ccc,asmt_stdnt_abi,rf,smote+pca,fscore,0.03142559833506764
ccc,asmt_stdnt_abi,rf,smote+pca,precision,0.14891518737672585
ccc,asmt_stdnt_abi,rf,smote+pca,recall,0.1921119592875318
