module,attributes,classifier,technique,metric,score
eee,asmt,rf,smote+pca,accuracy,0.5502920181700195
eee,asmt,rf,smote+pca,fscore,0.02118780096308186
eee,asmt,rf,smote+pca,precision,0.023454157782515996
eee,asmt,rf,smote+pca,recall,0.7333333333333333
eee,stdnt,rf,smote+pca,accuracy,0.9402985074626866
eee,stdnt,rf,smote+pca,fscore,0.0006487187804086928
eee,stdnt,rf,smote+pca,precision,0.007092198581560284
eee,stdnt,rf,smote+pca,recall,0.022222222222222227
eee,abd,rf,smote+pca,accuracy,0.9493835171966256
eee,abd,rf,smote+pca,fscore,0.005823358136525397
eee,abd,rf,smote+pca,precision,0.06976744186046513
eee,abd,rf,smote+pca,recall,0.2
eee,abi,rf,smote+pca,accuracy,0.9464633354964308
eee,abi,rf,smote+pca,fscore,0.009686793671294802
eee,abi,rf,smote+pca,precision,0.1
eee,abi,rf,smote+pca,recall,0.3333333333333333
eee,asmt_stdnt,rf,smote+pca,accuracy,0.963984425697599
eee,asmt_stdnt,rf,smote+pca,fscore,0.0006487187804086928
eee,asmt_stdnt,rf,smote+pca,precision,0.014705882352941175
eee,asmt_stdnt,rf,smote+pca,recall,0.022222222222222227
eee,asmt_abd,rf,smote+pca,accuracy,0.9399740428293316
eee,asmt_abd,rf,smote+pca,fscore,0.009043927648578809
eee,asmt_abd,rf,smote+pca,precision,0.08333333333333333
eee,asmt_abd,rf,smote+pca,recall,0.3111111111111111
eee,asmt_abi,rf,smote+pca,accuracy,0.9406229720960416
eee,asmt_abi,rf,smote+pca,fscore,0.010329244673983214
eee,asmt_abi,rf,smote+pca,precision,0.09411764705882353
eee,asmt_abi,rf,smote+pca,recall,0.3555555555555556
eee,stdnt_abd,rf,smote+pca,accuracy,0.9529526281635302
eee,stdnt_abd,rf,smote+pca,fscore,0.005823358136525397
eee,stdnt_abd,rf,smote+pca,precision,0.07627118644067797
eee,stdnt_abd,rf,smote+pca,recall,0.2
eee,stdnt_abi,rf,smote+pca,accuracy,0.9467878001297858
eee,stdnt_abi,rf,smote+pca,fscore,0.003886010362694301
eee,stdnt_abi,rf,smote+pca,precision,0.04580152671755725
eee,stdnt_abi,rf,smote+pca,recall,0.13333333333333333
eee,asmt_stdnt_abd,rf,smote+pca,accuracy,0.95554834523037
eee,asmt_stdnt_abd,rf,smote+pca,fscore,0.005823358136525397
eee,asmt_stdnt_abd,rf,smote+pca,precision,0.08181818181818183
eee,asmt_stdnt_abd,rf,smote+pca,recall,0.2
eee,asmt_stdnt_abi,rf,smote+pca,accuracy,0.9633354964308891
eee,asmt_stdnt_abi,rf,smote+pca,fscore,0.005823358136525397
eee,asmt_stdnt_abi,rf,smote+pca,precision,0.10465116279069768
eee,asmt_stdnt_abi,rf,smote+pca,recall,0.2
