module,attributes,classifier,technique,metric,score
bbb,asmt,rf,smote,accuracy,0.3661492374727669
bbb,asmt,rf,smote,fscore,0.026602176541717048
bbb,asmt,rf,smote,precision,0.02468212415856395
bbb,asmt,rf,smote,recall,0.11757719714964372
bbb,stdnt,rf,smote,accuracy,0.8523965141612201
bbb,stdnt,rf,smote,fscore,0.012180267965895249
bbb,stdnt,rf,smote,precision,0.1355421686746988
bbb,stdnt,rf,smote,recall,0.05344418052256532
bbb,abd,rf,smote,accuracy,0.8748638344226579
bbb,abd,rf,smote,fscore,0.005702647657841141
bbb,abd,rf,smote,precision,0.17647058823529413
bbb,abd,rf,smote,recall,0.02494061757719715
bbb,abi,rf,smote,accuracy,0.8815359477124183
bbb,abi,rf,smote,fscore,0.0027196083763937995
bbb,abi,rf,smote,precision,0.20833333333333331
bbb,abi,rf,smote,recall,0.011876484560570073
bbb,asmt_stdnt,rf,smote,accuracy,0.6760620915032679
bbb,asmt_stdnt,rf,smote,fscore,0.006244061354689834
bbb,asmt_stdnt,rf,smote,precision,0.014529374605180037
bbb,asmt_stdnt,rf,smote,recall,0.02731591448931116
bbb,asmt_abd,rf,smote,accuracy,0.8818082788671024
bbb,asmt_abd,rf,smote,fscore,0.0019045027887362265
bbb,asmt_abd,rf,smote,precision,0.175
bbb,asmt_abd,rf,smote,recall,0.00831353919239905
bbb,asmt_abi,rf,smote,accuracy,0.8842592592592593
bbb,asmt_abi,rf,smote,fscore,0.0013607293509320993
bbb,asmt_abi,rf,smote,precision,0.2777777777777778
bbb,asmt_abi,rf,smote,recall,0.005938242280285036
bbb,stdnt_abd,rf,smote,accuracy,0.8848039215686274
bbb,stdnt_abd,rf,smote,fscore,0.0
bbb,stdnt_abd,rf,smote,precision,0.0
bbb,stdnt_abd,rf,smote,recall,0.0
bbb,stdnt_abi,rf,smote,accuracy,0.8848039215686274
bbb,stdnt_abi,rf,smote,fscore,0.0
bbb,stdnt_abi,rf,smote,precision,0.0
bbb,stdnt_abi,rf,smote,recall,0.0
bbb,asmt_stdnt_abd,rf,smote,accuracy,0.8833061002178649
bbb,asmt_stdnt_abd,rf,smote,fscore,0.0
bbb,asmt_stdnt_abd,rf,smote,precision,0.0
bbb,asmt_stdnt_abd,rf,smote,recall,0.0
bbb,asmt_stdnt_abi,rf,smote,accuracy,0.8837145969498911
bbb,asmt_stdnt_abi,rf,smote,fscore,0.0
bbb,asmt_stdnt_abi,rf,smote,precision,0.0
bbb,asmt_stdnt_abi,rf,smote,recall,0.0
