module,attributes,classifier,technique,metric,score
ccc,asmt,rf,smote,accuracy,0.7621313035204567
ccc,asmt,rf,smote,fscore,0.03367633302151544
ccc,asmt,rf,smote,precision,0.09060402684563758
ccc,asmt,rf,smote,recall,0.20610687022900764
ccc,stdnt,rf,smote,accuracy,0.7996616978538957
ccc,stdnt,rf,smote,fscore,0.032039945906584835
ccc,stdnt,rf,smote,precision,0.1086803105151729
ccc,stdnt,rf,smote,recall,0.1959287531806616
ccc,abd,rf,smote,accuracy,0.8737710117348557
ccc,abd,rf,smote,fscore,0.019886958342055682
ccc,abd,rf,smote,precision,0.1588628762541806
ccc,abd,rf,smote,recall,0.1208651399491094
ccc,abi,rf,smote,accuracy,0.8508298974521621
ccc,abi,rf,smote,fscore,0.025467070243189647
ccc,abi,rf,smote,precision,0.14039125431530494
ccc,abi,rf,smote,recall,0.15521628498727735
ccc,asmt_stdnt,rf,smote,accuracy,0.8626704725658103
ccc,asmt_stdnt,rf,smote,fscore,0.015941269008914526
ccc,asmt_stdnt,rf,smote,precision,0.11428571428571427
ccc,asmt_stdnt,rf,smote,recall,0.09669211195928754
ccc,asmt_abd,rf,smote,accuracy,0.8555872713817528
ccc,asmt_abd,rf,smote,fscore,0.02752580544260244
ccc,asmt_abd,rf,smote,precision,0.15639810426540285
ccc,asmt_abd,rf,smote,recall,0.16793893129770993
ccc,asmt_abi,rf,smote,accuracy,0.8435352574267893
ccc,asmt_abi,rf,smote,fscore,0.029990627928772263
ccc,asmt_abi,rf,smote,precision,0.14663951120162932
ccc,asmt_abi,rf,smote,recall,0.18320610687022898
ccc,stdnt_abd,rf,smote,accuracy,0.8829686013320647
ccc,stdnt_abd,rf,smote,fscore,0.01510859301227573
ccc,stdnt_abd,rf,smote,precision,0.15483870967741936
ccc,stdnt_abd,rf,smote,recall,0.0916030534351145
ccc,stdnt_abi,rf,smote,accuracy,0.8751453642034042
ccc,stdnt_abi,rf,smote,fscore,0.02237089692661509
ccc,stdnt_abi,rf,smote,precision,0.17569786535303775
ccc,stdnt_abi,rf,smote,recall,0.1361323155216285
ccc,asmt_stdnt_abd,rf,smote,accuracy,0.8889946083095465
ccc,asmt_stdnt_abd,rf,smote,fscore,0.015525018357285219
ccc,asmt_stdnt_abd,rf,smote,precision,0.1796116504854369
ccc,asmt_stdnt_abd,rf,smote,recall,0.094147582697201
ccc,asmt_stdnt_abi,rf,smote,accuracy,0.8768368749339254
ccc,asmt_stdnt_abi,rf,smote,fscore,0.01905759162303665
ccc,asmt_stdnt_abi,rf,smote,precision,0.1622103386809269
ccc,asmt_stdnt_abi,rf,smote,recall,0.11577608142493638
