module,attributes,classifier,technique,metric,score
eee,asmt,rf,smote,accuracy,0.5502920181700195
eee,asmt,rf,smote,fscore,0.02118780096308186
eee,asmt,rf,smote,precision,0.023454157782515996
eee,asmt,rf,smote,recall,0.7333333333333333
eee,stdnt,rf,smote,accuracy,0.9766385463984426
eee,stdnt,rf,smote,fscore,0.0019448946515397078
eee,stdnt,rf,smote,precision,0.09090909090909093
eee,stdnt,rf,smote,recall,0.06666666666666668
eee,abd,rf,smote,accuracy,0.9802076573653472
eee,abd,rf,smote,fscore,0.0012970168612191958
eee,abd,rf,smote,precision,0.1
eee,abd,rf,smote,recall,0.04444444444444445
eee,abi,rf,smote,accuracy,0.9763140817650876
eee,abi,rf,smote,fscore,0.0019448946515397078
eee,abi,rf,smote,precision,0.08823529411764706
eee,abi,rf,smote,recall,0.06666666666666668
eee,asmt_stdnt,rf,smote,accuracy,0.9581440622972096
eee,asmt_stdnt,rf,smote,fscore,0.0006487187804086928
eee,asmt_stdnt,rf,smote,precision,0.011627906976744186
eee,asmt_stdnt,rf,smote,recall,0.022222222222222227
eee,asmt_abd,rf,smote,accuracy,0.9652822842310188
eee,asmt_abd,rf,smote,fscore,0.005177993527508091
eee,asmt_abd,rf,smote,precision,0.10256410256410256
eee,asmt_abd,rf,smote,recall,0.17777777777777778
eee,asmt_abi,rf,smote,accuracy,0.9701492537313432
eee,asmt_abi,rf,smote,fscore,0.0006487187804086928
eee,asmt_abi,rf,smote,precision,0.020408163265306117
eee,asmt_abi,rf,smote,recall,0.022222222222222227
eee,stdnt_abd,rf,smote,accuracy,0.9844256975989616
eee,stdnt_abd,rf,smote,fscore,0.0006487187804086928
eee,stdnt_abd,rf,smote,precision,0.2
eee,stdnt_abd,rf,smote,recall,0.022222222222222227
eee,stdnt_abi,rf,smote,accuracy,0.9837767683322518
eee,stdnt_abi,rf,smote,fscore,0.0006487187804086928
eee,stdnt_abi,rf,smote,precision,0.14285714285714285
eee,stdnt_abi,rf,smote,recall,0.022222222222222227
eee,asmt_stdnt_abd,rf,smote,accuracy,0.9792342634652824
eee,asmt_stdnt_abd,rf,smote,fscore,0.0006487187804086928
eee,asmt_stdnt_abd,rf,smote,precision,0.047619047619047616
eee,asmt_stdnt_abd,rf,smote,recall,0.022222222222222227
eee,asmt_stdnt_abi,rf,smote,accuracy,0.9795587280986372
eee,asmt_stdnt_abi,rf,smote,fscore,0.0006487187804086928
eee,asmt_stdnt_abi,rf,smote,precision,0.05
eee,asmt_stdnt_abi,rf,smote,recall,0.022222222222222227
