module,attributes,classifier,technique,metric,score
bbb,asmt,svm,base,accuracy,0.8853485838779956
bbb,asmt,svm,base,fscore,0.0
bbb,asmt,svm,base,precision,0.0
bbb,asmt,svm,base,recall,0.0
bbb,stdnt,svm,base,accuracy,0.8853485838779956
bbb,stdnt,svm,base,fscore,0.0
bbb,stdnt,svm,base,precision,0.0
bbb,stdnt,svm,base,recall,0.0
bbb,abd,svm,base,accuracy,0.8853485838779956
bbb,abd,svm,base,fscore,0.0
bbb,abd,svm,base,precision,0.0
bbb,abd,svm,base,recall,0.0
bbb,abi,svm,base,accuracy,0.8853485838779956
bbb,abi,svm,base,fscore,0.0
bbb,abi,svm,base,precision,0.0
bbb,abi,svm,base,recall,0.0
bbb,asmt_stdnt,svm,base,accuracy,0.8853485838779956
bbb,asmt_stdnt,svm,base,fscore,0.0
bbb,asmt_stdnt,svm,base,precision,0.0
bbb,asmt_stdnt,svm,base,recall,0.0
bbb,asmt_abd,svm,base,accuracy,0.8853485838779956
bbb,asmt_abd,svm,base,fscore,0.0
bbb,asmt_abd,svm,base,precision,0.0
bbb,asmt_abd,svm,base,recall,0.0
bbb,asmt_abi,svm,base,accuracy,0.8853485838779956
bbb,asmt_abi,svm,base,fscore,0.0
bbb,asmt_abi,svm,base,precision,0.0
bbb,asmt_abi,svm,base,recall,0.0
bbb,stdnt_abd,svm,base,accuracy,0.8853485838779956
bbb,stdnt_abd,svm,base,fscore,0.0
bbb,stdnt_abd,svm,base,precision,0.0
bbb,stdnt_abd,svm,base,recall,0.0
bbb,stdnt_abi,svm,base,accuracy,0.8853485838779956
bbb,stdnt_abi,svm,base,fscore,0.0
bbb,stdnt_abi,svm,base,precision,0.0
bbb,stdnt_abi,svm,base,recall,0.0
bbb,asmt_stdnt_abd,svm,base,accuracy,0.8853485838779956
bbb,asmt_stdnt_abd,svm,base,fscore,0.0
bbb,asmt_stdnt_abd,svm,base,precision,0.0
bbb,asmt_stdnt_abd,svm,base,recall,0.0
bbb,asmt_stdnt_abi,svm,base,accuracy,0.8853485838779956
bbb,asmt_stdnt_abi,svm,base,fscore,0.0
bbb,asmt_stdnt_abi,svm,base,precision,0.0
bbb,asmt_stdnt_abi,svm,base,recall,0.0
