module,attributes,classifier,technique,metric,score
eee,asmt,svm,base,accuracy,0.9853990914990266
eee,asmt,svm,base,fscore,0.0
eee,asmt,svm,base,precision,0.0
eee,asmt,svm,base,recall,0.0
eee,stdnt,svm,base,accuracy,0.9853990914990266
eee,stdnt,svm,base,fscore,0.0
eee,stdnt,svm,base,precision,0.0
eee,stdnt,svm,base,recall,0.0
eee,abd,svm,base,accuracy,0.9853990914990266
eee,abd,svm,base,fscore,0.0
eee,abd,svm,base,precision,0.0
eee,abd,svm,base,recall,0.0
eee,abi,svm,base,accuracy,0.9853990914990266
eee,abi,svm,base,fscore,0.0
eee,abi,svm,base,precision,0.0
eee,abi,svm,base,recall,0.0
eee,asmt_stdnt,svm,base,accuracy,0.9853990914990266
eee,asmt_stdnt,svm,base,fscore,0.0
eee,asmt_stdnt,svm,base,precision,0.0
eee,asmt_stdnt,svm,base,recall,0.0
eee,asmt_abd,svm,base,accuracy,0.9853990914990266
eee,asmt_abd,svm,base,fscore,0.0
eee,asmt_abd,svm,base,precision,0.0
eee,asmt_abd,svm,base,recall,0.0
eee,asmt_abi,svm,base,accuracy,0.9853990914990266
eee,asmt_abi,svm,base,fscore,0.0
eee,asmt_abi,svm,base,precision,0.0
eee,asmt_abi,svm,base,recall,0.0
eee,stdnt_abd,svm,base,accuracy,0.9853990914990266
eee,stdnt_abd,svm,base,fscore,0.0
eee,stdnt_abd,svm,base,precision,0.0
eee,stdnt_abd,svm,base,recall,0.0
eee,stdnt_abi,svm,base,accuracy,0.9853990914990266
eee,stdnt_abi,svm,base,fscore,0.0
eee,stdnt_abi,svm,base,precision,0.0
eee,stdnt_abi,svm,base,recall,0.0
eee,asmt_stdnt_abd,svm,base,accuracy,0.9853990914990266
eee,asmt_stdnt_abd,svm,base,fscore,0.0
eee,asmt_stdnt_abd,svm,base,precision,0.0
eee,asmt_stdnt_abd,svm,base,recall,0.0
eee,asmt_stdnt_abi,svm,base,accuracy,0.9853990914990266
eee,asmt_stdnt_abi,svm,base,fscore,0.0
eee,asmt_stdnt_abi,svm,base,precision,0.0
eee,asmt_stdnt_abi,svm,base,recall,0.0
