module,attributes,classifier,technique,metric,score
bbb,asmt,svm,ae,accuracy,0.8853485838779956
bbb,asmt,svm,ae,fscore,0.0
bbb,asmt,svm,ae,precision,0.0
bbb,asmt,svm,ae,recall,0.0
bbb,stdnt,svm,ae,accuracy,0.8853485838779956
bbb,stdnt,svm,ae,fscore,0.0
bbb,stdnt,svm,ae,precision,0.0
bbb,stdnt,svm,ae,recall,0.0
bbb,abd,svm,ae,accuracy,0.8853485838779956
bbb,abd,svm,ae,fscore,0.0
bbb,abd,svm,ae,precision,0.0
bbb,abd,svm,ae,recall,0.0
bbb,abi,svm,ae,accuracy,0.8853485838779956
bbb,abi,svm,ae,fscore,0.0
bbb,abi,svm,ae,precision,0.0
bbb,abi,svm,ae,recall,0.0
bbb,asmt_stdnt,svm,ae,accuracy,0.8853485838779956
bbb,asmt_stdnt,svm,ae,fscore,0.0
bbb,asmt_stdnt,svm,ae,precision,0.0
bbb,asmt_stdnt,svm,ae,recall,0.0
bbb,asmt_abd,svm,ae,accuracy,0.8853485838779956
bbb,asmt_abd,svm,ae,fscore,0.0
bbb,asmt_abd,svm,ae,precision,0.0
bbb,asmt_abd,svm,ae,recall,0.0
bbb,asmt_abi,svm,ae,accuracy,0.8853485838779956
bbb,asmt_abi,svm,ae,fscore,0.0
bbb,asmt_abi,svm,ae,precision,0.0
bbb,asmt_abi,svm,ae,recall,0.0
bbb,stdnt_abd,svm,ae,accuracy,0.8853485838779956
bbb,stdnt_abd,svm,ae,fscore,0.0
bbb,stdnt_abd,svm,ae,precision,0.0
bbb,stdnt_abd,svm,ae,recall,0.0
bbb,stdnt_abi,svm,ae,accuracy,0.8853485838779956
bbb,stdnt_abi,svm,ae,fscore,0.0
bbb,stdnt_abi,svm,ae,precision,0.0
bbb,stdnt_abi,svm,ae,recall,0.0
bbb,asmt_stdnt_abd,svm,ae,accuracy,0.8853485838779956
bbb,asmt_stdnt_abd,svm,ae,fscore,0.0
bbb,asmt_stdnt_abd,svm,ae,precision,0.0
bbb,asmt_stdnt_abd,svm,ae,recall,0.0
bbb,asmt_stdnt_abi,svm,ae,accuracy,0.8853485838779956
bbb,asmt_stdnt_abi,svm,ae,fscore,0.0
bbb,asmt_stdnt_abi,svm,ae,precision,0.0
bbb,asmt_stdnt_abi,svm,ae,recall,0.0
