module,attributes,classifier,technique,metric,score
ddd,asmt,svm,ae,accuracy,0.9348480288895576
ddd,asmt,svm,ae,fscore,0.0
ddd,asmt,svm,ae,precision,0.0
ddd,asmt,svm,ae,recall,0.0
ddd,stdnt,svm,ae,accuracy,0.9348480288895576
ddd,stdnt,svm,ae,fscore,0.0
ddd,stdnt,svm,ae,precision,0.0
ddd,stdnt,svm,ae,recall,0.0
ddd,abd,svm,ae,accuracy,0.9348480288895576
ddd,abd,svm,ae,fscore,0.0
ddd,abd,svm,ae,precision,0.0
ddd,abd,svm,ae,recall,0.0
ddd,abi,svm,ae,accuracy,0.9348480288895576
ddd,abi,svm,ae,fscore,0.0
ddd,abi,svm,ae,precision,0.0
ddd,abi,svm,ae,recall,0.0
ddd,asmt_stdnt,svm,ae,accuracy,0.9348480288895576
ddd,asmt_stdnt,svm,ae,fscore,0.0
ddd,asmt_stdnt,svm,ae,precision,0.0
ddd,asmt_stdnt,svm,ae,recall,0.0
ddd,asmt_abd,svm,ae,accuracy,0.9348480288895576
ddd,asmt_abd,svm,ae,fscore,0.0
ddd,asmt_abd,svm,ae,precision,0.0
ddd,asmt_abd,svm,ae,recall,0.0
ddd,asmt_abi,svm,ae,accuracy,0.9348480288895576
ddd,asmt_abi,svm,ae,fscore,0.0
ddd,asmt_abi,svm,ae,precision,0.0
ddd,asmt_abi,svm,ae,recall,0.0
ddd,stdnt_abd,svm,ae,accuracy,0.9348480288895576
ddd,stdnt_abd,svm,ae,fscore,0.0
ddd,stdnt_abd,svm,ae,precision,0.0
ddd,stdnt_abd,svm,ae,recall,0.0
ddd,stdnt_abi,svm,ae,accuracy,0.9348480288895576
ddd,stdnt_abi,svm,ae,fscore,0.0
ddd,stdnt_abi,svm,ae,precision,0.0
ddd,stdnt_abi,svm,ae,recall,0.0
ddd,asmt_stdnt_abd,svm,ae,accuracy,0.9348480288895576
ddd,asmt_stdnt_abd,svm,ae,fscore,0.0
ddd,asmt_stdnt_abd,svm,ae,precision,0.0
ddd,asmt_stdnt_abd,svm,ae,recall,0.0
ddd,asmt_stdnt_abi,svm,ae,accuracy,0.9348480288895576
ddd,asmt_stdnt_abi,svm,ae,fscore,0.0
ddd,asmt_stdnt_abi,svm,ae,precision,0.0
ddd,asmt_stdnt_abi,svm,ae,recall,0.0
