module,attributes,classifier,technique,metric,score
eee,asmt,svm,ae,accuracy,0.9853990914990266
eee,asmt,svm,ae,fscore,0.0
eee,asmt,svm,ae,precision,0.0
eee,asmt,svm,ae,recall,0.0
eee,stdnt,svm,ae,accuracy,0.9853990914990266
eee,stdnt,svm,ae,fscore,0.0
eee,stdnt,svm,ae,precision,0.0
eee,stdnt,svm,ae,recall,0.0
eee,abd,svm,ae,accuracy,0.9853990914990266
eee,abd,svm,ae,fscore,0.0
eee,abd,svm,ae,precision,0.0
eee,abd,svm,ae,recall,0.0
eee,abi,svm,ae,accuracy,0.9853990914990266
eee,abi,svm,ae,fscore,0.0
eee,abi,svm,ae,precision,0.0
eee,abi,svm,ae,recall,0.0
eee,asmt_stdnt,svm,ae,accuracy,0.9853990914990266
eee,asmt_stdnt,svm,ae,fscore,0.0
eee,asmt_stdnt,svm,ae,precision,0.0
eee,asmt_stdnt,svm,ae,recall,0.0
eee,asmt_abd,svm,ae,accuracy,0.9853990914990266
eee,asmt_abd,svm,ae,fscore,0.0
eee,asmt_abd,svm,ae,precision,0.0
eee,asmt_abd,svm,ae,recall,0.0
eee,asmt_abi,svm,ae,accuracy,0.9853990914990266
eee,asmt_abi,svm,ae,fscore,0.0
eee,asmt_abi,svm,ae,precision,0.0
eee,asmt_abi,svm,ae,recall,0.0
eee,stdnt_abd,svm,ae,accuracy,0.9853990914990266
eee,stdnt_abd,svm,ae,fscore,0.0
eee,stdnt_abd,svm,ae,precision,0.0
eee,stdnt_abd,svm,ae,recall,0.0
eee,stdnt_abi,svm,ae,accuracy,0.9853990914990266
eee,stdnt_abi,svm,ae,fscore,0.0
eee,stdnt_abi,svm,ae,precision,0.0
eee,stdnt_abi,svm,ae,recall,0.0
eee,asmt_stdnt_abd,svm,ae,accuracy,0.9853990914990266
eee,asmt_stdnt_abd,svm,ae,fscore,0.0
eee,asmt_stdnt_abd,svm,ae,precision,0.0
eee,asmt_stdnt_abd,svm,ae,recall,0.0
eee,asmt_stdnt_abi,svm,ae,accuracy,0.9853990914990266
eee,asmt_stdnt_abi,svm,ae,fscore,0.0
eee,asmt_stdnt_abi,svm,ae,precision,0.0
eee,asmt_stdnt_abi,svm,ae,recall,0.0
