module,attributes,classifier,technique,metric,score
ggg,asmt,svm,ae,accuracy,0.977762494268684
ggg,asmt,svm,ae,fscore,0.0
ggg,asmt,svm,ae,precision,0.0
ggg,asmt,svm,ae,recall,0.0
ggg,stdnt,svm,ae,accuracy,0.977762494268684
ggg,stdnt,svm,ae,fscore,0.0
ggg,stdnt,svm,ae,precision,0.0
ggg,stdnt,svm,ae,recall,0.0
ggg,abd,svm,ae,accuracy,0.977762494268684
ggg,abd,svm,ae,fscore,0.0
ggg,abd,svm,ae,precision,0.0
ggg,abd,svm,ae,recall,0.0
ggg,abi,svm,ae,accuracy,0.977762494268684
ggg,abi,svm,ae,fscore,0.0
ggg,abi,svm,ae,precision,0.0
ggg,abi,svm,ae,recall,0.0
ggg,asmt_stdnt,svm,ae,accuracy,0.977762494268684
ggg,asmt_stdnt,svm,ae,fscore,0.0
ggg,asmt_stdnt,svm,ae,precision,0.0
ggg,asmt_stdnt,svm,ae,recall,0.0
ggg,asmt_abd,svm,ae,accuracy,0.977762494268684
ggg,asmt_abd,svm,ae,fscore,0.0
ggg,asmt_abd,svm,ae,precision,0.0
ggg,asmt_abd,svm,ae,recall,0.0
ggg,asmt_abi,svm,ae,accuracy,0.977762494268684
ggg,asmt_abi,svm,ae,fscore,0.0
ggg,asmt_abi,svm,ae,precision,0.0
ggg,asmt_abi,svm,ae,recall,0.0
ggg,stdnt_abd,svm,ae,accuracy,0.977762494268684
ggg,stdnt_abd,svm,ae,fscore,0.0
ggg,stdnt_abd,svm,ae,precision,0.0
ggg,stdnt_abd,svm,ae,recall,0.0
ggg,stdnt_abi,svm,ae,accuracy,0.977762494268684
ggg,stdnt_abi,svm,ae,fscore,0.0
ggg,stdnt_abi,svm,ae,precision,0.0
ggg,stdnt_abi,svm,ae,recall,0.0
ggg,asmt_stdnt_abd,svm,ae,accuracy,0.977762494268684
ggg,asmt_stdnt_abd,svm,ae,fscore,0.0
ggg,asmt_stdnt_abd,svm,ae,precision,0.0
ggg,asmt_stdnt_abd,svm,ae,recall,0.0
ggg,asmt_stdnt_abi,svm,ae,accuracy,0.977762494268684
ggg,asmt_stdnt_abi,svm,ae,fscore,0.0
ggg,asmt_stdnt_abi,svm,ae,precision,0.0
ggg,asmt_stdnt_abi,svm,ae,recall,0.0
