module,attributes,classifier,technique,metric,score
fff,asmt,svm,kmeans,accuracy,0.9832764952780692
fff,asmt,svm,kmeans,fscore,0.0
fff,asmt,svm,kmeans,precision,0.0
fff,asmt,svm,kmeans,recall,0.0
fff,stdnt,svm,kmeans,accuracy,0.9832764952780692
fff,stdnt,svm,kmeans,fscore,0.0
fff,stdnt,svm,kmeans,precision,0.0
fff,stdnt,svm,kmeans,recall,0.0
fff,abd,svm,kmeans,accuracy,0.9832764952780692
fff,abd,svm,kmeans,fscore,0.0
fff,abd,svm,kmeans,precision,0.0
fff,abd,svm,kmeans,recall,0.0
fff,abi,svm,kmeans,accuracy,0.9832764952780692
fff,abi,svm,kmeans,fscore,0.0
fff,abi,svm,kmeans,precision,0.0
fff,abi,svm,kmeans,recall,0.0
fff,asmt_stdnt,svm,kmeans,accuracy,0.9832764952780692
fff,asmt_stdnt,svm,kmeans,fscore,0.0
fff,asmt_stdnt,svm,kmeans,precision,0.0
fff,asmt_stdnt,svm,kmeans,recall,0.0
fff,asmt_abd,svm,kmeans,accuracy,0.9832764952780692
fff,asmt_abd,svm,kmeans,fscore,0.0
fff,asmt_abd,svm,kmeans,precision,0.0
fff,asmt_abd,svm,kmeans,recall,0.0
fff,asmt_abi,svm,kmeans,accuracy,0.9832764952780692
fff,asmt_abi,svm,kmeans,fscore,0.0
fff,asmt_abi,svm,kmeans,precision,0.0
fff,asmt_abi,svm,kmeans,recall,0.0
fff,stdnt_abd,svm,kmeans,accuracy,0.9832764952780692
fff,stdnt_abd,svm,kmeans,fscore,0.0
fff,stdnt_abd,svm,kmeans,precision,0.0
fff,stdnt_abd,svm,kmeans,recall,0.0
fff,stdnt_abi,svm,kmeans,accuracy,0.9832764952780692
fff,stdnt_abi,svm,kmeans,fscore,0.0
fff,stdnt_abi,svm,kmeans,precision,0.0
fff,stdnt_abi,svm,kmeans,recall,0.0
fff,asmt_stdnt_abd,svm,kmeans,accuracy,0.9832764952780692
fff,asmt_stdnt_abd,svm,kmeans,fscore,0.0
fff,asmt_stdnt_abd,svm,kmeans,precision,0.0
fff,asmt_stdnt_abd,svm,kmeans,recall,0.0
fff,asmt_stdnt_abi,svm,kmeans,accuracy,0.9832764952780692
fff,asmt_stdnt_abi,svm,kmeans,fscore,0.0
fff,asmt_stdnt_abi,svm,kmeans,precision,0.0
fff,asmt_stdnt_abi,svm,kmeans,recall,0.0
