module,attributes,classifier,technique,metric,score
ccc,asmt,svm,pca,accuracy,0.9169045353631462
ccc,asmt,svm,pca,fscore,0.0
ccc,asmt,svm,pca,precision,0.0
ccc,asmt,svm,pca,recall,0.0
ccc,stdnt,svm,pca,accuracy,0.9169045353631462
ccc,stdnt,svm,pca,fscore,0.0
ccc,stdnt,svm,pca,precision,0.0
ccc,stdnt,svm,pca,recall,0.0
ccc,abd,svm,pca,accuracy,0.9169045353631462
ccc,abd,svm,pca,fscore,0.0
ccc,abd,svm,pca,precision,0.0
ccc,abd,svm,pca,recall,0.0
ccc,abi,svm,pca,accuracy,0.9169045353631462
ccc,abi,svm,pca,fscore,0.0
ccc,abi,svm,pca,precision,0.0
ccc,abi,svm,pca,recall,0.0
ccc,asmt_stdnt,svm,pca,accuracy,0.9169045353631462
ccc,asmt_stdnt,svm,pca,fscore,0.0
ccc,asmt_stdnt,svm,pca,precision,0.0
ccc,asmt_stdnt,svm,pca,recall,0.0
ccc,asmt_abd,svm,pca,accuracy,0.9169045353631462
ccc,asmt_abd,svm,pca,fscore,0.0
ccc,asmt_abd,svm,pca,precision,0.0
ccc,asmt_abd,svm,pca,recall,0.0
ccc,asmt_abi,svm,pca,accuracy,0.9169045353631462
ccc,asmt_abi,svm,pca,fscore,0.0
ccc,asmt_abi,svm,pca,precision,0.0
ccc,asmt_abi,svm,pca,recall,0.0
ccc,stdnt_abd,svm,pca,accuracy,0.9169045353631462
ccc,stdnt_abd,svm,pca,fscore,0.0
ccc,stdnt_abd,svm,pca,precision,0.0
ccc,stdnt_abd,svm,pca,recall,0.0
ccc,stdnt_abi,svm,pca,accuracy,0.9169045353631462
ccc,stdnt_abi,svm,pca,fscore,0.0
ccc,stdnt_abi,svm,pca,precision,0.0
ccc,stdnt_abi,svm,pca,recall,0.0
ccc,asmt_stdnt_abd,svm,pca,accuracy,0.9169045353631462
ccc,asmt_stdnt_abd,svm,pca,fscore,0.0
ccc,asmt_stdnt_abd,svm,pca,precision,0.0
ccc,asmt_stdnt_abd,svm,pca,recall,0.0
ccc,asmt_stdnt_abi,svm,pca,accuracy,0.9169045353631462
ccc,asmt_stdnt_abi,svm,pca,fscore,0.0
ccc,asmt_stdnt_abi,svm,pca,precision,0.0
ccc,asmt_stdnt_abi,svm,pca,recall,0.0
