module,attributes,classifier,technique,metric,score
ddd,asmt,svm,pca,accuracy,0.9348480288895576
ddd,asmt,svm,pca,fscore,0.0
ddd,asmt,svm,pca,precision,0.0
ddd,asmt,svm,pca,recall,0.0
ddd,stdnt,svm,pca,accuracy,0.9348480288895576
ddd,stdnt,svm,pca,fscore,0.0
ddd,stdnt,svm,pca,precision,0.0
ddd,stdnt,svm,pca,recall,0.0
ddd,abd,svm,pca,accuracy,0.9348480288895576
ddd,abd,svm,pca,fscore,0.0
ddd,abd,svm,pca,precision,0.0
ddd,abd,svm,pca,recall,0.0
ddd,abi,svm,pca,accuracy,0.9348480288895576
ddd,abi,svm,pca,fscore,0.0
ddd,abi,svm,pca,precision,0.0
ddd,abi,svm,pca,recall,0.0
ddd,asmt_stdnt,svm,pca,accuracy,0.9348480288895576
ddd,asmt_stdnt,svm,pca,fscore,0.0
ddd,asmt_stdnt,svm,pca,precision,0.0
ddd,asmt_stdnt,svm,pca,recall,0.0
ddd,asmt_abd,svm,pca,accuracy,0.9348480288895576
ddd,asmt_abd,svm,pca,fscore,0.0
ddd,asmt_abd,svm,pca,precision,0.0
ddd,asmt_abd,svm,pca,recall,0.0
ddd,asmt_abi,svm,pca,accuracy,0.9348480288895576
ddd,asmt_abi,svm,pca,fscore,0.0
ddd,asmt_abi,svm,pca,precision,0.0
ddd,asmt_abi,svm,pca,recall,0.0
ddd,stdnt_abd,svm,pca,accuracy,0.9348480288895576
ddd,stdnt_abd,svm,pca,fscore,0.0
ddd,stdnt_abd,svm,pca,precision,0.0
ddd,stdnt_abd,svm,pca,recall,0.0
ddd,stdnt_abi,svm,pca,accuracy,0.9348480288895576
ddd,stdnt_abi,svm,pca,fscore,0.0
ddd,stdnt_abi,svm,pca,precision,0.0
ddd,stdnt_abi,svm,pca,recall,0.0
ddd,asmt_stdnt_abd,svm,pca,accuracy,0.9348480288895576
ddd,asmt_stdnt_abd,svm,pca,fscore,0.0
ddd,asmt_stdnt_abd,svm,pca,precision,0.0
ddd,asmt_stdnt_abd,svm,pca,recall,0.0
ddd,asmt_stdnt_abi,svm,pca,accuracy,0.9348480288895576
ddd,asmt_stdnt_abi,svm,pca,fscore,0.0
ddd,asmt_stdnt_abi,svm,pca,precision,0.0
ddd,asmt_stdnt_abi,svm,pca,recall,0.0
