module,attributes,classifier,technique,metric,score
fff,asmt,svm,pca,accuracy,0.9832764952780692
fff,asmt,svm,pca,fscore,0.0
fff,asmt,svm,pca,precision,0.0
fff,asmt,svm,pca,recall,0.0
fff,stdnt,svm,pca,accuracy,0.9832764952780692
fff,stdnt,svm,pca,fscore,0.0
fff,stdnt,svm,pca,precision,0.0
fff,stdnt,svm,pca,recall,0.0
fff,abd,svm,pca,accuracy,0.9832764952780692
fff,abd,svm,pca,fscore,0.0
fff,abd,svm,pca,precision,0.0
fff,abd,svm,pca,recall,0.0
fff,abi,svm,pca,accuracy,0.9832764952780692
fff,abi,svm,pca,fscore,0.0
fff,abi,svm,pca,precision,0.0
fff,abi,svm,pca,recall,0.0
fff,asmt_stdnt,svm,pca,accuracy,0.9832764952780692
fff,asmt_stdnt,svm,pca,fscore,0.0
fff,asmt_stdnt,svm,pca,precision,0.0
fff,asmt_stdnt,svm,pca,recall,0.0
fff,asmt_abd,svm,pca,accuracy,0.9832764952780692
fff,asmt_abd,svm,pca,fscore,0.0
fff,asmt_abd,svm,pca,precision,0.0
fff,asmt_abd,svm,pca,recall,0.0
fff,asmt_abi,svm,pca,accuracy,0.9832764952780692
fff,asmt_abi,svm,pca,fscore,0.0
fff,asmt_abi,svm,pca,precision,0.0
fff,asmt_abi,svm,pca,recall,0.0
fff,stdnt_abd,svm,pca,accuracy,0.9832764952780692
fff,stdnt_abd,svm,pca,fscore,0.0
fff,stdnt_abd,svm,pca,precision,0.0
fff,stdnt_abd,svm,pca,recall,0.0
fff,stdnt_abi,svm,pca,accuracy,0.9832764952780692
fff,stdnt_abi,svm,pca,fscore,0.0
fff,stdnt_abi,svm,pca,precision,0.0
fff,stdnt_abi,svm,pca,recall,0.0
fff,asmt_stdnt_abd,svm,pca,accuracy,0.9832764952780692
fff,asmt_stdnt_abd,svm,pca,fscore,0.0
fff,asmt_stdnt_abd,svm,pca,precision,0.0
fff,asmt_stdnt_abd,svm,pca,recall,0.0
fff,asmt_stdnt_abi,svm,pca,accuracy,0.9832764952780692
fff,asmt_stdnt_abi,svm,pca,fscore,0.0
fff,asmt_stdnt_abi,svm,pca,precision,0.0
fff,asmt_stdnt_abi,svm,pca,recall,0.0
