module,attributes,classifier,technique,metric,score
ggg,asmt,svm,pca,accuracy,0.977762494268684
ggg,asmt,svm,pca,fscore,0.0
ggg,asmt,svm,pca,precision,0.0
ggg,asmt,svm,pca,recall,0.0
ggg,stdnt,svm,pca,accuracy,0.977762494268684
ggg,stdnt,svm,pca,fscore,0.0
ggg,stdnt,svm,pca,precision,0.0
ggg,stdnt,svm,pca,recall,0.0
ggg,abd,svm,pca,accuracy,0.977762494268684
ggg,abd,svm,pca,fscore,0.0
ggg,abd,svm,pca,precision,0.0
ggg,abd,svm,pca,recall,0.0
ggg,abi,svm,pca,accuracy,0.977762494268684
ggg,abi,svm,pca,fscore,0.0
ggg,abi,svm,pca,precision,0.0
ggg,abi,svm,pca,recall,0.0
ggg,asmt_stdnt,svm,pca,accuracy,0.977762494268684
ggg,asmt_stdnt,svm,pca,fscore,0.0
ggg,asmt_stdnt,svm,pca,precision,0.0
ggg,asmt_stdnt,svm,pca,recall,0.0
ggg,asmt_abd,svm,pca,accuracy,0.977762494268684
ggg,asmt_abd,svm,pca,fscore,0.0
ggg,asmt_abd,svm,pca,precision,0.0
ggg,asmt_abd,svm,pca,recall,0.0
ggg,asmt_abi,svm,pca,accuracy,0.977762494268684
ggg,asmt_abi,svm,pca,fscore,0.0
ggg,asmt_abi,svm,pca,precision,0.0
ggg,asmt_abi,svm,pca,recall,0.0
ggg,stdnt_abd,svm,pca,accuracy,0.977762494268684
ggg,stdnt_abd,svm,pca,fscore,0.0
ggg,stdnt_abd,svm,pca,precision,0.0
ggg,stdnt_abd,svm,pca,recall,0.0
ggg,stdnt_abi,svm,pca,accuracy,0.977762494268684
ggg,stdnt_abi,svm,pca,fscore,0.0
ggg,stdnt_abi,svm,pca,precision,0.0
ggg,stdnt_abi,svm,pca,recall,0.0
ggg,asmt_stdnt_abd,svm,pca,accuracy,0.977762494268684
ggg,asmt_stdnt_abd,svm,pca,fscore,0.0
ggg,asmt_stdnt_abd,svm,pca,precision,0.0
ggg,asmt_stdnt_abd,svm,pca,recall,0.0
ggg,asmt_stdnt_abi,svm,pca,accuracy,0.977762494268684
ggg,asmt_stdnt_abi,svm,pca,fscore,0.0
ggg,asmt_stdnt_abi,svm,pca,precision,0.0
ggg,asmt_stdnt_abi,svm,pca,recall,0.0
