module,attributes,classifier,technique,metric,score
aaa,asmt,svm,smote+ae,accuracy,0.25152542372881354
aaa,asmt,svm,smote+ae,fscore,0.060486522024983565
aaa,asmt,svm,smote+ae,precision,0.04013961605584642
aaa,asmt,svm,smote+ae,recall,0.92
aaa,stdnt,svm,smote+ae,accuracy,0.7335593220338983
aaa,stdnt,svm,smote+ae,fscore,0.020134228187919462
aaa,stdnt,svm,smote+ae,precision,0.04021447721179625
aaa,stdnt,svm,smote+ae,recall,0.3
aaa,abd,svm,smote+ae,accuracy,0.4128813559322034
aaa,abd,svm,smote+ae,fscore,0.05665349143610012
aaa,abd,svm,smote+ae,precision,0.04767184035476718
aaa,abd,svm,smote+ae,recall,0.86
aaa,abi,svm,smote+ae,accuracy,0.4576271186440678
aaa,abi,svm,smote+ae,fscore,0.05921052631578948
aaa,abi,svm,smote+ae,precision,0.05357142857142857
aaa,abi,svm,smote+ae,recall,0.9
aaa,asmt_stdnt,svm,smote+ae,accuracy,0.4155932203389831
aaa,asmt_stdnt,svm,smote+ae,fscore,0.0424684804246848
aaa,asmt_stdnt,svm,smote+ae,precision,0.0365296803652968
aaa,asmt_stdnt,svm,smote+ae,recall,0.64
aaa,asmt_abd,svm,smote+ae,accuracy,0.5037288135593221
aaa,asmt_abd,svm,smote+ae,fscore,0.055372445616348055
aaa,asmt_abd,svm,smote+ae,precision,0.05483028720626632
aaa,asmt_abd,svm,smote+ae,recall,0.84
aaa,asmt_abi,svm,smote+ae,accuracy,0.4542372881355932
aaa,asmt_abi,svm,smote+ae,fscore,0.05921052631578948
aaa,asmt_abi,svm,smote+ae,precision,0.05325443786982249
aaa,asmt_abi,svm,smote+ae,recall,0.9
aaa,stdnt_abd,svm,smote+ae,accuracy,0.7159322033898305
aaa,stdnt_abd,svm,smote+ae,fscore,0.037258815701929474
aaa,stdnt_abd,svm,smote+ae,precision,0.06588235294117648
aaa,stdnt_abd,svm,smote+ae,recall,0.56
aaa,stdnt_abi,svm,smote+ae,accuracy,0.5057627118644068
aaa,stdnt_abi,svm,smote+ae,fscore,0.057932850559578676
aaa,stdnt_abi,svm,smote+ae,precision,0.05736636245110821
aaa,stdnt_abi,svm,smote+ae,recall,0.88
aaa,asmt_stdnt_abd,svm,smote+ae,accuracy,0.7918644067796609
aaa,asmt_stdnt_abd,svm,smote+ae,fscore,0.03070761014686248
aaa,asmt_stdnt_abd,svm,smote+ae,precision,0.07590759075907591
aaa,asmt_stdnt_abd,svm,smote+ae,recall,0.46
aaa,asmt_stdnt_abi,svm,smote+ae,accuracy,0.6623728813559322
aaa,asmt_stdnt_abi,svm,smote+ae,fscore,0.0424684804246848
aaa,asmt_stdnt_abi,svm,smote+ae,precision,0.0625
aaa,asmt_stdnt_abi,svm,smote+ae,recall,0.64
