module,attributes,classifier,technique,metric,score
bbb,asmt,svm,smote+ae,accuracy,0.11465141612200434
bbb,asmt,svm,smote+ae,fscore,0.20571707793794286
bbb,asmt,svm,smote+ae,precision,0.11465141612200434
bbb,asmt,svm,smote+ae,recall,1.0
bbb,stdnt,svm,smote+ae,accuracy,0.6264978213507625
bbb,stdnt,svm,smote+ae,fscore,0.08625407166123779
bbb,stdnt,svm,smote+ae,precision,0.12914553257900901
bbb,stdnt,svm,smote+ae,recall,0.3931116389548693
bbb,abd,svm,smote+ae,accuracy,0.3760893246187364
bbb,abd,svm,smote+ae,fscore,0.1111111111111111
bbb,abd,svm,smote+ae,precision,0.09383145091225023
bbb,abd,svm,smote+ae,recall,0.5130641330166271
bbb,abi,svm,smote+ae,accuracy,0.6377995642701525
bbb,abi,svm,smote+ae,fscore,0.05559968228752978
bbb,abi,svm,smote+ae,precision,0.0938337801608579
bbb,abi,svm,smote+ae,recall,0.2494061757719715
bbb,asmt_stdnt,svm,smote+ae,accuracy,0.5531045751633987
bbb,asmt_stdnt,svm,smote+ae,fscore,0.023415421881308032
bbb,asmt_stdnt,svm,smote+ae,precision,0.0332823259372609
bbb,asmt_stdnt,svm,smote+ae,recall,0.10332541567695963
bbb,asmt_abd,svm,smote+ae,accuracy,0.5300925925925926
bbb,asmt_abd,svm,smote+ae,fscore,0.04290473017988008
bbb,asmt_abd,svm,smote+ae,precision,0.05493005800068236
bbb,asmt_abd,svm,smote+ae,recall,0.19121140142517812
bbb,asmt_abi,svm,smote+ae,accuracy,0.6914488017429193
bbb,asmt_abi,svm,smote+ae,fscore,0.015403323875152006
bbb,asmt_abi,svm,smote+ae,precision,0.03706111833550065
bbb,asmt_abi,svm,smote+ae,recall,0.06769596199524941
bbb,stdnt_abd,svm,smote+ae,accuracy,0.5510620915032679
bbb,stdnt_abd,svm,smote+ae,fscore,0.0774869109947644
bbb,stdnt_abd,svm,smote+ae,precision,0.0971447325237939
bbb,stdnt_abd,svm,smote+ae,recall,0.3515439429928741
bbb,stdnt_abi,svm,smote+ae,accuracy,0.6610838779956427
bbb,stdnt_abi,svm,smote+ae,fscore,0.10060778481831112
bbb,stdnt_abi,svm,smote+ae,precision,0.16041237113402065
bbb,stdnt_abi,svm,smote+ae,recall,0.4619952494061758
bbb,asmt_stdnt_abd,svm,smote+ae,accuracy,0.6269063180827886
bbb,asmt_stdnt_abd,svm,smote+ae,fscore,0.01995146939875977
bbb,asmt_stdnt_abd,svm,smote+ae,precision,0.036168132942326486
bbb,asmt_stdnt_abd,svm,smote+ae,recall,0.08788598574821853
bbb,asmt_stdnt_abi,svm,smote+ae,accuracy,0.5890522875816994
bbb,asmt_stdnt_abi,svm,smote+ae,fscore,0.015403323875152006
bbb,asmt_stdnt_abi,svm,smote+ae,precision,0.024890829694323144
bbb,asmt_stdnt_abi,svm,smote+ae,recall,0.06769596199524941
