module,attributes,classifier,technique,metric,score
ccc,asmt,svm,smote+ae,accuracy,0.6788244000422877
ccc,asmt,svm,smote+ae,fscore,0.05570400822199383
ccc,asmt,svm,smote+ae,precision,0.09699355762347887
ccc,asmt,svm,smote+ae,recall,0.34478371501272265
ccc,stdnt,svm,smote+ae,accuracy,0.5255312400888044
ccc,stdnt,svm,smote+ae,fscore,0.07939086294416244
ccc,stdnt,svm,smote+ae,precision,0.08719892952720787
ccc,stdnt,svm,smote+ae,recall,0.4974554707379135
ccc,abd,svm,smote+ae,accuracy,0.4550163865102019
ccc,abd,svm,smote+ae,fscore,0.10952333366643348
ccc,abd,svm,smote+ae,precision,0.10027447392497713
ccc,abd,svm,smote+ae,recall,0.6972010178117048
ccc,abi,svm,smote+ae,accuracy,0.4520562427317898
ccc,abi,svm,smote+ae,fscore,0.12209648600357355
ccc,abi,svm,smote+ae,precision,0.10929447307623956
ccc,abi,svm,smote+ae,recall,0.7824427480916031
ccc,asmt_stdnt,svm,smote+ae,accuracy,0.5002642985516439
ccc,asmt_stdnt,svm,smote+ae,fscore,0.08425316455696202
ccc,asmt_stdnt,svm,smote+ae,precision,0.0871569243662267
ccc,asmt_stdnt,svm,smote+ae,recall,0.5292620865139949
ccc,asmt_abd,svm,smote+ae,accuracy,0.4517390844698171
ccc,asmt_abd,svm,smote+ae,fscore,0.11667496266799406
ccc,asmt_abd,svm,smote+ae,precision,0.10516870064608758
ccc,asmt_abd,svm,smote+ae,recall,0.7455470737913485
ccc,asmt_abi,svm,smote+ae,accuracy,0.4751030764351412
ccc,asmt_abi,svm,smote+ae,fscore,0.11178760355324882
ccc,asmt_abi,svm,smote+ae,precision,0.10568031704095113
ccc,asmt_abi,svm,smote+ae,recall,0.7124681933842242
ccc,stdnt_abd,svm,smote+ae,accuracy,0.4479331853261444
ccc,stdnt_abd,svm,smote+ae,fscore,0.11817367949865712
ccc,stdnt_abd,svm,smote+ae,precision,0.10561877667140823
ccc,stdnt_abd,svm,smote+ae,recall,0.7557251908396947
ccc,stdnt_abi,svm,smote+ae,accuracy,0.4460302357543081
ccc,stdnt_abi,svm,smote+ae,fscore,0.1099010890198821
ccc,stdnt_abi,svm,smote+ae,precision,0.09902772776377386
ccc,stdnt_abi,svm,smote+ae,recall,0.6997455470737913
ccc,asmt_stdnt_abd,svm,smote+ae,accuracy,0.5732106988053706
ccc,asmt_stdnt_abd,svm,smote+ae,fscore,0.0811441322649356
ccc,asmt_stdnt_abd,svm,smote+ae,precision,0.09874105159219944
ccc,asmt_stdnt_abd,svm,smote+ae,recall,0.5089058524173028
ccc,asmt_stdnt_abi,svm,smote+ae,accuracy,0.5056559890051803
ccc,asmt_stdnt_abi,svm,smote+ae,fscore,0.10857828434313137
ccc,asmt_stdnt_abi,svm,smote+ae,precision,0.10912379421221867
ccc,asmt_stdnt_abi,svm,smote+ae,recall,0.6908396946564885
