module,attributes,classifier,technique,metric,score
eee,asmt,svm,smote+ae,accuracy,0.5502920181700195
eee,asmt,svm,smote+ae,fscore,0.02118780096308186
eee,asmt,svm,smote+ae,precision,0.023454157782515996
eee,asmt,svm,smote+ae,recall,0.7333333333333333
eee,stdnt,svm,smote+ae,accuracy,0.6612589227774173
eee,stdnt,svm,smote+ae,fscore,0.009043927648578809
eee,stdnt,svm,smote+ae,precision,0.013631937682570594
eee,stdnt,svm,smote+ae,recall,0.3111111111111111
eee,abd,svm,smote+ae,accuracy,0.5551589876703439
eee,abd,svm,smote+ae,fscore,0.02372555306187881
eee,abd,svm,smote+ae,precision,0.02642857142857143
eee,abd,svm,smote+ae,recall,0.8222222222222222
eee,abi,svm,smote+ae,accuracy,0.5613238157040883
eee,abi,svm,smote+ae,fscore,0.02309172546504169
eee,abi,svm,smote+ae,precision,0.026105873821609858
eee,abi,svm,smote+ae,recall,0.8
eee,asmt_stdnt,svm,smote+ae,accuracy,0.5778715120051914
eee,asmt_stdnt,svm,smote+ae,fscore,0.019280205655526992
eee,asmt_stdnt,svm,smote+ae,precision,0.022796352583586626
eee,asmt_stdnt,svm,smote+ae,recall,0.6666666666666666
eee,asmt_abd,svm,smote+ae,accuracy,0.7719013627514599
eee,asmt_abd,svm,smote+ae,fscore,0.019280205655526992
eee,asmt_abd,svm,smote+ae,precision,0.04178272980501393
eee,asmt_abd,svm,smote+ae,recall,0.6666666666666666
eee,asmt_abi,svm,smote+ae,accuracy,0.7482154445165476
eee,asmt_abi,svm,smote+ae,fscore,0.020552344251766216
eee,asmt_abi,svm,smote+ae,precision,0.040251572327044016
eee,asmt_abi,svm,smote+ae,recall,0.7111111111111111
eee,stdnt_abd,svm,smote+ae,accuracy,0.5593770279039585
eee,stdnt_abd,svm,smote+ae,fscore,0.019916479280436883
eee,stdnt_abd,svm,smote+ae,precision,0.022545454545454542
eee,stdnt_abd,svm,smote+ae,recall,0.6888888888888889
eee,stdnt_abi,svm,smote+ae,accuracy,0.5931213497728748
eee,stdnt_abi,svm,smote+ae,fscore,0.02435897435897436
eee,stdnt_abi,svm,smote+ae,precision,0.02957198443579766
eee,stdnt_abi,svm,smote+ae,recall,0.8444444444444444
eee,asmt_stdnt_abd,svm,smote+ae,accuracy,0.746268656716418
eee,asmt_stdnt_abd,svm,smote+ae,fscore,0.019916479280436883
eee,asmt_stdnt_abd,svm,smote+ae,precision,0.03879849812265332
eee,asmt_stdnt_abd,svm,smote+ae,recall,0.6888888888888889
eee,asmt_stdnt_abi,svm,smote+ae,accuracy,0.6985723556132382
eee,asmt_stdnt_abi,svm,smote+ae,fscore,0.019280205655526992
eee,asmt_stdnt_abi,svm,smote+ae,precision,0.03177966101694915
eee,asmt_stdnt_abi,svm,smote+ae,recall,0.6666666666666666
