module,attributes,classifier,technique,metric,score
fff,asmt,svm,smote+ae,accuracy,0.676088667366212
fff,asmt,svm,smote+ae,fscore,0.028700711053652232
fff,asmt,svm,smote+ae,precision,0.04329173166926677
fff,asmt,svm,smote+ae,recall,0.8705882352941177
fff,stdnt,svm,smote+ae,accuracy,0.5897166841552991
fff,stdnt,svm,smote+ae,fscore,0.01497103430319599
fff,stdnt,svm,smote+ae,precision,0.018456106563954418
fff,stdnt,svm,smote+ae,recall,0.4509803921568628
fff,abd,svm,smote+ae,accuracy,0.4098898216159496
fff,abd,svm,smote+ae,fscore,0.02742561448900388
fff,abd,svm,smote+ae,precision,0.0231264317661176
fff,abd,svm,smote+ae,recall,0.8313725490196079
fff,abi,svm,smote+ae,accuracy,0.7196353620146905
fff,abi,svm,smote+ae,fscore,0.02243693664483496
fff,abi,svm,smote+ae,precision,0.03962437013284471
fff,abi,svm,smote+ae,recall,0.6784313725490196
fff,asmt_stdnt,svm,smote+ae,accuracy,0.6209338929695698
fff,asmt_stdnt,svm,smote+ae,fscore,0.02793585100879462
fff,asmt_stdnt,svm,smote+ae,precision,0.03625986234681887
fff,asmt_stdnt,svm,smote+ae,recall,0.8470588235294118
fff,asmt_abd,svm,smote+ae,accuracy,0.7784627492130115
fff,asmt_abd,svm,smote+ae,fscore,0.022821576763485483
fff,asmt_abd,svm,smote+ae,precision,0.050647482014388484
fff,asmt_abd,svm,smote+ae,recall,0.6901960784313725
fff,asmt_abi,svm,smote+ae,accuracy,0.7871196222455404
fff,asmt_abi,svm,smote+ae,fscore,0.024358642135268203
fff,asmt_abi,svm,smote+ae,precision,0.05583605583605584
fff,asmt_abi,svm,smote+ae,recall,0.7372549019607844
fff,stdnt_abd,svm,smote+ae,accuracy,0.640805351521511
fff,stdnt_abd,svm,smote+ae,fscore,0.02665976446227514
fff,stdnt_abd,svm,smote+ae,precision,0.036563720269790566
fff,stdnt_abd,svm,smote+ae,recall,0.807843137254902
fff,stdnt_abi,svm,smote+ae,accuracy,0.5106243441762854
fff,stdnt_abi,svm,smote+ae,fscore,0.025765520813102863
fff,stdnt_abi,svm,smote+ae,precision,0.026166995397764632
fff,stdnt_abi,svm,smote+ae,recall,0.7803921568627451
fff,asmt_stdnt_abd,svm,smote+ae,accuracy,0.6788431269674712
fff,asmt_stdnt_abd,svm,smote+ae,fscore,0.027808316626786518
fff,asmt_stdnt_abd,svm,smote+ae,precision,0.042389589905362776
fff,asmt_stdnt_abd,svm,smote+ae,recall,0.8431372549019608
fff,asmt_stdnt_abi,svm,smote+ae,accuracy,0.7700026232948584
fff,asmt_stdnt_abi,svm,smote+ae,fscore,0.026148867313915858
fff,asmt_stdnt_abi,svm,smote+ae,precision,0.05525164113785558
fff,asmt_stdnt_abi,svm,smote+ae,recall,0.792156862745098
