module,attributes,classifier,technique,metric,score
bbb,asmt,svm,smote+kmeans,accuracy,0.3661492374727669
bbb,asmt,svm,smote+kmeans,fscore,0.026602176541717048
bbb,asmt,svm,smote+kmeans,precision,0.02468212415856395
bbb,asmt,svm,smote+kmeans,recall,0.11757719714964372
bbb,stdnt,svm,smote+kmeans,accuracy,0.1721132897603486
bbb,stdnt,svm,smote+kmeans,fscore,0.19202363367799116
bbb,stdnt,svm,smote+kmeans,precision,0.1147396293027361
bbb,stdnt,svm,smote+kmeans,recall,0.9263657957244656
bbb,abd,svm,smote+kmeans,accuracy,0.7283496732026143
bbb,abd,svm,smote+kmeans,fscore,0.06990801576872538
bbb,abd,svm,smote+kmeans,precision,0.15786350148367953
bbb,abd,svm,smote+kmeans,recall,0.3159144893111639
bbb,abi,svm,smote+kmeans,accuracy,0.7486383442265795
bbb,abi,svm,smote+kmeans,fscore,0.07117531188443861
bbb,abi,svm,smote+kmeans,precision,0.17529107373868047
bbb,abi,svm,smote+kmeans,recall,0.3218527315914489
bbb,asmt_stdnt,svm,smote+kmeans,accuracy,0.6435185185185185
bbb,asmt_stdnt,svm,smote+kmeans,fscore,0.037675350701402814
bbb,asmt_stdnt,svm,smote+kmeans,precision,0.06851311953352769
bbb,asmt_stdnt,svm,smote+kmeans,recall,0.167458432304038
bbb,asmt_abd,svm,smote+kmeans,accuracy,0.7163671023965141
bbb,asmt_abd,svm,smote+kmeans,fscore,0.04992033988316516
bbb,asmt_abd,svm,smote+kmeans,precision,0.11626468769325912
bbb,asmt_abd,svm,smote+kmeans,recall,0.22327790973871733
bbb,asmt_abi,svm,smote+kmeans,accuracy,0.6195533769063181
bbb,asmt_abi,svm,smote+kmeans,fscore,0.04940239043824701
bbb,asmt_abi,svm,smote+kmeans,precision,0.08003442340791739
bbb,asmt_abi,svm,smote+kmeans,recall,0.2209026128266033
bbb,stdnt_abd,svm,smote+kmeans,accuracy,0.7949346405228758
bbb,stdnt_abd,svm,smote+kmeans,fscore,0.04940239043824701
bbb,stdnt_abd,svm,smote+kmeans,precision,0.17953667953667954
bbb,stdnt_abd,svm,smote+kmeans,recall,0.2209026128266033
bbb,stdnt_abi,svm,smote+kmeans,accuracy,0.7937091503267973
bbb,stdnt_abi,svm,smote+kmeans,fscore,0.06609611586570112
bbb,stdnt_abi,svm,smote+kmeans,precision,0.21361702127659574
bbb,stdnt_abi,svm,smote+kmeans,recall,0.2980997624703088
bbb,asmt_stdnt_abd,svm,smote+kmeans,accuracy,0.7762799564270153
bbb,asmt_stdnt_abd,svm,smote+kmeans,fscore,0.027926960257787327
bbb,asmt_stdnt_abd,svm,smote+kmeans,precision,0.10307234886025768
bbb,asmt_stdnt_abd,svm,smote+kmeans,recall,0.12351543942992875
bbb,asmt_stdnt_abi,svm,smote+kmeans,accuracy,0.7682461873638344
bbb,asmt_stdnt_abi,svm,smote+kmeans,fscore,0.019150370869858397
bbb,asmt_stdnt_abi,svm,smote+kmeans,precision,0.07085828343313373
bbb,asmt_stdnt_abi,svm,smote+kmeans,recall,0.08432304038004751
