module,attributes,classifier,technique,metric,score
ddd,asmt,svm,smote+kmeans,accuracy,0.5994583207944628
ddd,asmt,svm,smote+kmeans,fscore,0.09652012029213804
ddd,asmt,svm,smote+kmeans,precision,0.11608680675163625
ddd,asmt,svm,smote+kmeans,recall,0.7782909930715936
ddd,stdnt,svm,smote+kmeans,accuracy,0.06605476978633765
ddd,stdnt,svm,smote+kmeans,fscore,0.12233366294674387
ddd,stdnt,svm,smote+kmeans,precision,0.06521084337349398
ddd,stdnt,svm,smote+kmeans,recall,1.0
ddd,abd,svm,smote+kmeans,accuracy,0.4944327414986458
ddd,abd,svm,smote+kmeans,fscore,0.10493299116053607
ddd,abd,svm,smote+kmeans,precision,0.10046410046410048
ddd,abd,svm,smote+kmeans,recall,0.8498845265588915
ddd,abi,svm,smote+kmeans,accuracy,0.4783328317785134
ddd,abi,svm,smote+kmeans,fscore,0.10439247005134056
ddd,abi,svm,smote+kmeans,precision,0.0971853425385024
ddd,abi,svm,smote+kmeans,recall,0.8452655889145496
ddd,asmt_stdnt,svm,smote+kmeans,accuracy,0.6206740896780018
ddd,asmt_stdnt,svm,smote+kmeans,fscore,0.08251586843623772
ddd,asmt_stdnt,svm,smote+kmeans,precision,0.1075187969924812
ddd,asmt_stdnt,svm,smote+kmeans,recall,0.6605080831408776
ddd,asmt_abd,svm,smote+kmeans,accuracy,0.6074330424315377
ddd,asmt_abd,svm,smote+kmeans,fscore,0.1030398173255316
ddd,asmt_abd,svm,smote+kmeans,precision,0.12456866804692893
ddd,asmt_abd,svm,smote+kmeans,recall,0.8337182448036952
ddd,asmt_abi,svm,smote+kmeans,accuracy,0.5817032801685225
ddd,asmt_abi,svm,smote+kmeans,fscore,0.10412209385251747
ddd,asmt_abi,svm,smote+kmeans,precision,0.11862203444913876
ddd,asmt_abi,svm,smote+kmeans,recall,0.8429561200923787
ddd,stdnt_abd,svm,smote+kmeans,accuracy,0.5716220282876918
ddd,stdnt_abd,svm,smote+kmeans,fscore,0.09488318761645406
ddd,stdnt_abd,svm,smote+kmeans,precision,0.1076072821846554
ddd,stdnt_abd,svm,smote+kmeans,recall,0.7644341801385681
ddd,stdnt_abi,svm,smote+kmeans,accuracy,0.5188083057478182
ddd,stdnt_abi,svm,smote+kmeans,fscore,0.09951386903059764
ddd,stdnt_abi,svm,smote+kmeans,precision,0.10054897428488876
ddd,stdnt_abi,svm,smote+kmeans,recall,0.8036951501154734
ddd,asmt_stdnt_abd,svm,smote+kmeans,accuracy,0.6763466746915437
ddd,asmt_stdnt_abd,svm,smote+kmeans,fscore,0.0976098468584514
ddd,asmt_stdnt_abd,svm,smote+kmeans,precision,0.14208333333333334
ddd,asmt_stdnt_abd,svm,smote+kmeans,recall,0.7875288683602771
ddd,asmt_stdnt_abi,svm,smote+kmeans,accuracy,0.6468552512789648
ddd,asmt_stdnt_abi,svm,smote+kmeans,fscore,0.10005717552887364
ddd,asmt_stdnt_abi,svm,smote+kmeans,precision,0.13389441469013008
ddd,asmt_stdnt_abi,svm,smote+kmeans,recall,0.8083140877598153
