module,attributes,classifier,technique,metric,score
eee,asmt,svm,smote+kmeans,accuracy,0.29688513951979234
eee,asmt,svm,smote+kmeans,fscore,0.02309172546504169
eee,asmt,svm,smote+kmeans,precision,0.016408386508659983
eee,asmt,svm,smote+kmeans,recall,0.8
eee,stdnt,svm,smote+kmeans,accuracy,0.3831927319922129
eee,stdnt,svm,smote+kmeans,fscore,0.017368928916050175
eee,stdnt,svm,smote+kmeans,precision,0.014136125654450262
eee,stdnt,svm,smote+kmeans,recall,0.6
eee,abd,svm,smote+kmeans,accuracy,0.744646333549643
eee,abd,svm,smote+kmeans,fscore,0.02309172546504169
eee,abd,svm,smote+kmeans,precision,0.044226044226044224
eee,abd,svm,smote+kmeans,recall,0.8
eee,abi,svm,smote+kmeans,accuracy,0.7634652822842309
eee,abi,svm,smote+kmeans,fscore,0.02372555306187881
eee,abi,svm,smote+kmeans,precision,0.048812664907651716
eee,abi,svm,smote+kmeans,recall,0.8222222222222222
eee,asmt_stdnt,svm,smote+kmeans,accuracy,0.7517845554834524
eee,asmt_stdnt,svm,smote+kmeans,fscore,0.009043927648578809
eee,asmt_stdnt,svm,smote+kmeans,precision,0.01871657754010695
eee,asmt_stdnt,svm,smote+kmeans,recall,0.3111111111111111
eee,asmt_abd,svm,smote+kmeans,accuracy,0.7780661907852044
eee,asmt_abd,svm,smote+kmeans,fscore,0.0180064308681672
eee,asmt_abd,svm,smote+kmeans,precision,0.040287769784172665
eee,asmt_abd,svm,smote+kmeans,recall,0.6222222222222222
eee,asmt_abi,svm,smote+kmeans,accuracy,0.7955872809863724
eee,asmt_abi,svm,smote+kmeans,fscore,0.019916479280436883
eee,asmt_abi,svm,smote+kmeans,precision,0.04791344667697063
eee,asmt_abi,svm,smote+kmeans,recall,0.6888888888888889
eee,stdnt_abd,svm,smote+kmeans,accuracy,0.8088903309539258
eee,stdnt_abd,svm,smote+kmeans,fscore,0.019280205655526992
eee,stdnt_abd,svm,smote+kmeans,precision,0.049668874172185434
eee,stdnt_abd,svm,smote+kmeans,recall,0.6666666666666666
eee,stdnt_abi,svm,smote+kmeans,accuracy,0.81765087605451
eee,stdnt_abi,svm,smote+kmeans,fscore,0.02118780096308186
eee,stdnt_abi,svm,smote+kmeans,precision,0.05660377358490566
eee,stdnt_abi,svm,smote+kmeans,recall,0.7333333333333333
eee,asmt_stdnt_abd,svm,smote+kmeans,accuracy,0.8147306943543153
eee,asmt_stdnt_abd,svm,smote+kmeans,fscore,0.0180064308681672
eee,asmt_stdnt_abd,svm,smote+kmeans,precision,0.048109965635738834
eee,asmt_stdnt_abd,svm,smote+kmeans,recall,0.6222222222222222
eee,asmt_stdnt_abi,svm,smote+kmeans,accuracy,0.8403634003893575
eee,asmt_stdnt_abi,svm,smote+kmeans,fscore,0.0180064308681672
eee,asmt_stdnt_abi,svm,smote+kmeans,precision,0.05566600397614314
eee,asmt_stdnt_abi,svm,smote+kmeans,recall,0.6222222222222222
