module,attributes,classifier,technique,metric,score
aaa,asmt,svm,smote+pca,accuracy,0.4379661016949152
aaa,asmt,svm,smote+pca,fscore,0.04765056254136334
aaa,asmt,svm,smote+pca,precision,0.04230317273795535
aaa,asmt,svm,smote+pca,recall,0.72
aaa,stdnt,svm,smote+pca,accuracy,0.7877966101694915
aaa,stdnt,svm,smote+pca,fscore,0.01613987895090787
aaa,stdnt,svm,smote+pca,precision,0.041811846689895474
aaa,stdnt,svm,smote+pca,recall,0.24
aaa,abd,svm,smote+pca,accuracy,0.703728813559322
aaa,abd,svm,smote+pca,fscore,0.038563829787234036
aaa,abd,svm,smote+pca,precision,0.0651685393258427
aaa,abd,svm,smote+pca,recall,0.58
aaa,abi,svm,smote+pca,accuracy,0.7261016949152542
aaa,abi,svm,smote+pca,fscore,0.045062955599734916
aaa,abi,svm,smote+pca,precision,0.08056872037914692
aaa,abi,svm,smote+pca,recall,0.68
aaa,asmt_stdnt,svm,smote+pca,accuracy,0.7993220338983051
aaa,asmt_stdnt,svm,smote+pca,fscore,0.01880456682337139
aaa,asmt_stdnt,svm,smote+pca,precision,0.051094890510948905
aaa,asmt_stdnt,svm,smote+pca,recall,0.28
aaa,asmt_abd,svm,smote+pca,accuracy,0.7240677966101695
aaa,asmt_abd,svm,smote+pca,fscore,0.045062955599734916
aaa,asmt_abd,svm,smote+pca,precision,0.08
aaa,asmt_abd,svm,smote+pca,recall,0.68
aaa,asmt_abi,svm,smote+pca,accuracy,0.7654237288135594
aaa,asmt_abi,svm,smote+pca,fscore,0.045062955599734916
aaa,asmt_abi,svm,smote+pca,precision,0.0934065934065934
aaa,asmt_abi,svm,smote+pca,recall,0.68
aaa,stdnt_abd,svm,smote+pca,accuracy,0.8047457627118644
aaa,stdnt_abd,svm,smote+pca,fscore,0.032021347565043365
aaa,stdnt_abd,svm,smote+pca,precision,0.08391608391608392
aaa,stdnt_abd,svm,smote+pca,recall,0.48
aaa,stdnt_abi,svm,smote+pca,accuracy,0.8433898305084746
aaa,stdnt_abi,svm,smote+pca,fscore,0.028074866310160432
aaa,stdnt_abi,svm,smote+pca,precision,0.09417040358744394
aaa,stdnt_abi,svm,smote+pca,recall,0.42
aaa,asmt_stdnt_abd,svm,smote+pca,accuracy,0.8427118644067797
aaa,asmt_stdnt_abd,svm,smote+pca,fscore,0.03333333333333333
aaa,asmt_stdnt_abd,svm,smote+pca,precision,0.10775862068965517
aaa,asmt_stdnt_abd,svm,smote+pca,recall,0.5
aaa,asmt_stdnt_abi,svm,smote+pca,accuracy,0.8616949152542372
aaa,asmt_stdnt_abi,svm,smote+pca,fscore,0.026755852842809364
aaa,asmt_stdnt_abi,svm,smote+pca,precision,0.10309278350515463
aaa,asmt_stdnt_abi,svm,smote+pca,recall,0.4
