module,attributes,classifier,technique,metric,score
bbb,asmt,svm,smote+pca,accuracy,0.3661492374727669
bbb,asmt,svm,smote+pca,fscore,0.026602176541717048
bbb,asmt,svm,smote+pca,precision,0.02468212415856395
bbb,asmt,svm,smote+pca,recall,0.11757719714964372
bbb,stdnt,svm,smote+pca,accuracy,0.661900871459695
bbb,stdnt,svm,smote+pca,fscore,0.07370491803278688
bbb,stdnt,svm,smote+pca,precision,0.12755333635950974
bbb,stdnt,svm,smote+pca,recall,0.333729216152019
bbb,abd,svm,smote+pca,accuracy,0.5403050108932462
bbb,abd,svm,smote+pca,fscore,0.0847568131438258
bbb,abd,svm,smote+pca,precision,0.10207286432160803
bbb,abd,svm,smote+pca,recall,0.3859857482185273
bbb,abi,svm,smote+pca,accuracy,0.6465141612200436
bbb,abi,svm,smote+pca,fscore,0.06558672461477677
bbb,abi,svm,smote+pca,precision,0.1105683836589698
bbb,abi,svm,smote+pca,recall,0.2957244655581948
bbb,asmt_stdnt,svm,smote+pca,accuracy,0.6687091503267973
bbb,asmt_stdnt,svm,smote+pca,fscore,0.01271817074820728
bbb,asmt_stdnt,svm,smote+pca,precision,0.027893175074183974
bbb,asmt_stdnt,svm,smote+pca,recall,0.05581947743467933
bbb,asmt_abd,svm,smote+pca,accuracy,0.6674836601307189
bbb,asmt_abd,svm,smote+pca,fscore,0.02048517520215633
bbb,asmt_abd,svm,smote+pca,precision,0.04337899543378995
bbb,asmt_abd,svm,smote+pca,recall,0.09026128266033254
bbb,asmt_abi,svm,smote+pca,accuracy,0.5989923747276689
bbb,asmt_abi,svm,smote+pca,fscore,0.02048517520215633
bbb,asmt_abi,svm,smote+pca,precision,0.033702882483370285
bbb,asmt_abi,svm,smote+pca,recall,0.09026128266033254
bbb,stdnt_abd,svm,smote+pca,accuracy,0.6774237472766884
bbb,stdnt_abd,svm,smote+pca,fscore,0.057142857142857134
bbb,stdnt_abd,svm,smote+pca,precision,0.110260336906585
bbb,stdnt_abd,svm,smote+pca,recall,0.2565320665083136
bbb,stdnt_abi,svm,smote+pca,accuracy,0.7064270152505446
bbb,stdnt_abi,svm,smote+pca,fscore,0.06278026905829596
bbb,stdnt_abi,svm,smote+pca,precision,0.1329608938547486
bbb,stdnt_abi,svm,smote+pca,recall,0.2826603325415677
bbb,asmt_stdnt_abd,svm,smote+pca,accuracy,0.7261710239651417
bbb,asmt_stdnt_abd,svm,smote+pca,fscore,0.0145985401459854
bbb,asmt_stdnt_abd,svm,smote+pca,precision,0.0422866092404072
bbb,asmt_stdnt_abd,svm,smote+pca,recall,0.06413301662707839
bbb,asmt_stdnt_abi,svm,smote+pca,accuracy,0.7139161220043573
bbb,asmt_stdnt_abi,svm,smote+pca,fscore,0.014061654948620876
bbb,asmt_stdnt_abi,svm,smote+pca,precision,0.03815113719735877
bbb,asmt_stdnt_abi,svm,smote+pca,recall,0.061757719714964375
