module,attributes,classifier,technique,metric,score
eee,asmt,svm,smote+pca,accuracy,0.5502920181700195
eee,asmt,svm,smote+pca,fscore,0.02118780096308186
eee,asmt,svm,smote+pca,precision,0.023454157782515996
eee,asmt,svm,smote+pca,recall,0.7333333333333333
eee,stdnt,svm,smote+pca,accuracy,0.7232316677482155
eee,stdnt,svm,smote+pca,fscore,0.007112835434852894
eee,stdnt,svm,smote+pca,precision,0.01325301204819277
eee,stdnt,svm,smote+pca,recall,0.24444444444444444
eee,abd,svm,smote+pca,accuracy,0.7420506164828033
eee,abd,svm,smote+pca,fscore,0.018643522982963682
eee,abd,svm,smote+pca,precision,0.03589108910891089
eee,abd,svm,smote+pca,recall,0.6444444444444445
eee,abi,svm,smote+pca,accuracy,0.791693705386113
eee,abi,svm,smote+pca,fscore,0.02245749117741418
eee,abi,svm,smote+pca,precision,0.052473763118440785
eee,abi,svm,smote+pca,recall,0.7777777777777778
eee,asmt_stdnt,svm,smote+pca,accuracy,0.7449707981829978
eee,asmt_stdnt,svm,smote+pca,fscore,0.009686793671294802
eee,asmt_stdnt,svm,smote+pca,precision,0.019455252918287938
eee,asmt_stdnt,svm,smote+pca,recall,0.3333333333333333
eee,asmt_abd,svm,smote+pca,accuracy,0.7920181700194678
eee,asmt_abd,svm,smote+pca,fscore,0.020552344251766216
eee,asmt_abd,svm,smote+pca,precision,0.048484848484848485
eee,asmt_abd,svm,smote+pca,recall,0.7111111111111111
eee,asmt_abi,svm,smote+pca,accuracy,0.8046722907203114
eee,asmt_abi,svm,smote+pca,fscore,0.021822849807445442
eee,asmt_abi,svm,smote+pca,precision,0.0544
eee,asmt_abi,svm,smote+pca,recall,0.7555555555555555
eee,stdnt_abd,svm,smote+pca,accuracy,0.8088903309539258
eee,stdnt_abd,svm,smote+pca,fscore,0.0160926939169617
eee,stdnt_abd,svm,smote+pca,precision,0.04208754208754209
eee,stdnt_abd,svm,smote+pca,recall,0.5555555555555556
eee,stdnt_abi,svm,smote+pca,accuracy,0.8293316028552887
eee,stdnt_abi,svm,smote+pca,fscore,0.017368928916050175
eee,stdnt_abi,svm,smote+pca,precision,0.05046728971962617
eee,stdnt_abi,svm,smote+pca,recall,0.6
eee,asmt_stdnt_abd,svm,smote+pca,accuracy,0.8562621674237508
eee,asmt_stdnt_abd,svm,smote+pca,fscore,0.014814814814814815
eee,asmt_stdnt_abd,svm,smote+pca,precision,0.0518018018018018
eee,asmt_stdnt_abd,svm,smote+pca,recall,0.5111111111111111
eee,asmt_stdnt_abi,svm,smote+pca,accuracy,0.8556132381570409
eee,asmt_stdnt_abi,svm,smote+pca,fscore,0.014814814814814815
eee,asmt_stdnt_abi,svm,smote+pca,precision,0.0515695067264574
eee,asmt_stdnt_abi,svm,smote+pca,recall,0.5111111111111111
