module,attributes,classifier,technique,metric,score
fff,asmt,svm,smote+pca,accuracy,0.676088667366212
fff,asmt,svm,smote+pca,fscore,0.028700711053652232
fff,asmt,svm,smote+pca,precision,0.04329173166926677
fff,asmt,svm,smote+pca,recall,0.8705882352941177
fff,stdnt,svm,smote+pca,accuracy,0.6404118572927597
fff,stdnt,svm,smote+pca,fscore,0.014454066019923172
fff,stdnt,svm,smote+pca,precision,0.02036697247706422
fff,stdnt,svm,smote+pca,recall,0.4352941176470588
fff,abd,svm,smote+pca,accuracy,0.7815451206715635
fff,abd,svm,smote+pca,fscore,0.02512627897940681
fff,abd,svm,smote+pca,precision,0.056004618937644336
fff,abd,svm,smote+pca,recall,0.7607843137254902
fff,abi,svm,smote+pca,accuracy,0.8333551941238195
fff,abi,svm,smote+pca,fscore,0.02307792039413976
fff,abi,svm,smote+pca,precision,0.06737320211960636
fff,abi,svm,smote+pca,recall,0.6980392156862745
fff,asmt_stdnt,svm,smote+pca,accuracy,0.757607555089192
fff,asmt_stdnt,svm,smote+pca,fscore,0.022180426746222198
fff,asmt_stdnt,svm,smote+pca,precision,0.04520222045995242
fff,asmt_stdnt,svm,smote+pca,recall,0.6705882352941176
fff,asmt_abd,svm,smote+pca,accuracy,0.8149921301154249
fff,asmt_abd,svm,smote+pca,fscore,0.02499838093387734
fff,asmt_abd,svm,smote+pca,precision,0.06537940379403794
fff,asmt_abd,svm,smote+pca,recall,0.7568627450980392
fff,asmt_abi,svm,smote+pca,accuracy,0.8395199370409234
fff,asmt_abi,svm,smote+pca,fscore,0.023846552617936757
fff,asmt_abi,svm,smote+pca,precision,0.071875
fff,asmt_abi,svm,smote+pca,recall,0.7215686274509804
fff,stdnt_abd,svm,smote+pca,accuracy,0.8188614900314796
fff,stdnt_abd,svm,smote+pca,fscore,0.02166720726565034
fff,stdnt_abd,svm,smote+pca,precision,0.05878211897219289
fff,stdnt_abd,svm,smote+pca,recall,0.6549019607843137
fff,stdnt_abi,svm,smote+pca,accuracy,0.8296169989506821
fff,stdnt_abi,svm,smote+pca,fscore,0.02166720726565034
fff,stdnt_abi,svm,smote+pca,precision,0.06238326484871124
fff,stdnt_abi,svm,smote+pca,recall,0.6549019607843137
fff,asmt_stdnt_abd,svm,smote+pca,accuracy,0.8600472193074502
fff,asmt_stdnt_abd,svm,smote+pca,fscore,0.02038299253489127
fff,asmt_stdnt_abd,svm,smote+pca,precision,0.07159142726858185
fff,asmt_stdnt_abd,svm,smote+pca,recall,0.615686274509804
fff,asmt_stdnt_abi,svm,smote+pca,accuracy,0.8704092339979014
fff,asmt_stdnt_abi,svm,smote+pca,fscore,0.022052146841354262
fff,asmt_stdnt_abi,svm,smote+pca,precision,0.08248423095584667
fff,asmt_stdnt_abi,svm,smote+pca,recall,0.6666666666666666
