module,attributes,classifier,technique,metric,score
ggg,asmt,svm,smote+pca,accuracy,0.7581384685923888
ggg,asmt,svm,smote+pca,fscore,0.018173557473875508
ggg,asmt,svm,smote+pca,precision,0.03853564547206165
ggg,asmt,svm,smote+pca,recall,0.4123711340206185
ggg,stdnt,svm,smote+pca,accuracy,0.66552040348464
ggg,stdnt,svm,smote+pca,fscore,0.01139731023478459
ggg,stdnt,svm,smote+pca,precision,0.017705382436260624
ggg,stdnt,svm,smote+pca,recall,0.25773195876288657
ggg,abd,svm,smote+pca,accuracy,0.656121045392022
ggg,abd,svm,smote+pca,fscore,0.026690793938023077
ggg,abd,svm,smote+pca,precision,0.03879026955950033
ggg,abd,svm,smote+pca,recall,0.6082474226804123
ggg,abi,svm,smote+pca,accuracy,0.6515359926639156
ggg,abi,svm,smote+pca,fscore,0.0315884476534296
ggg,abi,svm,smote+pca,precision,0.044785668586052464
ggg,abi,svm,smote+pca,recall,0.7216494845360825
ggg,asmt_stdnt,svm,smote+pca,accuracy,0.709307657038056
ggg,asmt_stdnt,svm,smote+pca,fscore,0.015017064846416382
ggg,asmt_stdnt,svm,smote+pca,precision,0.026677445432497983
ggg,asmt_stdnt,svm,smote+pca,recall,0.3402061855670103
ggg,asmt_abd,svm,smote+pca,accuracy,0.7074736359468133
ggg,asmt_abd,svm,smote+pca,fscore,0.026690793938023077
ggg,asmt_abd,svm,smote+pca,precision,0.045489591364687734
ggg,asmt_abd,svm,smote+pca,recall,0.6082474226804123
ggg,asmt_abi,svm,smote+pca,accuracy,0.6914259513984411
ggg,asmt_abi,svm,smote+pca,fscore,0.03069977426636569
ggg,asmt_abi,svm,smote+pca,precision,0.049097472924187716
ggg,asmt_abi,svm,smote+pca,recall,0.7010309278350515
ggg,stdnt_abd,svm,smote+pca,accuracy,0.7810637322329207
ggg,stdnt_abd,svm,smote+pca,fscore,0.016822005001136627
ggg,stdnt_abd,svm,smote+pca,precision,0.039699570815450634
ggg,stdnt_abd,svm,smote+pca,recall,0.38144329896907214
ggg,stdnt_abi,svm,smote+pca,accuracy,0.740256762952774
ggg,stdnt_abi,svm,smote+pca,fscore,0.01997276441216523
ggg,stdnt_abi,svm,smote+pca,precision,0.039145907473309614
ggg,stdnt_abi,svm,smote+pca,recall,0.4536082474226804
ggg,asmt_stdnt_abd,svm,smote+pca,accuracy,0.8204951856946355
ggg,asmt_stdnt_abd,svm,smote+pca,fscore,0.016371077762619368
ggg,asmt_stdnt_abd,svm,smote+pca,precision,0.0474934036939314
ggg,asmt_stdnt_abd,svm,smote+pca,recall,0.3711340206185567
ggg,asmt_stdnt_abi,svm,smote+pca,accuracy,0.7803759743237048
ggg,asmt_stdnt_abi,svm,smote+pca,fscore,0.01952326901248581
ggg,asmt_stdnt_abi,svm,smote+pca,precision,0.0454065469904963
ggg,asmt_stdnt_abi,svm,smote+pca,recall,0.4432989690721649
