module,attributes,classifier,technique,metric,score
ddd,asmt,svm,smote,accuracy,0.5994583207944628
ddd,asmt,svm,smote,fscore,0.09652012029213804
ddd,asmt,svm,smote,precision,0.11608680675163625
ddd,asmt,svm,smote,recall,0.7782909930715936
ddd,stdnt,svm,smote,accuracy,0.6373758651820643
ddd,stdnt,svm,smote,fscore,0.0515977719143946
ddd,stdnt,svm,smote,precision,0.07556891369686561
ddd,stdnt,svm,smote,recall,0.4064665127020785
ddd,abd,svm,smote,accuracy,0.4987962684321397
ddd,abd,svm,smote,fscore,0.10574319509762006
ddd,abd,svm,smote,precision,0.10192307692307692
ddd,abd,svm,smote,recall,0.8568129330254042
ddd,abi,svm,smote,accuracy,0.4875112849834487
ddd,abi,svm,smote,fscore,0.10574319509762006
ddd,abi,svm,smote,precision,0.09986541049798116
ddd,abi,svm,smote,recall,0.8568129330254042
ddd,asmt_stdnt,svm,smote,accuracy,0.6933493830875714
ddd,asmt_stdnt,svm,smote,fscore,0.08085475021657522
ddd,asmt_stdnt,svm,smote,precision,0.12933025404157045
ddd,asmt_stdnt,svm,smote,recall,0.6466512702078522
ddd,asmt_abd,svm,smote,accuracy,0.6069816430935902
ddd,asmt_abd,svm,smote,fscore,0.10439247005134056
ddd,asmt_abd,svm,smote,precision,0.12572998969426313
ddd,asmt_abd,svm,smote,recall,0.8452655889145496
ddd,asmt_abi,svm,smote,accuracy,0.5854649413180861
ddd,asmt_abi,svm,smote,fscore,0.10466276914302013
ddd,asmt_abi,svm,smote,precision,0.12009162303664922
ddd,asmt_abi,svm,smote,recall,0.8475750577367206
ddd,stdnt_abd,svm,smote,accuracy,0.5594342461631057
ddd,stdnt_abd,svm,smote,fscore,0.10005717552887364
ddd,stdnt_abd,svm,smote,precision,0.10954616588419404
ddd,stdnt_abd,svm,smote,recall,0.8083140877598153
ddd,stdnt_abi,svm,smote,accuracy,0.5189587721938008
ddd,stdnt_abi,svm,smote,fscore,0.10195630444095387
ddd,stdnt_abi,svm,smote,precision,0.10264519838987923
ddd,stdnt_abi,svm,smote,recall,0.8244803695150116
ddd,asmt_stdnt_abd,svm,smote,accuracy,0.6831176647607583
ddd,asmt_stdnt_abd,svm,smote,fscore,0.09488318761645406
ddd,asmt_stdnt_abd,svm,smote,precision,0.1417558886509636
ddd,asmt_stdnt_abd,svm,smote,recall,0.7644341801385681
ddd,asmt_stdnt_abi,svm,smote,accuracy,0.6531748420102317
ddd,asmt_stdnt_abi,svm,smote,fscore,0.10060017147756503
ddd,asmt_stdnt_abi,svm,smote,precision,0.13664596273291926
ddd,asmt_stdnt_abi,svm,smote,recall,0.812933025404157
