module,attributes,classifier,technique,metric,score
ggg,asmt,svm,smote,accuracy,0.7581384685923888
ggg,asmt,svm,smote,fscore,0.018173557473875508
ggg,asmt,svm,smote,precision,0.03853564547206165
ggg,asmt,svm,smote,recall,0.4123711340206185
ggg,stdnt,svm,smote,accuracy,0.7200825309491059
ggg,stdnt,svm,smote,fscore,0.010943912448700409
ggg,stdnt,svm,smote,precision,0.020477815699658702
ggg,stdnt,svm,smote,recall,0.24742268041237114
ggg,abd,svm,smote,accuracy,0.6384685923888125
ggg,abd,svm,smote,fscore,0.0302551365996839
ggg,abd,svm,smote,precision,0.04151177199504337
ggg,abd,svm,smote,recall,0.6907216494845361
ggg,abi,svm,smote,accuracy,0.5580009170105457
ggg,abi,svm,smote,fscore,0.034249662009914375
ggg,abi,svm,smote,precision,0.03832576903681291
ggg,abi,svm,smote,recall,0.7835051546391752
ggg,asmt_stdnt,svm,smote,accuracy,0.7581384685923888
ggg,asmt_stdnt,svm,smote,fscore,0.013208836255978138
ggg,asmt_stdnt,svm,smote,precision,0.028543307086614175
ggg,asmt_stdnt,svm,smote,recall,0.29896907216494845
ggg,asmt_abd,svm,smote,accuracy,0.6989912883998166
ggg,asmt_abd,svm,smote,fscore,0.02802893309222423
ggg,asmt_abd,svm,smote,precision,0.04626865671641791
ggg,asmt_abd,svm,smote,recall,0.6391752577319587
ggg,asmt_abi,svm,smote,accuracy,0.5685465382851903
ggg,asmt_abi,svm,smote,fscore,0.03380662609871535
ggg,asmt_abi,svm,smote,precision,0.03875968992248062
ggg,asmt_abi,svm,smote,recall,0.7731958762886598
ggg,stdnt_abd,svm,smote,accuracy,0.7620357634112792
ggg,stdnt_abd,svm,smote,fscore,0.01862366568248921
ggg,stdnt_abd,svm,smote,precision,0.04007820136852395
ggg,stdnt_abd,svm,smote,recall,0.42268041237113396
ggg,stdnt_abi,svm,smote,accuracy,0.7301696469509399
ggg,stdnt_abi,svm,smote,fscore,0.024009060022650058
ggg,stdnt_abi,svm,smote,precision,0.04468802698145025
ggg,stdnt_abi,svm,smote,recall,0.5463917525773195
ggg,asmt_stdnt_abd,svm,smote,accuracy,0.8028427326914259
ggg,asmt_stdnt_abd,svm,smote,fscore,0.020871143375680586
ggg,asmt_stdnt_abd,svm,smote,precision,0.053801169590643266
ggg,asmt_stdnt_abd,svm,smote,recall,0.4742268041237113
ggg,asmt_stdnt_abi,svm,smote,accuracy,0.7585969738651994
ggg,asmt_stdnt_abi,svm,smote,fscore,0.024009060022650058
ggg,asmt_stdnt_abi,svm,smote,precision,0.04990583804143126
ggg,asmt_stdnt_abi,svm,smote,recall,0.5463917525773195
