module,attributes,sample,metric,score
aaa,asmt,non-smote,accuracy,0.9661016949152542
aaa,asmt,non-smote,fscore,0.9827586206896551
aaa,asmt,non-smote,precision,1.0
aaa,asmt,non-smote,recall,0.9661016949152542
aaa,stdnt,non-smote,accuracy,0.928135593220339
aaa,stdnt,non-smote,fscore,0.9627285513361463
aaa,stdnt,non-smote,precision,0.960701754385965
aaa,stdnt,non-smote,recall,0.9647639182522904
aaa,abd,non-smote,accuracy,0.9227118644067797
aaa,abd,non-smote,fscore,0.9579653832567997
aaa,abd,non-smote,precision,0.9515789473684211
aaa,abd,non-smote,recall,0.9678800856531049
aaa,abi,non-smote,accuracy,0.9301694915254237
aaa,abi,non-smote,fscore,0.9627285513361463
aaa,abi,non-smote,precision,0.960701754385965
aaa,abi,non-smote,recall,0.9668079096045198
aaa,asmt_stdnt,non-smote,accuracy,0.9389830508474576
aaa,asmt_stdnt,non-smote,fscore,0.9681706890521161
aaa,asmt_stdnt,non-smote,precision,0.9712280701754386
aaa,asmt_stdnt,non-smote,recall,0.9658060013956734
aaa,asmt_abd,non-smote,accuracy,0.9240677966101695
aaa,asmt_abd,non-smote,fscore,0.9598025387870239
aaa,asmt_abd,non-smote,precision,0.9550877192982457
aaa,asmt_abd,non-smote,recall,0.9659332860184529
aaa,asmt_abi,non-smote,accuracy,0.936271186440678
aaa,asmt_abi,non-smote,fscore,0.9652753419852683
aaa,asmt_abi,non-smote,precision,0.9656140350877193
aaa,asmt_abi,non-smote,recall,0.9683321604503871
aaa,stdnt_abd,non-smote,accuracy,0.9261016949152543
aaa,stdnt_abd,non-smote,fscore,0.9598025387870239
aaa,stdnt_abd,non-smote,precision,0.9550877192982457
aaa,stdnt_abd,non-smote,recall,0.9679943100995733
aaa,stdnt_abi,non-smote,accuracy,0.92
aaa,stdnt_abi,non-smote,fscore,0.9561217268223637
aaa,stdnt_abi,non-smote,precision,0.9480701754385965
aaa,stdnt_abi,non-smote,recall,0.9684587813620071
aaa,asmt_stdnt_abd,non-smote,accuracy,0.9152542372881356
aaa,asmt_stdnt_abd,non-smote,fscore,0.9542715349166963
aaa,asmt_stdnt_abd,non-smote,precision,0.9445614035087719
aaa,asmt_stdnt_abd,non-smote,recall,0.9669540229885057
aaa,asmt_stdnt_abi,non-smote,accuracy,0.9247457627118644
aaa,asmt_stdnt_abi,non-smote,fscore,0.9594356261022927
aaa,asmt_stdnt_abi,non-smote,precision,0.9543859649122807
aaa,asmt_stdnt_abi,non-smote,recall,0.9672830725462305
bbb,asmt,non-smote,accuracy,0.8853485838779956
bbb,asmt,non-smote,fscore,0.9391882132023689
bbb,asmt,non-smote,precision,1.0
bbb,asmt,non-smote,recall,0.8853485838779956
bbb,stdnt,non-smote,accuracy,0.8838507625272332
bbb,stdnt,non-smote,fscore,0.9381145170618855
bbb,stdnt,non-smote,precision,0.9978468163641956
bbb,stdnt,non-smote,recall,0.8854920158318548
bbb,abd,non-smote,accuracy,0.8458605664488017
bbb,abd,non-smote,fscore,0.9147332643712133
bbb,abd,non-smote,precision,0.9520147646877883
bbb,abd,non-smote,recall,0.8830242510699001
bbb,abi,non-smote,accuracy,0.8221677559912854
bbb,abi,non-smote,fscore,0.9004341967360383
bbb,abi,non-smote,precision,0.9249461704091049
bbb,abi,non-smote,recall,0.8802693208430913
bbb,asmt_stdnt,non-smote,accuracy,0.8641067538126361
bbb,asmt_stdnt,non-smote,fscore,0.9257661083887955
bbb,asmt_stdnt,non-smote,precision,0.9733928022147031
bbb,asmt_stdnt,non-smote,recall,0.8846798993570031
bbb,asmt_abd,non-smote,accuracy,0.681917211328976
bbb,asmt_abd,non-smote,fscore,0.806920640077979
bbb,asmt_abd,non-smote,precision,0.7639187942171639
bbb,asmt_abd,non-smote,recall,0.861130374479889
bbb,asmt_abi,non-smote,accuracy,0.8100490196078431
bbb,asmt_abi,non-smote,fscore,0.8928921383884827
bbb,asmt_abi,non-smote,precision,0.9109504767763765
bbb,asmt_abi,non-smote,recall,0.878913785428105
bbb,stdnt_abd,non-smote,accuracy,0.8282952069716776
bbb,stdnt_abd,non-smote,fscore,0.902980058256778
bbb,stdnt_abd,non-smote,precision,0.9297139341741003
bbb,stdnt_abd,non-smote,recall,0.8826106000876041
bbb,stdnt_abi,non-smote,accuracy,0.8028322440087146
bbb,stdnt_abi,non-smote,fscore,0.8876940552820901
bbb,stdnt_abi,non-smote,precision,0.9014149492463858
bbb,stdnt_abi,non-smote,recall,0.8789742051589682
bbb,asmt_stdnt_abd,non-smote,accuracy,0.7249455337690632
bbb,asmt_stdnt_abd,non-smote,fscore,0.8370546318289787
bbb,asmt_stdnt_abd,non-smote,precision,0.8129806213472778
bbb,asmt_stdnt_abd,non-smote,recall,0.8679802955665025
bbb,asmt_stdnt_abi,non-smote,accuracy,0.8464052287581699
bbb,asmt_stdnt_abi,non-smote,fscore,0.9150539222928055
bbb,asmt_stdnt_abi,non-smote,precision,0.9526299600123039
bbb,asmt_stdnt_abi,non-smote,recall,0.8830909609352723
ccc,asmt,non-smote,accuracy,0.9169045353631462
ccc,asmt,non-smote,fscore,0.9566512243547319
ccc,asmt,non-smote,precision,1.0
ccc,asmt,non-smote,recall,0.9169045353631462
ccc,stdnt,non-smote,accuracy,0.808542129189132
ccc,stdnt,non-smote,fscore,0.8832349468713105
ccc,stdnt,non-smote,precision,0.8625619739421192
