module,attributes,classifier,technique,metric,score
aaa,asmt,ae,kmeans,accuracy,0.9661016949152542
aaa,asmt,ae,kmeans,fscore,0.0
aaa,asmt,ae,kmeans,precision,0.0
aaa,asmt,ae,kmeans,recall,0.0
aaa,stdnt,ae,kmeans,accuracy,0.9661016949152542
aaa,stdnt,ae,kmeans,fscore,0.0
aaa,stdnt,ae,kmeans,precision,0.0
aaa,stdnt,ae,kmeans,recall,0.0
aaa,abd,ae,kmeans,accuracy,0.9661016949152542
aaa,abd,ae,kmeans,fscore,0.0
aaa,abd,ae,kmeans,precision,0.0
aaa,abd,ae,kmeans,recall,0.0
aaa,abi,ae,kmeans,accuracy,0.9661016949152542
aaa,abi,ae,kmeans,fscore,0.0
aaa,abi,ae,kmeans,precision,0.0
aaa,abi,ae,kmeans,recall,0.0
aaa,asmt_stdnt,ae,kmeans,accuracy,0.9661016949152542
aaa,asmt_stdnt,ae,kmeans,fscore,0.0
aaa,asmt_stdnt,ae,kmeans,precision,0.0
aaa,asmt_stdnt,ae,kmeans,recall,0.0
aaa,asmt_abd,ae,kmeans,accuracy,0.9661016949152542
aaa,asmt_abd,ae,kmeans,fscore,0.0
aaa,asmt_abd,ae,kmeans,precision,0.0
aaa,asmt_abd,ae,kmeans,recall,0.0
aaa,asmt_abi,ae,kmeans,accuracy,0.9661016949152542
aaa,asmt_abi,ae,kmeans,fscore,0.0
aaa,asmt_abi,ae,kmeans,precision,0.0
aaa,asmt_abi,ae,kmeans,recall,0.0
aaa,stdnt_abd,ae,kmeans,accuracy,0.9661016949152542
aaa,stdnt_abd,ae,kmeans,fscore,0.0
aaa,stdnt_abd,ae,kmeans,precision,0.0
aaa,stdnt_abd,ae,kmeans,recall,0.0
aaa,stdnt_abi,ae,kmeans,accuracy,0.9661016949152542
aaa,stdnt_abi,ae,kmeans,fscore,0.0
aaa,stdnt_abi,ae,kmeans,precision,0.0
aaa,stdnt_abi,ae,kmeans,recall,0.0
aaa,asmt_stdnt_abd,ae,kmeans,accuracy,0.9661016949152542
aaa,asmt_stdnt_abd,ae,kmeans,fscore,0.0
aaa,asmt_stdnt_abd,ae,kmeans,precision,0.0
aaa,asmt_stdnt_abd,ae,kmeans,recall,0.0
aaa,asmt_stdnt_abi,ae,kmeans,accuracy,0.9661016949152542
aaa,asmt_stdnt_abi,ae,kmeans,fscore,0.0
aaa,asmt_stdnt_abi,ae,kmeans,precision,0.0
aaa,asmt_stdnt_abi,ae,kmeans,recall,0.0
