module,attributes,classifier,technique,metric,score
aaa,asmt,ae,smote,accuracy,0.9661016949152542
aaa,asmt,ae,smote,fscore,0.0
aaa,asmt,ae,smote,precision,0.0
aaa,asmt,ae,smote,recall,0.0
aaa,stdnt,ae,smote,accuracy,0.8522033898305085
aaa,stdnt,ae,smote,fscore,0.013468013468013467
aaa,stdnt,ae,smote,precision,0.05319148936170213
aaa,stdnt,ae,smote,recall,0.2
aaa,abd,ae,smote,accuracy,0.6894915254237288
aaa,abd,ae,smote,fscore,0.04376657824933687
aaa,abd,ae,smote,precision,0.06962025316455696
aaa,abd,ae,smote,recall,0.66
aaa,abi,ae,smote,accuracy,0.8508474576271187
aaa,abi,ae,smote,fscore,0.020134228187919462
aaa,abi,ae,smote,precision,0.075
aaa,abi,ae,smote,recall,0.3
aaa,asmt_stdnt,ae,smote,accuracy,0.848813559322034
aaa,asmt_stdnt,ae,smote,fscore,0.01880456682337139
aaa,asmt_stdnt,ae,smote,precision,0.06965174129353234
aaa,asmt_stdnt,ae,smote,recall,0.28
aaa,asmt_abd,ae,smote,accuracy,0.6461016949152543
aaa,asmt_abd,ae,smote,fscore,0.04506295559973492
aaa,asmt_abd,ae,smote,precision,0.06296296296296296
aaa,asmt_abd,ae,smote,recall,0.68
aaa,asmt_abi,ae,smote,accuracy,0.7959322033898305
aaa,asmt_abi,ae,smote,fscore,0.03986710963455149
aaa,asmt_abi,ae,smote,precision,0.09646302250803858
aaa,asmt_abi,ae,smote,recall,0.6
aaa,stdnt_abd,ae,smote,accuracy,0.8610169491525423
aaa,stdnt_abd,ae,smote,fscore,0.021462105969148222
aaa,stdnt_abd,ae,smote,precision,0.0855614973262032
aaa,stdnt_abd,ae,smote,recall,0.32
aaa,stdnt_abi,ae,smote,accuracy,0.7769491525423728
aaa,stdnt_abi,ae,smote,fscore,0.029392117568470273
aaa,stdnt_abi,ae,smote,precision,0.06811145510835913
aaa,stdnt_abi,ae,smote,recall,0.44
aaa,asmt_stdnt_abd,ae,smote,accuracy,0.8115254237288135
aaa,asmt_stdnt_abd,ae,smote,fscore,0.021462105969148222
aaa,asmt_stdnt_abd,ae,smote,precision,0.06153846153846154
aaa,asmt_stdnt_abd,ae,smote,recall,0.32
aaa,asmt_stdnt_abi,ae,smote,accuracy,0.7627118644067796
aaa,asmt_stdnt_abi,ae,smote,fscore,0.02807486631016043
aaa,asmt_stdnt_abi,ae,smote,precision,0.06140350877192982
aaa,asmt_stdnt_abi,ae,smote,recall,0.42
