module,attributes,classifier,technique,metric,score
aaa,asmt,ff,smote,accuracy,0.43796610169491523
aaa,asmt,ff,smote,fscore,0.04765056254136334
aaa,asmt,ff,smote,precision,0.04230317273795535
aaa,asmt,ff,smote,recall,0.72
aaa,stdnt,ff,smote,accuracy,0.8494915254237289
aaa,stdnt,ff,smote,fscore,0.009446693657219974
aaa,stdnt,ff,smote,precision,0.03763440860215054
aaa,stdnt,ff,smote,recall,0.14
aaa,abd,ff,smote,accuracy,0.8216949152542373
aaa,abd,ff,smote,fscore,0.029392117568470273
aaa,abd,ff,smote,precision,0.08560311284046693
aaa,abd,ff,smote,recall,0.44
aaa,abi,ff,smote,accuracy,0.8583050847457627
aaa,abi,ff,smote,fscore,0.021462105969148222
aaa,abi,ff,smote,precision,0.08376963350785341
aaa,abi,ff,smote,recall,0.32
aaa,asmt_stdnt,ff,smote,accuracy,0.9288135593220339
aaa,asmt_stdnt,ff,smote,fscore,0.0040595399188092015
aaa,asmt_stdnt,ff,smote,precision,0.04918032786885246
aaa,asmt_stdnt,ff,smote,recall,0.06
aaa,asmt_abd,ff,smote,accuracy,0.911864406779661
aaa,asmt_abd,ff,smote,fscore,0.01880456682337139
aaa,asmt_abd,ff,smote,precision,0.12962962962962962
aaa,asmt_abd,ff,smote,recall,0.28
aaa,asmt_abi,ff,smote,accuracy,0.88
aaa,asmt_abi,ff,smote,fscore,0.02807486631016043
aaa,asmt_abi,ff,smote,precision,0.1242603550295858
aaa,asmt_abi,ff,smote,recall,0.42
aaa,stdnt_abd,ff,smote,accuracy,0.9315254237288135
aaa,stdnt_abd,ff,smote,fscore,0.006756756756756757
aaa,stdnt_abd,ff,smote,precision,0.08196721311475409
aaa,stdnt_abd,ff,smote,recall,0.1
aaa,stdnt_abi,ff,smote,accuracy,0.9538983050847457
aaa,stdnt_abi,ff,smote,fscore,0.002708192281651997
aaa,stdnt_abi,ff,smote,precision,0.09090909090909091
aaa,stdnt_abi,ff,smote,recall,0.04
aaa,asmt_stdnt_abd,ff,smote,accuracy,0.943728813559322
aaa,asmt_stdnt_abd,ff,smote,fscore,0.008102633355840648
aaa,asmt_stdnt_abd,ff,smote,precision,0.13333333333333333
aaa,asmt_stdnt_abd,ff,smote,recall,0.12
aaa,asmt_stdnt_abi,ff,smote,accuracy,0.9511864406779661
aaa,asmt_stdnt_abi,ff,smote,fscore,0.006756756756756757
aaa,asmt_stdnt_abi,ff,smote,precision,0.15625
aaa,asmt_stdnt_abi,ff,smote,recall,0.1
