module,attributes,classifier,technique,metric,score
aaa,asmt,dt,kmeans,accuracy,0.9661016949152542
aaa,asmt,dt,kmeans,fscore,0.0
aaa,asmt,dt,kmeans,precision,0.0
aaa,asmt,dt,kmeans,recall,0.0
aaa,asmt,knn,kmeans,accuracy,0.9661016949152542
aaa,asmt,knn,kmeans,fscore,0.0
aaa,asmt,knn,kmeans,precision,0.0
aaa,asmt,knn,kmeans,recall,0.0
aaa,asmt,nb,kmeans,accuracy,0.9661016949152542
aaa,asmt,nb,kmeans,fscore,0.0
aaa,asmt,nb,kmeans,precision,0.0
aaa,asmt,nb,kmeans,recall,0.0
aaa,asmt,nn,kmeans,accuracy,0.9661016949152542
aaa,asmt,nn,kmeans,fscore,0.0
aaa,asmt,nn,kmeans,precision,0.0
aaa,asmt,nn,kmeans,recall,0.0
aaa,asmt,rf,kmeans,accuracy,0.9661016949152542
aaa,asmt,rf,kmeans,fscore,0.0
aaa,asmt,rf,kmeans,precision,0.0
aaa,asmt,rf,kmeans,recall,0.0
aaa,asmt,svm,kmeans,accuracy,0.9661016949152542
aaa,asmt,svm,kmeans,fscore,0.0
aaa,asmt,svm,kmeans,precision,0.0
aaa,asmt,svm,kmeans,recall,0.0
aaa,stdnt,dt,kmeans,accuracy,0.9477966101694916
aaa,stdnt,dt,kmeans,fscore,0.0
aaa,stdnt,dt,kmeans,precision,0.0
aaa,stdnt,dt,kmeans,recall,0.0
aaa,stdnt,knn,kmeans,accuracy,0.9661016949152542
aaa,stdnt,knn,kmeans,fscore,0.0
aaa,stdnt,knn,kmeans,precision,0.0
aaa,stdnt,knn,kmeans,recall,0.0
aaa,stdnt,nb,kmeans,accuracy,0.8766101694915254
aaa,stdnt,nb,kmeans,fscore,0.0040595399188092015
aaa,stdnt,nb,kmeans,precision,0.021739130434782608
aaa,stdnt,nb,kmeans,recall,0.06
aaa,stdnt,nn,kmeans,accuracy,0.9627118644067797
aaa,stdnt,nn,kmeans,fscore,0.0
aaa,stdnt,nn,kmeans,precision,0.0
aaa,stdnt,nn,kmeans,recall,0.0
aaa,stdnt,rf,kmeans,accuracy,0.9627118644067797
aaa,stdnt,rf,kmeans,fscore,0.0
aaa,stdnt,rf,kmeans,precision,0.0
aaa,stdnt,rf,kmeans,recall,0.0
aaa,stdnt,svm,kmeans,accuracy,0.9661016949152542
aaa,stdnt,svm,kmeans,fscore,0.0
aaa,stdnt,svm,kmeans,precision,0.0
aaa,stdnt,svm,kmeans,recall,0.0
aaa,abd,dt,kmeans,accuracy,0.9308474576271186
aaa,abd,dt,kmeans,fscore,0.006756756756756757
aaa,abd,dt,kmeans,precision,0.08064516129032258
aaa,abd,dt,kmeans,recall,0.1
aaa,abd,knn,kmeans,accuracy,0.9661016949152542
aaa,abd,knn,kmeans,fscore,0.0
aaa,abd,knn,kmeans,precision,0.0
aaa,abd,knn,kmeans,recall,0.0
aaa,abd,nb,kmeans,accuracy,0.35322033898305083
