module,attributes,classifier,technique,metric,score
aaa,asmt,dt,pca,accuracy,0.9661016949152542
aaa,asmt,dt,pca,fscore,0.0
aaa,asmt,dt,pca,precision,0.0
aaa,asmt,dt,pca,recall,0.0
aaa,asmt,knn,pca,accuracy,0.9661016949152542
aaa,asmt,knn,pca,fscore,0.0
aaa,asmt,knn,pca,precision,0.0
aaa,asmt,knn,pca,recall,0.0
aaa,asmt,nb,pca,accuracy,0.9661016949152542
aaa,asmt,nb,pca,fscore,0.0
aaa,asmt,nb,pca,precision,0.0
aaa,asmt,nb,pca,recall,0.0
aaa,asmt,nn,pca,accuracy,0.9661016949152542
aaa,asmt,nn,pca,fscore,0.0
aaa,asmt,nn,pca,precision,0.0
aaa,asmt,nn,pca,recall,0.0
aaa,asmt,rf,pca,accuracy,0.9661016949152542
aaa,asmt,rf,pca,fscore,0.0
aaa,asmt,rf,pca,precision,0.0
aaa,asmt,rf,pca,recall,0.0
aaa,asmt,svm,pca,accuracy,0.9661016949152542
aaa,asmt,svm,pca,fscore,0.0
aaa,asmt,svm,pca,precision,0.0
aaa,asmt,svm,pca,recall,0.0
aaa,stdnt,dt,pca,accuracy,0.9640677966101695
aaa,stdnt,dt,pca,fscore,0.0040595399188092015
aaa,stdnt,dt,pca,precision,0.3333333333333333
aaa,stdnt,dt,pca,recall,0.06
aaa,stdnt,knn,pca,accuracy,0.9661016949152542
aaa,stdnt,knn,pca,fscore,0.0013550135501355014
aaa,stdnt,knn,pca,precision,0.5
aaa,stdnt,knn,pca,recall,0.02
aaa,stdnt,nb,pca,accuracy,0.9661016949152542
aaa,stdnt,nb,pca,fscore,0.0013550135501355014
aaa,stdnt,nb,pca,precision,0.5
aaa,stdnt,nb,pca,recall,0.02
aaa,stdnt,nn,pca,accuracy,0.9661016949152542
aaa,stdnt,nn,pca,fscore,0.0
aaa,stdnt,nn,pca,precision,0.0
aaa,stdnt,nn,pca,recall,0.0
aaa,stdnt,rf,pca,accuracy,0.9661016949152542
aaa,stdnt,rf,pca,fscore,0.0
aaa,stdnt,rf,pca,precision,0.0
aaa,stdnt,rf,pca,recall,0.0
aaa,stdnt,svm,pca,accuracy,0.9661016949152542
aaa,stdnt,svm,pca,fscore,0.0
aaa,stdnt,svm,pca,precision,0.0
aaa,stdnt,svm,pca,recall,0.0
aaa,abd,dt,pca,accuracy,0.9328813559322033
aaa,abd,dt,pca,fscore,0.009446693657219974
aaa,abd,dt,pca,precision,0.1111111111111111
aaa,abd,dt,pca,recall,0.14
aaa,abd,knn,pca,accuracy,0.9661016949152542
aaa,abd,knn,pca,fscore,0.0
aaa,abd,knn,pca,precision,0.0
aaa,abd,knn,pca,recall,0.0
aaa,abd,nb,pca,accuracy,0.8501694915254238
aaa,abd,nb,pca,fscore,0.03595206391478029
aaa,abd,nb,pca,precision,0.12
aaa,abd,nb,pca,recall,0.54
aaa,abd,nn,pca,accuracy,0.951864406779661
aaa,abd,nn,pca,fscore,0.002708192281651997
aaa,abd,nn,pca,precision,0.08
