module,attributes,classifier,technique,metric,score
aaa,asmt,dt,ae,accuracy,0.9661016949152542
aaa,asmt,dt,ae,fscore,0.0
aaa,asmt,dt,ae,precision,0.0
aaa,asmt,dt,ae,recall,0.0
aaa,asmt,knn,ae,accuracy,0.9661016949152542
aaa,asmt,knn,ae,fscore,0.0
aaa,asmt,knn,ae,precision,0.0
aaa,asmt,knn,ae,recall,0.0
aaa,asmt,nb,ae,accuracy,0.9661016949152542
aaa,asmt,nb,ae,fscore,0.0
aaa,asmt,nb,ae,precision,0.0
aaa,asmt,nb,ae,recall,0.0
aaa,asmt,nn,ae,accuracy,0.9661016949152542
aaa,asmt,nn,ae,fscore,0.0
aaa,asmt,nn,ae,precision,0.0
aaa,asmt,nn,ae,recall,0.0
aaa,asmt,rf,ae,accuracy,0.9661016949152542
aaa,asmt,rf,ae,fscore,0.0
aaa,asmt,rf,ae,precision,0.0
aaa,asmt,rf,ae,recall,0.0
aaa,asmt,svm,ae,accuracy,0.9661016949152542
aaa,asmt,svm,ae,fscore,0.0
aaa,asmt,svm,ae,precision,0.0
aaa,asmt,svm,ae,recall,0.0
aaa,stdnt,dt,ae,accuracy,0.9654237288135593
aaa,stdnt,dt,ae,fscore,0.0
aaa,stdnt,dt,ae,precision,0.0
aaa,stdnt,dt,ae,recall,0.0
aaa,stdnt,knn,ae,accuracy,0.9661016949152542
aaa,stdnt,knn,ae,fscore,0.0
aaa,stdnt,knn,ae,precision,0.0
aaa,stdnt,knn,ae,recall,0.0
aaa,stdnt,nb,ae,accuracy,0.288135593220339
aaa,stdnt,nb,ae,fscore,0.05151915455746367
aaa,stdnt,nb,ae,precision,0.036178107606679034
aaa,stdnt,nb,ae,recall,0.78
aaa,stdnt,nn,ae,accuracy,0.9661016949152542
aaa,stdnt,nn,ae,fscore,0.0
aaa,stdnt,nn,ae,precision,0.0
aaa,stdnt,nn,ae,recall,0.0
aaa,stdnt,rf,ae,accuracy,0.9661016949152542
aaa,stdnt,rf,ae,fscore,0.0
aaa,stdnt,rf,ae,precision,0.0
aaa,stdnt,rf,ae,recall,0.0
aaa,stdnt,svm,ae,accuracy,0.9661016949152542
