module,attributes,classifier,technique,metric,score
aaa,asmt,dt,smote+ae,accuracy,0.43796610169491523
aaa,asmt,dt,smote+ae,fscore,0.04765056254136334
aaa,asmt,dt,smote+ae,precision,0.04230317273795535
aaa,asmt,dt,smote+ae,recall,0.72
aaa,asmt,knn,smote+ae,accuracy,0.45016949152542374
aaa,asmt,knn,smote+ae,fscore,0.025435073627844713
aaa,asmt,knn,smote+ae,precision,0.023779724655819776
aaa,asmt,knn,smote+ae,recall,0.38
aaa,asmt,nb,smote+ae,accuracy,0.25152542372881354
aaa,asmt,nb,smote+ae,fscore,0.060486522024983565
aaa,asmt,nb,smote+ae,precision,0.04013961605584642
aaa,asmt,nb,smote+ae,recall,0.92
aaa,asmt,nn,smote+ae,accuracy,0.43796610169491523
aaa,asmt,nn,smote+ae,fscore,0.04765056254136334
aaa,asmt,nn,smote+ae,precision,0.04230317273795535
aaa,asmt,nn,smote+ae,recall,0.72
aaa,asmt,rf,smote+ae,accuracy,0.43796610169491523
aaa,asmt,rf,smote+ae,fscore,0.04765056254136334
aaa,asmt,rf,smote+ae,precision,0.04230317273795535
aaa,asmt,rf,smote+ae,recall,0.72
aaa,asmt,svm,smote+ae,accuracy,0.25152542372881354
aaa,asmt,svm,smote+ae,fscore,0.060486522024983565
aaa,asmt,svm,smote+ae,precision,0.04013961605584642
aaa,asmt,svm,smote+ae,recall,0.92
aaa,stdnt,dt,smote+ae,accuracy,0.7911864406779661
aaa,stdnt,dt,smote+ae,fscore,0.029392117568470273
aaa,stdnt,dt,smote+ae,precision,0.0728476821192053
aaa,stdnt,dt,smote+ae,recall,0.44
aaa,stdnt,knn,smote+ae,accuracy,0.7762711864406779
aaa,stdnt,knn,smote+ae,fscore,0.022788203753351208
aaa,stdnt,knn,smote+ae,precision,0.054140127388535034
aaa,stdnt,knn,smote+ae,recall,0.34
aaa,stdnt,nb,smote+ae,accuracy,0.3545762711864407
aaa,stdnt,nb,smote+ae,fscore,0.04894179894179894
aaa,stdnt,nb,smote+ae,precision,0.03790983606557377
aaa,stdnt,nb,smote+ae,recall,0.74
aaa,stdnt,nn,smote+ae,accuracy,0.8725423728813559
aaa,stdnt,nn,smote+ae,fscore,0.013468013468013467
aaa,stdnt,nn,smote+ae,precision,0.06329113924050633
aaa,stdnt,nn,smote+ae,recall,0.2
aaa,stdnt,rf,smote+ae,accuracy,0.8623728813559322
aaa,stdnt,rf,smote+ae,fscore,0.009446693657219974
aaa,stdnt,rf,smote+ae,precision,0.041916167664670656
aaa,stdnt,rf,smote+ae,recall,0.14
aaa,stdnt,svm,smote+ae,accuracy,0.7125423728813559
aaa,stdnt,svm,smote+ae,fscore,0.030707610146862484
aaa,stdnt,svm,smote+ae,precision,0.05476190476190476
aaa,stdnt,svm,smote+ae,recall,0.46
aaa,abd,dt,smote+ae,accuracy,0.8149152542372882
aaa,abd,dt,smote+ae,fscore,0.02807486631016043
aaa,abd,dt,smote+ae,precision,0.07924528301886792
aaa,abd,dt,smote+ae,recall,0.42
aaa,abd,knn,smote+ae,accuracy,0.7166101694915255
aaa,abd,knn,smote+ae,fscore,0.03333333333333333
aaa,abd,knn,smote+ae,precision,0.05980861244019139
aaa,abd,knn,smote+ae,recall,0.5
aaa,abd,nb,smote+ae,accuracy,0.38508474576271184
aaa,abd,nb,smote+ae,fscore,0.05921052631578947
aaa,abd,nb,smote+ae,precision,0.04751847940865892
aaa,abd,nb,smote+ae,recall,0.9
aaa,abd,nn,smote+ae,accuracy,0.7071186440677966
aaa,abd,nn,smote+ae,fscore,0.04376657824933687
aaa,abd,nn,smote+ae,precision,0.07366071428571429
aaa,abd,nn,smote+ae,recall,0.66
aaa,abd,rf,smote+ae,accuracy,0.8454237288135593
aaa,abd,rf,smote+ae,fscore,0.026755852842809364
aaa,abd,rf,smote+ae,precision,0.09174311926605505
aaa,abd,rf,smote+ae,recall,0.4
aaa,abd,svm,smote+ae,accuracy,0.5776271186440678
aaa,abd,svm,smote+ae,fscore,0.05023132848645076
aaa,abd,svm,smote+ae,precision,0.05855161787365177
aaa,abd,svm,smote+ae,recall,0.76
aaa,abi,dt,smote+ae,accuracy,0.8338983050847457
aaa,abi,dt,smote+ae,fscore,0.012129380053908356
aaa,abi,dt,smote+ae,precision,0.04225352112676056
aaa,abi,dt,smote+ae,recall,0.18
aaa,abi,knn,smote+ae,accuracy,0.7098305084745763
aaa,abi,knn,smote+ae,fscore,0.032021347565043365
aaa,abi,knn,smote+ae,precision,0.056338028169014086
aaa,abi,knn,smote+ae,recall,0.48
aaa,abi,nb,smote+ae,accuracy,0.3701694915254237
aaa,abi,nb,smote+ae,fscore,0.05793285055957867
aaa,abi,nb,smote+ae,precision,0.045501551189245086
aaa,abi,nb,smote+ae,recall,0.88
aaa,abi,nn,smote+ae,accuracy,0.7450847457627119
aaa,abi,nn,smote+ae,fscore,0.03856382978723404
aaa,abi,nn,smote+ae,precision,0.07552083333333333
aaa,abi,nn,smote+ae,recall,0.58
aaa,abi,rf,smote+ae,accuracy,0.8732203389830508
aaa,abi,rf,smote+ae,fscore,0.013468013468013467
aaa,abi,rf,smote+ae,precision,0.06369426751592357
aaa,abi,rf,smote+ae,recall,0.2
aaa,abi,svm,smote+ae,accuracy,0.6176271186440678
aaa,abi,svm,smote+ae,fscore,0.05408970976253298
aaa,abi,svm,smote+ae,precision,0.06879194630872483
aaa,abi,svm,smote+ae,recall,0.82
aaa,asmt_stdnt,dt,smote+ae,accuracy,0.8840677966101695
aaa,asmt_stdnt,dt,smote+ae,fscore,0.013468013468013467
aaa,asmt_stdnt,dt,smote+ae,precision,0.07092198581560284
aaa,asmt_stdnt,dt,smote+ae,recall,0.2
aaa,asmt_stdnt,knn,smote+ae,accuracy,0.8115254237288135
