module,attributes,classifier,technique,metric,score
aaa,asmt,dt,smote+pca,accuracy,0.43796610169491523
aaa,asmt,dt,smote+pca,fscore,0.04765056254136334
aaa,asmt,dt,smote+pca,precision,0.04230317273795535
aaa,asmt,dt,smote+pca,recall,0.72
aaa,asmt,knn,smote+pca,accuracy,0.7938983050847458
aaa,asmt,knn,smote+pca,fscore,0.012129380053908356
aaa,asmt,knn,smote+pca,precision,0.03308823529411765
aaa,asmt,knn,smote+pca,recall,0.18
aaa,asmt,nb,smote+pca,accuracy,0.6115254237288136
aaa,asmt,nb,smote+pca,fscore,0.03856382978723404
aaa,asmt,nb,smote+pca,precision,0.04991394148020654
aaa,asmt,nb,smote+pca,recall,0.58
aaa,asmt,nn,smote+pca,accuracy,0.43796610169491523
aaa,asmt,nn,smote+pca,fscore,0.04765056254136334
aaa,asmt,nn,smote+pca,precision,0.04230317273795535
aaa,asmt,nn,smote+pca,recall,0.72
aaa,asmt,rf,smote+pca,accuracy,0.43796610169491523
aaa,asmt,rf,smote+pca,fscore,0.04765056254136334
aaa,asmt,rf,smote+pca,precision,0.04230317273795535
aaa,asmt,rf,smote+pca,recall,0.72
aaa,asmt,svm,smote+pca,accuracy,0.43796610169491523
aaa,asmt,svm,smote+pca,fscore,0.04765056254136334
aaa,asmt,svm,smote+pca,precision,0.04230317273795535
aaa,asmt,svm,smote+pca,recall,0.72
aaa,stdnt,dt,smote+pca,accuracy,0.8257627118644068
aaa,stdnt,dt,smote+pca,fscore,0.01880456682337139
aaa,stdnt,dt,smote+pca,precision,0.059574468085106386
aaa,stdnt,dt,smote+pca,recall,0.28
aaa,stdnt,knn,smote+pca,accuracy,0.8481355932203389
aaa,stdnt,knn,smote+pca,fscore,0.01880456682337139
aaa,stdnt,knn,smote+pca,precision,0.06930693069306931
aaa,stdnt,knn,smote+pca,recall,0.28
aaa,stdnt,nb,smote+pca,accuracy,0.6630508474576271
aaa,stdnt,nb,smote+pca,fscore,0.02807486631016043
aaa,stdnt,nb,smote+pca,precision,0.04294478527607362
aaa,stdnt,nb,smote+pca,recall,0.42
aaa,stdnt,nn,smote+pca,accuracy,0.8698305084745763
aaa,stdnt,nn,smote+pca,fscore,0.01078894133513149
aaa,stdnt,nn,smote+pca,precision,0.05063291139240506
aaa,stdnt,nn,smote+pca,recall,0.16
aaa,stdnt,rf,smote+pca,accuracy,0.8928813559322034
aaa,stdnt,rf,smote+pca,fscore,0.012129380053908356
aaa,stdnt,rf,smote+pca,precision,0.07142857142857142
aaa,stdnt,rf,smote+pca,recall,0.18
aaa,stdnt,svm,smote+pca,accuracy,0.7877966101694915
aaa,stdnt,svm,smote+pca,fscore,0.01613987895090787
aaa,stdnt,svm,smote+pca,precision,0.041811846689895474
aaa,stdnt,svm,smote+pca,recall,0.24
aaa,abd,dt,smote+pca,accuracy,0.8366101694915254
aaa,abd,dt,smote+pca,fscore,0.012129380053908356
aaa,abd,dt,smote+pca,precision,0.0430622009569378
aaa,abd,dt,smote+pca,recall,0.18
aaa,abd,knn,smote+pca,accuracy,0.7389830508474576
aaa,abd,knn,smote+pca,fscore,0.025435073627844713
aaa,abd,knn,smote+pca,precision,0.05093833780160858
aaa,abd,knn,smote+pca,recall,0.38
aaa,abd,nb,smote+pca,accuracy,0.423728813559322
aaa,abd,nb,smote+pca,fscore,0.05408970976253298
aaa,abd,nb,smote+pca,precision,0.046485260770975055
aaa,abd,nb,smote+pca,recall,0.82
aaa,abd,nn,smote+pca,accuracy,0.8223728813559322
aaa,abd,nn,smote+pca,fscore,0.025435073627844713
aaa,abd,nn,smote+pca,precision,0.076
aaa,abd,nn,smote+pca,recall,0.38
aaa,abd,rf,smote+pca,accuracy,0.9057627118644068
aaa,abd,rf,smote+pca,fscore,0.013468013468013467
aaa,abd,rf,smote+pca,precision,0.09174311926605505
aaa,abd,rf,smote+pca,recall,0.2
aaa,abd,svm,smote+pca,accuracy,0.703728813559322
aaa,abd,svm,smote+pca,fscore,0.03856382978723404
aaa,abd,svm,smote+pca,precision,0.0651685393258427
aaa,abd,svm,smote+pca,recall,0.58
aaa,abi,dt,smote+pca,accuracy,0.8616949152542372
aaa,abi,dt,smote+pca,fscore,0.021462105969148222
aaa,abi,dt,smote+pca,precision,0.08602150537634409
aaa,abi,dt,smote+pca,recall,0.32
aaa,abi,knn,smote+pca,accuracy,0.7776271186440677
aaa,abi,knn,smote+pca,fscore,0.030707610146862484
aaa,abi,knn,smote+pca,precision,0.07098765432098765
aaa,abi,knn,smote+pca,recall,0.46
aaa,abi,nb,smote+pca,accuracy,0.46983050847457625
aaa,abi,nb,smote+pca,fscore,0.05151915455746367
aaa,abi,nb,smote+pca,precision,0.04814814814814815
aaa,abi,nb,smote+pca,recall,0.78
aaa,abi,nn,smote+pca,accuracy,0.8549152542372881
aaa,abi,nn,smote+pca,fscore,0.024112525117213665
aaa,abi,nn,smote+pca,precision,0.09
aaa,abi,nn,smote+pca,recall,0.36
aaa,abi,rf,smote+pca,accuracy,0.9091525423728813
aaa,abi,rf,smote+pca,fscore,0.01613987895090787
aaa,abi,rf,smote+pca,precision,0.1111111111111111
aaa,abi,rf,smote+pca,recall,0.24
aaa,abi,svm,smote+pca,accuracy,0.7261016949152542
aaa,abi,svm,smote+pca,fscore,0.04506295559973492
aaa,abi,svm,smote+pca,precision,0.08056872037914692
aaa,abi,svm,smote+pca,recall,0.68
aaa,asmt_stdnt,dt,smote+pca,accuracy,0.8894915254237288
aaa,asmt_stdnt,dt,smote+pca,fscore,0.012129380053908356
aaa,asmt_stdnt,dt,smote+pca,precision,0.06870229007633588
aaa,asmt_stdnt,dt,smote+pca,recall,0.18
aaa,asmt_stdnt,knn,smote+pca,accuracy,0.8725423728813559
aaa,asmt_stdnt,knn,smote+pca,fscore,0.01747311827956989
aaa,asmt_stdnt,knn,smote+pca,precision,0.07926829268292683
aaa,asmt_stdnt,knn,smote+pca,recall,0.26
aaa,asmt_stdnt,nb,smote+pca,accuracy,0.6691525423728814
aaa,asmt_stdnt,nb,smote+pca,fscore,0.034643570952698204
aaa,asmt_stdnt,nb,smote+pca,precision,0.053061224489795916
aaa,asmt_stdnt,nb,smote+pca,recall,0.52
aaa,asmt_stdnt,nn,smote+pca,accuracy,0.9308474576271186
aaa,asmt_stdnt,nn,smote+pca,fscore,0.008102633355840648
aaa,asmt_stdnt,nn,smote+pca,precision,0.09375
aaa,asmt_stdnt,nn,smote+pca,recall,0.12
aaa,asmt_stdnt,rf,smote+pca,accuracy,0.9505084745762712
aaa,asmt_stdnt,rf,smote+pca,fscore,0.0040595399188092015
aaa,asmt_stdnt,rf,smote+pca,precision,0.10344827586206896
aaa,asmt_stdnt,rf,smote+pca,recall,0.06
aaa,asmt_stdnt,svm,smote+pca,accuracy,0.7993220338983051
aaa,asmt_stdnt,svm,smote+pca,fscore,0.01880456682337139
aaa,asmt_stdnt,svm,smote+pca,precision,0.051094890510948905
aaa,asmt_stdnt,svm,smote+pca,recall,0.28
aaa,asmt_abd,dt,smote+pca,accuracy,0.8616949152542372
aaa,asmt_abd,dt,smote+pca,fscore,0.020134228187919462
aaa,asmt_abd,dt,smote+pca,precision,0.08152173913043478
aaa,asmt_abd,dt,smote+pca,recall,0.3
aaa,asmt_abd,knn,smote+pca,accuracy,0.7742372881355932
aaa,asmt_abd,knn,smote+pca,fscore,0.024112525117213665
aaa,asmt_abd,knn,smote+pca,precision,0.05642633228840126
aaa,asmt_abd,knn,smote+pca,recall,0.36
aaa,asmt_abd,nb,smote+pca,accuracy,0.43254237288135594
aaa,asmt_abd,nb,smote+pca,fscore,0.055372445616348055
aaa,asmt_abd,nb,smote+pca,precision,0.04822043628013777
aaa,asmt_abd,nb,smote+pca,recall,0.84
aaa,asmt_abd,nn,smote+pca,accuracy,0.8569491525423729
aaa,asmt_abd,nn,smote+pca,fscore,0.021462105969148222
aaa,asmt_abd,nn,smote+pca,precision,0.08290155440414508
aaa,asmt_abd,nn,smote+pca,recall,0.32
aaa,asmt_abd,rf,smote+pca,accuracy,0.9138983050847458
aaa,asmt_abd,rf,smote+pca,fscore,0.01613987895090787
aaa,asmt_abd,rf,smote+pca,precision,0.1188118811881188
aaa,asmt_abd,rf,smote+pca,recall,0.24
aaa,asmt_abd,svm,smote+pca,accuracy,0.7240677966101695
aaa,asmt_abd,svm,smote+pca,fscore,0.04506295559973492
aaa,asmt_abd,svm,smote+pca,precision,0.08
aaa,asmt_abd,svm,smote+pca,recall,0.68
aaa,asmt_abi,dt,smote+pca,accuracy,0.8596610169491525
aaa,asmt_abi,dt,smote+pca,fscore,0.012129380053908356
aaa,asmt_abi,dt,smote+pca,precision,0.05142857142857143
aaa,asmt_abi,dt,smote+pca,recall,0.18
aaa,asmt_abi,knn,smote+pca,accuracy,0.7945762711864407
aaa,asmt_abi,knn,smote+pca,fscore,0.032021347565043365
aaa,asmt_abi,knn,smote+pca,precision,0.07973421926910298
aaa,asmt_abi,knn,smote+pca,recall,0.48
aaa,asmt_abi,nb,smote+pca,accuracy,0.4583050847457627
aaa,asmt_abi,nb,smote+pca,fscore,0.05408970976253298
aaa,asmt_abi,nb,smote+pca,precision,0.049338146811071
aaa,asmt_abi,nb,smote+pca,recall,0.82
aaa,asmt_abi,nn,smote+pca,accuracy,0.8840677966101695
aaa,asmt_abi,nn,smote+pca,fscore,0.022788203753351208
aaa,asmt_abi,nn,smote+pca,precision,0.10967741935483871
aaa,asmt_abi,nn,smote+pca,recall,0.34
aaa,asmt_abi,rf,smote+pca,accuracy,0.9166101694915254
aaa,asmt_abi,rf,smote+pca,fscore,0.01078894133513149
aaa,asmt_abi,rf,smote+pca,precision,0.0898876404494382
aaa,asmt_abi,rf,smote+pca,recall,0.16
aaa,asmt_abi,svm,smote+pca,accuracy,0.7654237288135594
aaa,asmt_abi,svm,smote+pca,fscore,0.04506295559973492
aaa,asmt_abi,svm,smote+pca,precision,0.09340659340659341
aaa,asmt_abi,svm,smote+pca,recall,0.68
aaa,stdnt_abd,dt,smote+pca,accuracy,0.8766101694915254
aaa,stdnt_abd,dt,smote+pca,fscore,0.012129380053908356
aaa,stdnt_abd,dt,smote+pca,precision,0.06
aaa,stdnt_abd,dt,smote+pca,recall,0.18
aaa,stdnt_abd,knn,smote+pca,accuracy,0.8088135593220339
aaa,stdnt_abd,knn,smote+pca,fscore,0.022788203753351208
aaa,stdnt_abd,knn,smote+pca,precision,0.06390977443609022
aaa,stdnt_abd,knn,smote+pca,recall,0.34
aaa,stdnt_abd,nb,smote+pca,accuracy,0.46644067796610167
aaa,stdnt_abd,nb,smote+pca,fscore,0.052805280528052806
aaa,stdnt_abd,nb,smote+pca,precision,0.04895960832313342
aaa,stdnt_abd,nb,smote+pca,recall,0.8
aaa,stdnt_abd,nn,smote+pca,accuracy,0.9383050847457627
aaa,stdnt_abd,nn,smote+pca,fscore,0.008102633355840648
aaa,stdnt_abd,nn,smote+pca,precision,0.11320754716981132
aaa,stdnt_abd,nn,smote+pca,recall,0.12
aaa,stdnt_abd,rf,smote+pca,accuracy,0.928135593220339
aaa,stdnt_abd,rf,smote+pca,fscore,0.008102633355840648
aaa,stdnt_abd,rf,smote+pca,precision,0.08823529411764706
aaa,stdnt_abd,rf,smote+pca,recall,0.12
aaa,stdnt_abd,svm,smote+pca,accuracy,0.8047457627118644
aaa,stdnt_abd,svm,smote+pca,fscore,0.032021347565043365
aaa,stdnt_abd,svm,smote+pca,precision,0.08391608391608392
aaa,stdnt_abd,svm,smote+pca,recall,0.48
aaa,stdnt_abi,dt,smote+pca,accuracy,0.8847457627118644
aaa,stdnt_abi,dt,smote+pca,fscore,0.008102633355840648
aaa,stdnt_abi,dt,smote+pca,precision,0.045454545454545456
aaa,stdnt_abi,dt,smote+pca,recall,0.12
aaa,stdnt_abi,knn,smote+pca,accuracy,0.8196610169491525
aaa,stdnt_abi,knn,smote+pca,fscore,0.025435073627844713
aaa,stdnt_abi,knn,smote+pca,precision,0.07480314960629922
aaa,stdnt_abi,knn,smote+pca,recall,0.38
aaa,stdnt_abi,nb,smote+pca,accuracy,0.5213559322033898
aaa,stdnt_abi,nb,smote+pca,fscore,0.04506295559973492
aaa,stdnt_abi,nb,smote+pca,precision,0.04696132596685083
aaa,stdnt_abi,nb,smote+pca,recall,0.68
aaa,stdnt_abi,nn,smote+pca,accuracy,0.9186440677966101
aaa,stdnt_abi,nn,smote+pca,fscore,0.009446693657219974
aaa,stdnt_abi,nn,smote+pca,precision,0.08333333333333333
aaa,stdnt_abi,nn,smote+pca,recall,0.14
aaa,stdnt_abi,rf,smote+pca,accuracy,0.9328813559322033
aaa,stdnt_abi,rf,smote+pca,fscore,0.002708192281651997
aaa,stdnt_abi,rf,smote+pca,precision,0.03773584905660377
aaa,stdnt_abi,rf,smote+pca,recall,0.04
aaa,stdnt_abi,svm,smote+pca,accuracy,0.8433898305084746
aaa,stdnt_abi,svm,smote+pca,fscore,0.02807486631016043
aaa,stdnt_abi,svm,smote+pca,precision,0.09417040358744394
aaa,stdnt_abi,svm,smote+pca,recall,0.42
aaa,asmt_stdnt_abd,dt,smote+pca,accuracy,0.8922033898305085
aaa,asmt_stdnt_abd,dt,smote+pca,fscore,0.013468013468013467
aaa,asmt_stdnt_abd,dt,smote+pca,precision,0.07751937984496124
aaa,asmt_stdnt_abd,dt,smote+pca,recall,0.2
aaa,asmt_stdnt_abd,knn,smote+pca,accuracy,0.8128813559322033
aaa,asmt_stdnt_abd,knn,smote+pca,fscore,0.020134228187919462
aaa,asmt_stdnt_abd,knn,smote+pca,precision,0.05859375
aaa,asmt_stdnt_abd,knn,smote+pca,recall,0.3
aaa,asmt_stdnt_abd,nb,smote+pca,accuracy,0.4711864406779661
aaa,asmt_stdnt_abd,nb,smote+pca,fscore,0.05151915455746367
aaa,asmt_stdnt_abd,nb,smote+pca,precision,0.04826732673267327
aaa,asmt_stdnt_abd,nb,smote+pca,recall,0.78
aaa,asmt_stdnt_abd,nn,smote+pca,accuracy,0.9423728813559322
aaa,asmt_stdnt_abd,nn,smote+pca,fscore,0.01078894133513149
aaa,asmt_stdnt_abd,nn,smote+pca,precision,0.1568627450980392
aaa,asmt_stdnt_abd,nn,smote+pca,recall,0.16
aaa,asmt_stdnt_abd,rf,smote+pca,accuracy,0.9444067796610169
