module,attributes,classifier,technique,metric,score
aaa,asmt,dt,smote,accuracy,0.43796610169491523
aaa,asmt,dt,smote,fscore,0.04765056254136334
aaa,asmt,dt,smote,precision,0.72
aaa,asmt,dt,smote,recall,0.04230317273795535
aaa,asmt,knn,smote,accuracy,0.7484745762711864
aaa,asmt,knn,smote,fscore,0.005409060175794456
aaa,asmt,knn,smote,precision,0.08
aaa,asmt,knn,smote,recall,0.0121580547112462
aaa,asmt,nb,smote,accuracy,0.25152542372881354
aaa,asmt,nb,smote,fscore,0.060486522024983565
aaa,asmt,nb,smote,precision,0.92
aaa,asmt,nb,smote,recall,0.04013961605584642
aaa,asmt,nn,smote,accuracy,0.6115254237288136
aaa,asmt,nn,smote,fscore,0.03856382978723404
aaa,asmt,nn,smote,precision,0.58
aaa,asmt,nn,smote,recall,0.04991394148020654
aaa,asmt,rf,smote,accuracy,0.43796610169491523
aaa,asmt,rf,smote,fscore,0.04765056254136334
aaa,asmt,rf,smote,precision,0.72
aaa,asmt,rf,smote,recall,0.04230317273795535
aaa,asmt,svm,smote,accuracy,0.43796610169491523
aaa,asmt,svm,smote,fscore,0.04765056254136334
aaa,asmt,svm,smote,precision,0.72
aaa,asmt,svm,smote,recall,0.04230317273795535
aaa,stdnt,dt,smote,accuracy,0.9098305084745762
aaa,stdnt,dt,smote,fscore,0.01078894133513149
aaa,stdnt,dt,smote,precision,0.16
aaa,stdnt,dt,smote,recall,0.08080808080808081
aaa,stdnt,knn,smote,accuracy,0.7620338983050847
aaa,stdnt,knn,smote,fscore,0.024112525117213665
aaa,stdnt,knn,smote,precision,0.36
aaa,stdnt,knn,smote,recall,0.05341246290801187
aaa,stdnt,nb,smote,accuracy,0.16610169491525423
aaa,stdnt,nb,smote,fscore,0.05151915455746367
aaa,stdnt,nb,smote,precision,0.78
aaa,stdnt,nb,smote,recall,0.031001589825119236
aaa,stdnt,nn,smote,accuracy,0.9050847457627119
aaa,stdnt,nn,smote,fscore,0.006756756756756757
aaa,stdnt,nn,smote,precision,0.1
aaa,stdnt,nn,smote,recall,0.05
aaa,stdnt,rf,smote,accuracy,0.9444067796610169
aaa,stdnt,rf,smote,fscore,0.0013550135501355014
aaa,stdnt,rf,smote,precision,0.02
aaa,stdnt,rf,smote,recall,0.029411764705882353
aaa,stdnt,svm,smote,accuracy,0.7932203389830509
aaa,stdnt,svm,smote,fscore,0.014804845222072678
aaa,stdnt,svm,smote,precision,0.22
aaa,stdnt,svm,smote,recall,0.039711191335740074
aaa,abd,dt,smote,accuracy,0.8908474576271187
aaa,abd,dt,smote,fscore,0.013468013468013467
aaa,abd,dt,smote,precision,0.2
aaa,abd,dt,smote,recall,0.07633587786259542
aaa,abd,knn,smote,accuracy,0.7457627118644068
aaa,abd,knn,smote,fscore,0.026755852842809364
aaa,abd,knn,smote,precision,0.4
aaa,abd,knn,smote,recall,0.0547945205479452
aaa,abd,nb,smote,accuracy,0.4183050847457627
aaa,abd,nb,smote,fscore,0.05665349143610013
aaa,abd,nb,smote,precision,0.86
aaa,abd,nb,smote,recall,0.04809843400447427
aaa,abd,nn,smote,accuracy,0.8155932203389831
aaa,abd,nn,smote,fscore,0.030707610146862484
aaa,abd,nn,smote,precision,0.46
aaa,abd,nn,smote,recall,0.08582089552238806
aaa,abd,rf,smote,accuracy,0.9288135593220339
aaa,abd,rf,smote,fscore,0.009446693657219974
aaa,abd,rf,smote,precision,0.14
aaa,abd,rf,smote,recall,0.10144927536231885
aaa,abd,svm,smote,accuracy,0.6786440677966101
aaa,abd,svm,smote,fscore,0.042468480424684804
aaa,abd,svm,smote,precision,0.64
aaa,abd,svm,smote,recall,0.06557377049180328
aaa,abi,dt,smote,accuracy,0.8705084745762712
aaa,abi,dt,smote,fscore,0.01078894133513149
aaa,abi,dt,smote,precision,0.16
aaa,abi,dt,smote,recall,0.050955414012738856
aaa,abi,knn,smote,accuracy,0.7749152542372881
aaa,abi,knn,smote,fscore,0.030707610146862484
aaa,abi,knn,smote,precision,0.46
aaa,abi,knn,smote,recall,0.0701219512195122
aaa,abi,nb,smote,accuracy,0.471864406779661
aaa,abi,nb,smote,fscore,0.05151915455746367
aaa,abi,nb,smote,precision,0.78
aaa,abi,nb,smote,recall,0.048327137546468404
aaa,abi,nn,smote,accuracy,0.8535593220338983
aaa,abi,nn,smote,fscore,0.024112525117213665
aaa,abi,nn,smote,precision,0.36
aaa,abi,nn,smote,recall,0.0891089108910891
aaa,abi,rf,smote,accuracy,0.9220338983050848
aaa,abi,rf,smote,fscore,0.008102633355840648
aaa,abi,rf,smote,precision,0.12
aaa,abi,rf,smote,recall,0.07792207792207792
aaa,abi,svm,smote,accuracy,0.679322033898305
aaa,abi,svm,smote,fscore,0.04894179894179894
aaa,abi,svm,smote,precision,0.74
aaa,abi,svm,smote,recall,0.0744466800804829
aaa,asmt_stdnt,dt,smote,accuracy,0.9315254237288135
aaa,asmt_stdnt,dt,smote,fscore,0.006756756756756757
aaa,asmt_stdnt,dt,smote,precision,0.1
aaa,asmt_stdnt,dt,smote,recall,0.08196721311475409
aaa,asmt_stdnt,knn,smote,accuracy,0.8393220338983051
aaa,asmt_stdnt,knn,smote,fscore,0.022788203753351208
aaa,asmt_stdnt,knn,smote,precision,0.34
aaa,asmt_stdnt,knn,smote,recall,0.07692307692307693
aaa,asmt_stdnt,nb,smote,accuracy,0.3023728813559322
aaa,asmt_stdnt,nb,smote,fscore,0.04765056254136334
aaa,asmt_stdnt,nb,smote,precision,0.72
aaa,asmt_stdnt,nb,smote,recall,0.03425309229305423
aaa,asmt_stdnt,nn,smote,accuracy,0.936271186440678
aaa,asmt_stdnt,nn,smote,fscore,0.002708192281651997
aaa,asmt_stdnt,nn,smote,precision,0.04
aaa,asmt_stdnt,nn,smote,recall,0.041666666666666664
aaa,asmt_stdnt,rf,smote,accuracy,0.9593220338983051
aaa,asmt_stdnt,rf,smote,fscore,0.0
aaa,asmt_stdnt,rf,smote,precision,0.0
aaa,asmt_stdnt,rf,smote,recall,0.0
aaa,asmt_stdnt,svm,smote,accuracy,0.8020338983050848
aaa,asmt_stdnt,svm,smote,fscore,0.021462105969148222
aaa,asmt_stdnt,svm,smote,precision,0.32
aaa,asmt_stdnt,svm,smote,recall,0.058394160583941604
aaa,asmt_abd,dt,smote,accuracy,0.8705084745762712
aaa,asmt_abd,dt,smote,fscore,0.01078894133513149
aaa,asmt_abd,dt,smote,precision,0.16
aaa,asmt_abd,dt,smote,recall,0.050955414012738856
aaa,asmt_abd,knn,smote,accuracy,0.7830508474576271
aaa,asmt_abd,knn,smote,fscore,0.029392117568470273
aaa,asmt_abd,knn,smote,precision,0.44
aaa,asmt_abd,knn,smote,recall,0.07006369426751592
aaa,asmt_abd,nb,smote,accuracy,0.4230508474576271
aaa,asmt_abd,nb,smote,fscore,0.05665349143610013
aaa,asmt_abd,nb,smote,precision,0.86
aaa,asmt_abd,nb,smote,recall,0.048478015783540024
aaa,asmt_abd,nn,smote,accuracy,0.8779661016949153
aaa,asmt_abd,nn,smote,fscore,0.01613987895090787
aaa,asmt_abd,nn,smote,precision,0.24
aaa,asmt_abd,nn,smote,recall,0.07792207792207792
aaa,asmt_abd,rf,smote,accuracy,0.9355932203389831
aaa,asmt_abd,rf,smote,fscore,0.012129380053908356
aaa,asmt_abd,rf,smote,precision,0.18
aaa,asmt_abd,rf,smote,recall,0.14285714285714285
aaa,asmt_abd,svm,smote,accuracy,0.6983050847457627
aaa,asmt_abd,svm,smote,fscore,0.046357615894039736
aaa,asmt_abd,svm,smote,precision,0.7
aaa,asmt_abd,svm,smote,recall,0.07526881720430108
aaa,asmt_abi,dt,smote,accuracy,0.8745762711864407
aaa,asmt_abi,dt,smote,fscore,0.01078894133513149
aaa,asmt_abi,dt,smote,precision,0.16
aaa,asmt_abi,dt,smote,recall,0.052980132450331126
aaa,asmt_abi,knn,smote,accuracy,0.7972881355932203
aaa,asmt_abi,knn,smote,fscore,0.03333333333333333
aaa,asmt_abi,knn,smote,precision,0.5
