module,attributes,classifier,technique,metric,score
bbb,asmt,ae,base,accuracy,0.8853485838779956
bbb,asmt,ae,base,fscore,0.0
bbb,asmt,ae,base,precision,0.0
bbb,asmt,ae,base,recall,0.0
bbb,stdnt,ae,base,accuracy,0.8853485838779956
bbb,stdnt,ae,base,fscore,0.0
bbb,stdnt,ae,base,precision,0.0
bbb,stdnt,ae,base,recall,0.0
bbb,abd,ae,base,accuracy,0.8853485838779956
bbb,abd,ae,base,fscore,0.0
bbb,abd,ae,base,precision,0.0
bbb,abd,ae,base,recall,0.0
bbb,abi,ae,base,accuracy,0.8853485838779956
bbb,abi,ae,base,fscore,0.0
bbb,abi,ae,base,precision,0.0
bbb,abi,ae,base,recall,0.0
bbb,asmt_stdnt,ae,base,accuracy,0.8853485838779956
bbb,asmt_stdnt,ae,base,fscore,0.0
bbb,asmt_stdnt,ae,base,precision,0.0
bbb,asmt_stdnt,ae,base,recall,0.0
bbb,asmt_abd,ae,base,accuracy,0.8853485838779956
bbb,asmt_abd,ae,base,fscore,0.0
bbb,asmt_abd,ae,base,precision,0.0
bbb,asmt_abd,ae,base,recall,0.0
bbb,asmt_abi,ae,base,accuracy,0.8853485838779956
bbb,asmt_abi,ae,base,fscore,0.0
bbb,asmt_abi,ae,base,precision,0.0
bbb,asmt_abi,ae,base,recall,0.0
bbb,stdnt_abd,ae,base,accuracy,0.8853485838779956
bbb,stdnt_abd,ae,base,fscore,0.0
bbb,stdnt_abd,ae,base,precision,0.0
bbb,stdnt_abd,ae,base,recall,0.0
bbb,stdnt_abi,ae,base,accuracy,0.8853485838779956
bbb,stdnt_abi,ae,base,fscore,0.0
bbb,stdnt_abi,ae,base,precision,0.0
bbb,stdnt_abi,ae,base,recall,0.0
bbb,asmt_stdnt_abd,ae,base,accuracy,0.8853485838779956
bbb,asmt_stdnt_abd,ae,base,fscore,0.0
bbb,asmt_stdnt_abd,ae,base,precision,0.0
bbb,asmt_stdnt_abd,ae,base,recall,0.0
bbb,asmt_stdnt_abi,ae,base,accuracy,0.8853485838779956
bbb,asmt_stdnt_abi,ae,base,fscore,0.0
bbb,asmt_stdnt_abi,ae,base,precision,0.0
bbb,asmt_stdnt_abi,ae,base,recall,0.0
